"Reporter Name"	"AR_NE_rawData_r1"	"AR_NE_rawData_r2"
"pos-controls-169"	640.01	526.43
"pos-controls-170"	626.86	643.05
"pos-controls-171"	776.62	524.84
"pos-controls-172"	552.99	514.43
"pos-controls-173"	1130.26	937.93
"pos-controls-174"	1342.65	825.95
"pos-controls-175"	894.09	836.04
"pos-controls-176"	1286.4	1007.44
"pos-controls-333"	389.69	303.75
"pos-controls-334"	326.54	258.4
"pos-controls-335"	475.16	295.76
"pos-controls-336"	360.84	256.7
"pos-controls-537"	393.57	306.87
"pos-controls-538"	321.9	331.08
"pos-controls-539"	384.95	335.31
"pos-controls-540"	412.89	332.17
"pos-controls-541"	1336.2	1024.53
"pos-controls-542"	1582.56	957.06
"pos-controls-543"	1031.01	708.85
"pos-controls-544"	1352.31	1029.79
"pos-controls-613"	135.52	98.95
"pos-controls-614"	108.65	99.38
"pos-controls-615"	136.08	103.44
"pos-controls-616"	121.8	102.2
"pos-controls-705"	145.94	137.52
"pos-controls-706"	144.68	110.04
"pos-controls-707"	146.01	139.77
"pos-controls-708"	161.12	123.18
"pos-controls-773"	305.57	279.45
"pos-controls-774"	365	301.24
"pos-controls-775"	369.04	290.46
"pos-controls-776"	349.01	254.55
"pos-controls-777"	257.22	200.82
"pos-controls-778"	227.44	219.37
"pos-controls-779"	258.57	173.04
"pos-controls-780"	229.81	171.73
"pos-controls-813"	66.83	67.54
"pos-controls-814"	78.47	67.34
"pos-controls-815"	81.41	78.33
"pos-controls-816"	79.92	61.58
"pos-controls-829"	164.73	131.72
"pos-controls-830"	146.42	119.51
"pos-controls-831"	113.32	126.56
"pos-controls-832"	174.66	116.89
"pos-controls-893"	69.32	80.71
"pos-controls-894"	70.76	80.34
"pos-controls-895"	91.48	138.03
"pos-controls-896"	81.64	80.96
"pos-controls-949"	90.03	80.12
"pos-controls-950"	94.25	87.58
"pos-controls-951"	99.45	79.34
"pos-controls-952"	127.52	83.14
"pos-controls-953"	214.18	173.82
"pos-controls-954"	240.16	208.33
"pos-controls-955"	209.88	165.79
"pos-controls-956"	252.84	146.71
"pos-controls-1033"	78.94	93.51
"pos-controls-1034"	76.98	74.73
"pos-controls-1035"	65.92	75.75
"pos-controls-1036"	89.72	72.12
"pos-controls-1037"	105.68	78.18
"pos-controls-1038"	116.11	87.88
"pos-controls-1039"	136.13	101.14
"pos-controls-1040"	104.53	103.97
"pos-controls-1041"	99.03	82.44
"pos-controls-1042"	75.56	56.71
"pos-controls-1043"	91.57	98.85
"pos-controls-1044"	69.37	72.22
"pos-controls-1101"	163.82	140.27
"pos-controls-1102"	176.75	95.75
"pos-controls-1103"	242.27	269.26
"pos-controls-1104"	165.8	109.08
"pos-controls-1121"	213.67	170.08
"pos-controls-1122"	160.28	164.37
"pos-controls-1123"	165.34	148.23
"pos-controls-1124"	181.84	189.63
"pos-controls-1177"	461.63	473.78
"pos-controls-1178"	344.34	406.47
"pos-controls-1179"	493.07	343.35
"pos-controls-1180"	487.58	450.98
"pos-controls-1265"	152.58	131.94
"pos-controls-1266"	144.42	130.69
"pos-controls-1267"	358.11	144.56
"pos-controls-1268"	154.15	124.53
"pos-controls-1321"	159.55	150.42
"pos-controls-1322"	128.86	130.47
"pos-controls-1323"	146.49	114.89
"pos-controls-1324"	219.66	161.32
"pos-controls-1329"	150.33	137.05
"pos-controls-1330"	179.32	125.31
"pos-controls-1331"	175.37	122.63
"pos-controls-1332"	175.37	152.84
"pos-controls-1449"	137.52	122
"pos-controls-1450"	150.58	144.69
"pos-controls-1451"	138.46	158.11
"pos-controls-1452"	136.98	136.58
"pos-controls-1457"	163.95	105.92
"pos-controls-1458"	161.38	113.73
"pos-controls-1459"	152.78	150.19
"pos-controls-1460"	155.74	118.04
