"Reporter Name"	"BR_NE_rawData_r1"	"BR_NE_rawData_r2"
"pos-controls-169"	406.3	418.06
"pos-controls-170"	279.63	406.52
"pos-controls-171"	330.02	436.82
"pos-controls-172"	326.84	459.47
"pos-controls-173"	117.71	116.02
"pos-controls-174"	154.43	102.62
"pos-controls-175"	118.53	94.34
"pos-controls-176"	137.21	86.86
"pos-controls-333"	139.64	163.8
"pos-controls-334"	132.56	122.35
"pos-controls-335"	148.15	172.95
"pos-controls-336"	140.57	135.17
"pos-controls-537"	152.61	224.81
"pos-controls-538"	207.04	236.19
"pos-controls-539"	131.12	260.87
"pos-controls-540"	162.56	274.23
"pos-controls-541"	116.93	135.12
"pos-controls-542"	140.35	132.59
"pos-controls-543"	137.39	130.83
"pos-controls-544"	138.58	132.23
"pos-controls-613"	77.42	96.1
"pos-controls-614"	70.42	83.9
"pos-controls-615"	69.41	94.2
"pos-controls-616"	76.9	98.11
"pos-controls-705"	158.87	150.81
"pos-controls-706"	159.64	128.42
"pos-controls-707"	161.58	127.29
"pos-controls-708"	142.89	138.03
"pos-controls-773"	131.55	282.79
"pos-controls-774"	177.18	303.52
"pos-controls-775"	153.53	284.12
"pos-controls-776"	174.36	298.9
"pos-controls-777"	184.46	237.22
"pos-controls-778"	198.09	241.14
"pos-controls-779"	183.27	257.48
"pos-controls-780"	127.54	265.31
"pos-controls-813"	64.9	70.72
"pos-controls-814"	78.64	97.81
"pos-controls-815"	73.05	79.56
"pos-controls-816"	68.85	77.79
"pos-controls-829"	148.43	116.98
"pos-controls-830"	145.56	105.1
"pos-controls-831"	114.02	91.79
"pos-controls-832"	111.95	131.66
"pos-controls-893"	76.11	67.37
"pos-controls-894"	66.55	79.46
"pos-controls-895"	69.22	75.27
"pos-controls-896"	75.18	86.54
"pos-controls-949"	160.22	233.54
"pos-controls-950"	196.38	210.71
"pos-controls-951"	190.84	212.91
"pos-controls-952"	145.92	230.93
"pos-controls-953"	98.81	126.8
"pos-controls-954"	99.95	126.92
"pos-controls-955"	93.83	103.08
"pos-controls-956"	89.39	109.16
"pos-controls-1033"	77.64	71.37
"pos-controls-1034"	84.37	82.74
"pos-controls-1035"	83.61	83.83
"pos-controls-1036"	89.12	81.27
"pos-controls-1037"	114.18	110.23
"pos-controls-1038"	97.8	139.29
"pos-controls-1039"	108.23	138.47
"pos-controls-1040"	105.09	109.75
"pos-controls-1041"	90.53	79.26
"pos-controls-1042"	76.71	70.42
"pos-controls-1043"	87.97	81.44
"pos-controls-1044"	65.66	82.1
"pos-controls-1101"	98.12	110.29
"pos-controls-1102"	107.45	101.89
"pos-controls-1103"	127.21	115.31
"pos-controls-1104"	116.04	103.1
"pos-controls-1121"	128.45	119.55
"pos-controls-1122"	110.01	108.78
"pos-controls-1123"	113.85	102.58
"pos-controls-1124"	135.31	113.67
"pos-controls-1177"	184.64	184.1
"pos-controls-1178"	201.11	204.81
"pos-controls-1179"	206.62	176.69
"pos-controls-1180"	204.3	206.89
"pos-controls-1265"	128.97	156.92
"pos-controls-1266"	126.01	194.47
"pos-controls-1267"	143.53	180.61
"pos-controls-1268"	131.76	171.8
"pos-controls-1321"	143.95	203.03
"pos-controls-1322"	149.4	212.85
"pos-controls-1323"	134.38	172.16
"pos-controls-1324"	178.68	207.25
"pos-controls-1329"	380.44	453.99
"pos-controls-1330"	384.99	445.5
"pos-controls-1331"	359.24	414.55
"pos-controls-1332"	465.69	467.8
"pos-controls-1449"	100.67	132.06
"pos-controls-1450"	112.63	141.48
"pos-controls-1451"	93.77	119.2
"pos-controls-1452"	84.88	130
"pos-controls-1457"	148.32	148.17
"pos-controls-1458"	107.39	116.9
"pos-controls-1459"	137.13	140.7
"pos-controls-1460"	127.18	149.3
"pos-controls-1561"	147.21	209
"pos-controls-1562"	128.32	191.28
"pos-controls-1563"	143.11	197.42
"pos-controls-1564"	161.15	213
"pos-controls-1577"	119.8	140.68
"pos-controls-1578"	119.43	172.81
"pos-controls-1579"	126.13	159.59
"pos-controls-1580"	164.14	149.67
"pos-controls-1589"	115.43	106.27
"pos-controls-1590"	124.67	150.55
"pos-controls-1591"	114.8	133.48
"pos-controls-1592"	133.68	107.07
"pos-controls-1597"	88.74	97.49
"pos-controls-1598"	87.54	84.1
"pos-controls-1599"	92.85	98.57
"pos-controls-1600"	68.26	113.91
"pos-controls-1773"	162.48	135.99
"pos-controls-1774"	186.47	139.75
"pos-controls-1775"	160.19	136.29
"pos-controls-1776"	170.36	168.82
"pos-controls-1921"	197.28	180
"pos-controls-1922"	189.62	164.08
"pos-controls-1923"	196.31	153.47
"pos-controls-1924"	170.06	174.9
"pos-controls-1953"	114.87	93.77
"pos-controls-1954"	134.67	141.65
"pos-controls-1955"	129.84	85.12
"pos-controls-1956"	120.08	92.79
"pos-controls-2029"	162.57	299.38
"pos-controls-2030"	125.34	273.93
"pos-controls-2031"	154.89	387.92
"pos-controls-2032"	178.43	407.93
"pos-controls-2033"	132.85	459.32
"pos-controls-2034"	146.82	466.85
"pos-controls-2035"	148.06	376.84
"pos-controls-2036"	133.9	300.57
"pos-controls-2081"	133.51	114.81
"pos-controls-2082"	124.22	107.99
"pos-controls-2083"	117.13	133.2
"pos-controls-2084"	123.45	127.36
"pos-controls-2113"	107.19	166.68
"pos-controls-2114"	123.8	214.59
"pos-controls-2115"	135.82	184.61
"pos-controls-2116"	119.33	188.58
"pos-controls-2121"	75.73	69.4
"pos-controls-2122"	92.06	93.21
"pos-controls-2123"	56.08	107.42
"pos-controls-2124"	76.05	99.88
"pos-controls-2181"	171.02	279.15
"pos-controls-2182"	143.57	251.26
"pos-controls-2183"	131.43	255.4
"pos-controls-2184"	188.12	246.8
"pos-controls-2185"	126.33	273.74
"pos-controls-2186"	103.75	445.3
"pos-controls-2187"	147.89	328.7
"pos-controls-2188"	94.12	283.36
"pos-controls-2453"	125.87	123.98
"pos-controls-2454"	96.52	123.33
"pos-controls-2455"	109.56	149.88
"pos-controls-2456"	116.75	163.35
"pos-controls-2457"	92.64	120.67
"pos-controls-2458"	83.99	168.16
"pos-controls-2459"	99.42	127.94
"pos-controls-2460"	100.44	152.77
"pos-controls-2461"	621.45	680.37
"pos-controls-2462"	560.34	735.12
"pos-controls-2463"	1225.56	810.6
"pos-controls-2464"	573.79	808.02
"pos-controls-2485"	73.3	64.62
"pos-controls-2486"	69.01	74.66
"pos-controls-2487"	81.09	81.3
"pos-controls-2488"	59.83	80.92
"pos-controls-2697"	95.6	90.33
"pos-controls-2698"	93.1	75.72
"pos-controls-2699"	95.17	74.82
"pos-controls-2700"	98.24	65.74
"pos-controls-2701"	133.06	179.59
"pos-controls-2702"	114.71	173.9
"pos-controls-2703"	135.62	159.66
"pos-controls-2704"	107.08	178.62
"pos-controls-2777"	138.81	135.24
"pos-controls-2778"	157.24	135.14
"pos-controls-2779"	145.46	140.74
"pos-controls-2780"	126.79	119.96
"pos-controls-2833"	112.54	119.72
"pos-controls-2834"	94.83	86.07
"pos-controls-2835"	95.9	102.7
"pos-controls-2836"	109.84	99.81
"pos-controls-2837"	125.43	163.26
"pos-controls-2838"	142.68	145.29
"pos-controls-2839"	115.41	153.02
"pos-controls-2840"	138.09	141.29
"pos-controls-2841"	72.42	78.09
"pos-controls-2842"	78.62	63.54
"pos-controls-2843"	62.31	74.84
"pos-controls-2844"	75.25	82.85
"pos-controls-2873"	154.64	88.64
"pos-controls-2874"	163.03	106.1
"pos-controls-2875"	120.75	104.06
"pos-controls-2876"	156.57	113.1
"pos-controls-2941"	68.67	92.09
"pos-controls-2942"	80.06	78.03
"pos-controls-2943"	80.28	77.04
"pos-controls-2944"	84.32	77.67
"pos-controls-3041"	145.95	132.81
"pos-controls-3042"	134.22	113.44
"pos-controls-3043"	154.73	124.25
"pos-controls-3044"	195.16	107.34
"pos-controls-3061"	68.96	76.14
"pos-controls-3062"	88	86.64
"pos-controls-3063"	62.88	71.01
"pos-controls-3064"	68.46	72.79
"pos-controls-3189"	171.37	88.57
"pos-controls-3190"	111.23	93.86
"pos-controls-3191"	123.27	88.44
"pos-controls-3192"	145.85	89.23
"pos-controls-3237"	107.43	127.56
"pos-controls-3238"	188.7	135.77
"pos-controls-3239"	129.36	128.45
"pos-controls-3240"	114.94	126.46
"pos-controls-3253"	69.76	79.73
"pos-controls-3254"	75.08	117.41
"pos-controls-3255"	63.66	74.52
"pos-controls-3256"	73.45	77.22
"pos-controls-3257"	191.01	91.18
"pos-controls-3258"	79.61	108.17
"pos-controls-3259"	258.02	102.13
"pos-controls-3260"	295.61	134.59
"pos-controls-3289"	89.56	82.51
"pos-controls-3290"	75.89	92.41
"pos-controls-3291"	82.91	90.48
"pos-controls-3292"	87.28	94.24
"pos-controls-3293"	84.31	98.84
"pos-controls-3294"	81.24	107.32
"pos-controls-3295"	97.26	101.52
"pos-controls-3296"	77.28	83.03
"pos-controls-3301"	127.71	83.22
"pos-controls-3302"	138.11	97.19
"pos-controls-3303"	133.81	97.67
"pos-controls-3304"	133.8	108.68
"pos-controls-3433"	71.03	69.72
"pos-controls-3434"	71.7	77.39
"pos-controls-3435"	58.28	57.9
"pos-controls-3436"	67.22	72.58
"pos-controls-3469"	94.69	91.51
"pos-controls-3470"	95.14	111.43
"pos-controls-3471"	105.76	91.47
"pos-controls-3472"	126.94	101.07
"pos-controls-3473"	136.15	167.83
"pos-controls-3474"	106.83	167.67
"pos-controls-3475"	126.94	152.16
"pos-controls-3476"	123.19	182.46
"pos-controls-3477"	76.18	89.07
"pos-controls-3478"	88.96	79.49
"pos-controls-3479"	73.65	70.93
"pos-controls-3480"	85.21	85.84
"pos-controls-3549"	89	103.44
"pos-controls-3550"	88.17	91.1
"pos-controls-3551"	97.94	99.57
"pos-controls-3552"	87.14	110.77
"pos-controls-3605"	65.08	69.88
"pos-controls-3606"	68.75	77.94
"pos-controls-3607"	77.47	73.18
"pos-controls-3608"	72.68	78.61
"pos-controls-3609"	81.58	100.78
"pos-controls-3610"	80.47	71.2
"pos-controls-3611"	83.92	80.66
"pos-controls-3612"	102.25	87.9
"pos-controls-3761"	85.53	91.81
"pos-controls-3762"	104.71	133.97
"pos-controls-3763"	95.21	102.1
"pos-controls-3764"	94.22	112.21
"pos-controls-3765"	75.23	63.9
"pos-controls-3766"	64.09	59.42
"pos-controls-3767"	71.78	65.9
"pos-controls-3768"	79.32	73.04
"pos-controls-3849"	154.29	100.93
"pos-controls-3850"	125.76	99.75
"pos-controls-3851"	131	84.1
"pos-controls-3852"	116.61	91.21
"pos-controls-3901"	557.68	109.09
"pos-controls-3902"	534.42	182.11
"pos-controls-3903"	523.12	214.46
"pos-controls-3904"	504.99	118.13
"pos-controls-4009"	276.45	324.95
"pos-controls-4010"	326.34	510.35
"pos-controls-4011"	331.45	379.27
"pos-controls-4012"	303.01	356.36
"pos-controls-4053"	110.68	125.52
"pos-controls-4054"	118.99	120.73
"pos-controls-4055"	131.14	139.62
"pos-controls-4056"	138.08	145.6
"pos-controls-4057"	80.28	118.2
"pos-controls-4058"	85.44	96.67
"pos-controls-4059"	78.63	132.6
"pos-controls-4060"	95.25	150.16
"pos-controls-4061"	107.23	162.83
"pos-controls-4062"	116.35	164.79
"pos-controls-4063"	117.93	149.22
"pos-controls-4064"	105.22	141.42
"pos-controls-4069"	262.16	266.49
"pos-controls-4070"	236.1	220.86
"pos-controls-4071"	173.7	221.23
"pos-controls-4072"	215.46	230.67
"pos-controls-4121"	235.83	118.5
"pos-controls-4122"	188.63	157.51
"pos-controls-4123"	153.3	121.79
"pos-controls-4124"	158.95	133.6
"pos-controls-4165"	678.56	626.2
"pos-controls-4166"	721.34	650.34
"pos-controls-4167"	880.08	714.74
"pos-controls-4168"	752.37	872.31
"pos-controls-4205"	298.17	335.02
"pos-controls-4206"	294.14	387.05
"pos-controls-4207"	294.72	281.44
"pos-controls-4208"	268.78	325.37
"pos-controls-4209"	99.29	105.8
"pos-controls-4210"	88.38	113.05
"pos-controls-4211"	85.07	114.59
"pos-controls-4212"	95.05	113.23
"pos-controls-4213"	80.91	144.93
"pos-controls-4214"	92.79	100.01
"pos-controls-4215"	81.76	134.64
"pos-controls-4216"	98.32	122.57
"pos-controls-4229"	200.38	218.17
"pos-controls-4230"	224.83	121.38
"pos-controls-4231"	241.54	275.09
"pos-controls-4232"	226.05	277.43
"pos-controls-4281"	326.56	580.76
"pos-controls-4282"	344.09	691.36
"pos-controls-4283"	307.9	431.02
"pos-controls-4284"	341.74	550.88
"pos-controls-4289"	103.24	104.98
"pos-controls-4290"	96.56	117.08
"pos-controls-4291"	114.69	92.8
"pos-controls-4292"	107.94	88.3
"pos-controls-4293"	151.62	167.25
"pos-controls-4294"	161.69	151.91
"pos-controls-4295"	147	162.33
"pos-controls-4296"	159.43	145.09
"pos-controls-4301"	122.95	192.66
"pos-controls-4302"	157.95	239.7
"pos-controls-4303"	131.56	272.44
"pos-controls-4304"	151.98	242.53
"pos-controls-4349"	458.39	192.75
"pos-controls-4350"	451.06	100.61
"pos-controls-4351"	420.88	115.59
"pos-controls-4352"	435.96	112.29
