"Reporter Name"	"BR_PO_rawData_r1"	"BR_PO_rawData_r2"
"pos-controls-169"	1343.23	1758.04
"pos-controls-170"	1575.27	1951.58
"pos-controls-171"	1297.94	1829.36
"pos-controls-172"	1352.6	1830.44
"pos-controls-173"	12797.91	15053.33
"pos-controls-174"	15054.5	16504.62
"pos-controls-175"	12657.85	14721.78
"pos-controls-176"	13423.51	15609.96
"pos-controls-333"	11040.88	10966.64
"pos-controls-334"	10182.82	11162.27
"pos-controls-335"	10971.42	11512.05
"pos-controls-336"	10568.82	12038.88
"pos-controls-537"	941.09	1299.72
"pos-controls-538"	1068.83	1388.54
"pos-controls-539"	910.91	1163.9
"pos-controls-540"	1069.52	1191.06
"pos-controls-541"	10987.43	14547.85
"pos-controls-542"	13817.04	14335.56
"pos-controls-543"	12835.86	14007.16
"pos-controls-544"	11921.01	13055.71
"pos-controls-613"	6627.02	6783.48
"pos-controls-614"	6403.58	6810.36
"pos-controls-615"	6075.3	6659.83
"pos-controls-616"	5720.09	7046.86
"pos-controls-705"	159.72	135.79
"pos-controls-706"	168.43	176.46
"pos-controls-707"	168.91	145.79
"pos-controls-708"	200.65	184.56
"pos-controls-773"	26284.69	26564.03
"pos-controls-774"	23102.45	25561.56
"pos-controls-775"	25259.62	27921.93
"pos-controls-776"	25157.15	28898.69
"pos-controls-777"	25105.08	29947.02
"pos-controls-778"	28915.8	30215.26
"pos-controls-779"	30741.32	33397.66
"pos-controls-780"	30472.38	33136.87
"pos-controls-813"	102.88	101.76
"pos-controls-814"	136.44	96.02
"pos-controls-815"	142.6	119.23
"pos-controls-816"	163.34	128.74
"pos-controls-829"	11788.02	13109.43
"pos-controls-830"	12261.11	14327.15
"pos-controls-831"	11244.8	12988.36
"pos-controls-832"	10552.26	13763.81
"pos-controls-893"	110.99	63.41
"pos-controls-894"	85.02	89.45
"pos-controls-895"	117.91	125.2
"pos-controls-896"	228.21	94.58
"pos-controls-949"	20895.06	22355.75
"pos-controls-950"	20532.52	21554.11
"pos-controls-951"	20620.51	22114.67
"pos-controls-952"	19457.95	20779.28
"pos-controls-953"	20620.41	22777.56
"pos-controls-954"	22354.14	24268.8
"pos-controls-955"	19249.85	20370.98
"pos-controls-956"	19858.81	25295.35
"pos-controls-1033"	121.86	83.64
"pos-controls-1034"	117.38	79.86
"pos-controls-1035"	92.73	111.85
"pos-controls-1036"	98.27	99.46
"pos-controls-1037"	772.54	611.01
"pos-controls-1038"	746.37	543.42
"pos-controls-1039"	477.28	498.31
"pos-controls-1040"	826.53	424.37
"pos-controls-1041"	93.95	96
"pos-controls-1042"	93.5	73.94
"pos-controls-1043"	105.45	95.03
"pos-controls-1044"	207.63	80.89
