"Reporter Name"	"CO_PO_rawData_r1"	"CO_PO_rawData_r2"
"pos-controls-169"	845.2	562.01
"pos-controls-170"	465.08	295.43
"pos-controls-171"	750.38	449.28
"pos-controls-172"	406.95	298.09
"pos-controls-173"	34893.46	31287.01
"pos-controls-174"	38031.77	30272
"pos-controls-175"	33984.84	28540.48
"pos-controls-176"	40351.8	33417.23
"pos-controls-333"	42327.88	29152.46
"pos-controls-334"	38218.22	24816.36
"pos-controls-335"	43786.87	26152.34
"pos-controls-336"	43309.15	28090.68
"pos-controls-537"	133.99	4324.83
"pos-controls-538"	111.38	1355.61
"pos-controls-539"	119.81	4120.57
"pos-controls-540"	105.79	185.99
"pos-controls-541"	34458.46	28961.62
"pos-controls-542"	36651.06	30747.57
"pos-controls-543"	36728.33	28390.16
"pos-controls-544"	37661.11	31740.45
"pos-controls-613"	23486.58	19795.83
"pos-controls-614"	24214.04	21112.99
"pos-controls-615"	25349.14	18655.71
"pos-controls-616"	24842.08	21226.55
"pos-controls-705"	179.25	182.13
"pos-controls-706"	159.91	158.12
"pos-controls-707"	132.46	163.7
"pos-controls-708"	149.26	160.09
"pos-controls-773"	36129.17	29603.07
"pos-controls-774"	37757.43	32164.5
"pos-controls-775"	40528.87	34151.35
"pos-controls-776"	37887.61	32991.21
"pos-controls-777"	36943.12	11481.86
"pos-controls-778"	37115.96	12193.77
"pos-controls-779"	36733.49	12468.98
"pos-controls-780"	37436.74	11516.18
"pos-controls-813"	79.8	52.68
"pos-controls-814"	59.34	50.32
"pos-controls-815"	83.4	58.33
"pos-controls-816"	66.19	62.1
"pos-controls-829"	7223	4731.17
"pos-controls-830"	8332.82	4977.38
"pos-controls-831"	6917.48	4023.71
"pos-controls-832"	7666.02	4497.31
"pos-controls-893"	58.73	45.81
"pos-controls-894"	66.51	48.91
"pos-controls-895"	100.73	85.34
"pos-controls-896"	75.95	61.63
"pos-controls-949"	4140.03	1992.9
"pos-controls-950"	5120.9	2670.55
"pos-controls-951"	4640.32	3210.63
"pos-controls-952"	2472.56	2323.92
"pos-controls-953"	25861.19	20017.62
