"Reporter Name"	"LE_PO_rawData_r1"	"LE_PO_rawData_r2"
"pos-controls-169"	330.15	309.56
"pos-controls-170"	263.22	290.19
"pos-controls-171"	366.79	314.61
"pos-controls-172"	321.39	292.97
"pos-controls-173"	118.77	129.16
"pos-controls-174"	172.85	113.47
"pos-controls-175"	154.29	86.84
"pos-controls-176"	144.25	144.87
"pos-controls-333"	280.94	160.98
"pos-controls-334"	203.44	151.04
"pos-controls-335"	300.72	206.45
"pos-controls-336"	188.57	185.63
"pos-controls-537"	175.44	140.75
"pos-controls-538"	145.92	150.96
"pos-controls-539"	189.53	123.02
"pos-controls-540"	186.67	165.87
"pos-controls-541"	158.95	98.57
"pos-controls-542"	152.2	130.38
"pos-controls-543"	154.76	83.72
"pos-controls-544"	137.31	129.99
"pos-controls-613"	96.87	104.21
"pos-controls-614"	107.05	93.63
"pos-controls-615"	137.85	84.16
"pos-controls-616"	106.62	83.07
"pos-controls-705"	184.1	99.67
"pos-controls-706"	168.96	133.67
"pos-controls-707"	127.22	129.8
"pos-controls-708"	135.98	131.49
"pos-controls-773"	390.5	344.79
"pos-controls-774"	438.5	401.25
"pos-controls-775"	452.52	494.22
"pos-controls-776"	585.86	578.43
"pos-controls-777"	342.17	270.37
"pos-controls-778"	324.22	218.7
"pos-controls-779"	315.06	240.02
"pos-controls-780"	538.67	261.44
"pos-controls-813"	113.6	105.78
"pos-controls-814"	125.07	106.31
"pos-controls-815"	107.52	96.45
"pos-controls-816"	101.86	72.59
"pos-controls-829"	201.47	175.21
"pos-controls-830"	183.32	140.57
"pos-controls-831"	203.08	151.24
"pos-controls-832"	211.13	173.4
"pos-controls-893"	94.84	109.18
"pos-controls-894"	138.03	132.7
"pos-controls-895"	123.06	111.37
"pos-controls-896"	103.17	87.41
"pos-controls-949"	171.74	340.41
"pos-controls-950"	411.43	408.75
"pos-controls-951"	290.71	333.06
"pos-controls-952"	362.38	330.62
"pos-controls-953"	106.95	100.2
"pos-controls-954"	108.23	95.78
"pos-controls-955"	102.16	89.58
"pos-controls-956"	107.18	83.25
"pos-controls-1033"	88.2	95.88
"pos-controls-1034"	78.55	81.73
"pos-controls-1035"	68.79	84.02
"pos-controls-1036"	89.85	81.04
"pos-controls-1037"	195.26	60.29
"pos-controls-1038"	179.47	116.48
"pos-controls-1039"	151.86	129.9
"pos-controls-1040"	138.61	93.94
"pos-controls-1041"	88.79	84.68
"pos-controls-1042"	72.27	66.54
"pos-controls-1043"	73.37	74.77
"pos-controls-1044"	71.51	67.59
"pos-controls-1101"	92	91.67
"pos-controls-1102"	81.85	78.06
"pos-controls-1103"	110.35	114.3
"pos-controls-1104"	98.88	98.99
