"Reporter Name"	"MX_NE_rawData_r1"	"MX_NE_rawData_r2"
"pos-controls-169"	244.49	726.12
"pos-controls-170"	251.39	720.04
"pos-controls-171"	242.39	716.5
"pos-controls-172"	267.14	831.74
"pos-controls-173"	125.8	117.36
"pos-controls-174"	114.23	238.51
"pos-controls-175"	73.93	105.71
"pos-controls-176"	99.42	128.22
"pos-controls-333"	190.91	552.06
"pos-controls-334"	212.81	273.47
"pos-controls-335"	198.4	435.08
"pos-controls-336"	216.37	479.61
"pos-controls-537"	85.71	152.74
"pos-controls-538"	93.87	221.56
"pos-controls-539"	85.34	183
"pos-controls-540"	106.18	200.25
"pos-controls-541"	92.55	90.19
"pos-controls-542"	82.78	103.12
"pos-controls-543"	86.05	87.7
"pos-controls-544"	87.06	79.64
"pos-controls-613"	121.62	166.11
"pos-controls-614"	86.79	166.96
"pos-controls-615"	90.04	176.71
"pos-controls-616"	92.9	192.95
"pos-controls-705"	145.42	162.21
"pos-controls-706"	145.84	118.37
"pos-controls-707"	125.88	130.08
"pos-controls-708"	140.87	131.84
"pos-controls-773"	183.14	529.96
"pos-controls-774"	298.28	464.77
"pos-controls-775"	367.64	613.76
"pos-controls-776"	473.95	927.79
"pos-controls-777"	317.04	488.82
"pos-controls-778"	321.79	545.2
"pos-controls-779"	236.87	461.04
"pos-controls-780"	491.31	796.18
"pos-controls-813"	106.47	306.31
"pos-controls-814"	76.27	92.24
"pos-controls-815"	60.54	97.52
"pos-controls-816"	73.54	94.19
"pos-controls-829"	397.1	258.3
"pos-controls-830"	258.67	215.5
"pos-controls-831"	247.39	206.78
"pos-controls-832"	240.47	228.34
"pos-controls-893"	58.98	80.01
"pos-controls-894"	59.12	104.74
"pos-controls-895"	70.83	101.96
"pos-controls-896"	63.47	93.87
"pos-controls-949"	116.78	168.94
"pos-controls-950"	87.56	164.41
"pos-controls-951"	102.89	179.16
"pos-controls-952"	94.48	164.23
"pos-controls-953"	91.22	123.72
"pos-controls-954"	119.53	120.67
"pos-controls-955"	83.8	107.64
"pos-controls-956"	74.54	121.14
"pos-controls-1033"	59.89	119.54
"pos-controls-1034"	82.22	112.18
"pos-controls-1035"	61.84	107.75
"pos-controls-1036"	79.5	125.87
"pos-controls-1037"	79.51	123.35
"pos-controls-1038"	75.36	331.69
"pos-controls-1039"	95.94	155.16
"pos-controls-1040"	110.91	117.52
"pos-controls-1041"	85.6	102.44
"pos-controls-1042"	72.34	117.28
"pos-controls-1043"	80.98	109.89
"pos-controls-1044"	138.88	212.48
"pos-controls-1101"	100.99	119.35
"pos-controls-1102"	91.34	129.29
"pos-controls-1103"	94.62	142.86
"pos-controls-1104"	91.42	121.29
"pos-controls-1121"	90.82	253.02
"pos-controls-1122"	74.54	103.31
"pos-controls-1123"	76.54	125.55
"pos-controls-1124"	90.39	111.49
"pos-controls-1177"	103.1	116.46
"pos-controls-1178"	99.19	169.47
"pos-controls-1179"	96.71	154.46
"pos-controls-1180"	104	154.35
"pos-controls-1265"	130.5	307.09
"pos-controls-1266"	153.23	417.84
"pos-controls-1267"	139.44	319.78
"pos-controls-1268"	121.21	352.38
"pos-controls-1321"	130.39	328.09
"pos-controls-1322"	133.14	338.45
"pos-controls-1323"	115.41	285.2
"pos-controls-1324"	123.31	261.36
"pos-controls-1329"	154.69	252.35
"pos-controls-1330"	192.45	426.91
"pos-controls-1331"	133.25	485.55
"pos-controls-1332"	201.82	482.59
"pos-controls-1449"	204.37	266.79
"pos-controls-1450"	314.5	459.5
"pos-controls-1451"	257.4	219.87
"pos-controls-1452"	225.93	262.7
"pos-controls-1457"	91.16	243.33
"pos-controls-1458"	97.77	208.8
"pos-controls-1459"	68.78	234.15
"pos-controls-1460"	103.2	231.94
"pos-controls-1561"	253.38	626.5
"pos-controls-1562"	221.68	485.54
"pos-controls-1563"	250.94	480.68
"pos-controls-1564"	267.78	527.08
"pos-controls-1577"	88.01	198.04
"pos-controls-1578"	84.83	172.26
"pos-controls-1579"	93.4	155.59
"pos-controls-1580"	87.47	198.26
"pos-controls-1589"	97.58	121.51
"pos-controls-1590"	103.52	113.77
"pos-controls-1591"	125.25	164.78
"pos-controls-1592"	101.02	128.24
"pos-controls-1597"	99.3	98.13
"pos-controls-1598"	98.71	106.14
"pos-controls-1599"	106.65	128.62
"pos-controls-1600"	108.6	134.13
"pos-controls-1773"	85.26	149
"pos-controls-1774"	100.92	135.35
"pos-controls-1775"	106.24	142.11
"pos-controls-1776"	112.21	167.56
"pos-controls-1921"	169.35	277.16
"pos-controls-1922"	169.59	292.22
"pos-controls-1923"	183.96	360.95
"pos-controls-1924"	159.1	277.27
"pos-controls-1953"	480.95	209.72
"pos-controls-1954"	858.09	706.29
"pos-controls-1955"	537.18	189.53
"pos-controls-1956"	611.92	188.94
"pos-controls-2029"	123.79	200.45
"pos-controls-2030"	108.26	287.67
"pos-controls-2031"	140.1	215.39
"pos-controls-2032"	118.19	267.16
"pos-controls-2033"	139.67	265.37
"pos-controls-2034"	122.7	267.52
"pos-controls-2035"	132.1	367.76
"pos-controls-2036"	120.68	259.14
"pos-controls-2081"	201.73	184.06
"pos-controls-2082"	238.13	187.66
"pos-controls-2083"	222.06	153.49
"pos-controls-2084"	249.58	180.92
"pos-controls-2113"	118.99	316.09
"pos-controls-2114"	116.56	286.47
"pos-controls-2115"	114.62	245.82
"pos-controls-2116"	98.58	301
"pos-controls-2121"	172.97	310.13
"pos-controls-2122"	160.73	261.11
"pos-controls-2123"	142.62	248.55
"pos-controls-2124"	280.89	322.16
"pos-controls-2181"	163.14	319.92
"pos-controls-2182"	116.79	270.17
"pos-controls-2183"	123.71	291.32
"pos-controls-2184"	116.68	218.28
"pos-controls-2185"	135.89	269.03
"pos-controls-2186"	81.03	324.59
"pos-controls-2187"	117.34	210.81
"pos-controls-2188"	116.13	226.65
"pos-controls-2453"	139.29	134.72
"pos-controls-2454"	100.75	122.3
"pos-controls-2455"	120.37	151.07
"pos-controls-2456"	118.04	156.22
"pos-controls-2457"	80.37	129.59
"pos-controls-2458"	94.74	164.95
"pos-controls-2459"	105.34	123.95
"pos-controls-2460"	95.14	154.42
"pos-controls-2461"	102.98	179.25
"pos-controls-2462"	122.38	173.94
"pos-controls-2463"	131.34	217.3
"pos-controls-2464"	119.25	229.55
"pos-controls-2485"	64.36	121.39
"pos-controls-2486"	70.49	106.04
"pos-controls-2487"	68.55	100.92
"pos-controls-2488"	55.81	82.77
"pos-controls-2697"	536.73	296.47
"pos-controls-2698"	442.98	195.53
"pos-controls-2699"	414.6	244.82
"pos-controls-2700"	491.35	204.52
"pos-controls-2701"	108.26	282.91
"pos-controls-2702"	110.52	259.7
"pos-controls-2703"	102.48	212.93
"pos-controls-2704"	115.36	294.53
"pos-controls-2777"	160.73	405.04
"pos-controls-2778"	149.11	372.59
"pos-controls-2779"	196.88	501.24
"pos-controls-2780"	113.49	382.77
"pos-controls-2833"	100.24	93.76
"pos-controls-2834"	110.21	85.21
"pos-controls-2835"	94.23	100.65
"pos-controls-2836"	106.71	100.93
"pos-controls-2837"	127.68	133
"pos-controls-2838"	132.78	145.21
"pos-controls-2839"	148.14	127.82
"pos-controls-2840"	140.49	154.11
"pos-controls-2841"	63.51	83.63
"pos-controls-2842"	73.57	86.31
"pos-controls-2843"	62.12	88.26
"pos-controls-2844"	84	97.75
"pos-controls-2873"	1975.2	1438.84
"pos-controls-2874"	2284.29	1197.35
"pos-controls-2875"	2396.4	1812.01
"pos-controls-2876"	2008.61	2681.74
"pos-controls-2941"	398.49	346.33
"pos-controls-2942"	447.23	364.23
"pos-controls-2943"	472.25	469.53
"pos-controls-2944"	529.57	349.6
"pos-controls-3041"	312.06	252.12
"pos-controls-3042"	431.17	234.91
"pos-controls-3043"	367.6	275.61
"pos-controls-3044"	356.19	260.23
"pos-controls-3061"	376.09	536.91
"pos-controls-3062"	355.85	385.63
"pos-controls-3063"	289.51	311.73
"pos-controls-3064"	329.3	399.02
"pos-controls-3189"	115.38	109.66
"pos-controls-3190"	110.71	136.57
"pos-controls-3191"	100.36	121.3
"pos-controls-3192"	116.18	118.48
"pos-controls-3237"	68.86	103.92
"pos-controls-3238"	71.94	151.96
"pos-controls-3239"	66.78	104.06
"pos-controls-3240"	80.5	109.07
"pos-controls-3253"	71.27	111.45
"pos-controls-3254"	82.8	80.82
"pos-controls-3255"	64.18	93.06
"pos-controls-3256"	72.11	111.3
"pos-controls-3257"	139.15	106.93
"pos-controls-3258"	133.6	143.18
"pos-controls-3259"	156.18	133.9
"pos-controls-3260"	142.05	125.9
"pos-controls-3289"	74.51	93.87
"pos-controls-3290"	76.45	108.34
"pos-controls-3291"	79.05	87.47
"pos-controls-3292"	74.82	84.82
"pos-controls-3293"	130.95	117.75
"pos-controls-3294"	141.35	99.37
"pos-controls-3295"	160.37	115.29
"pos-controls-3296"	136.72	156.17
"pos-controls-3301"	207.29	85.43
"pos-controls-3302"	188.06	87.28
"pos-controls-3303"	231.24	128.22
"pos-controls-3304"	217.86	122.87
