"Reporter Name"	"US_NE_rawData_r1"	"US_NE_rawData_r2"
"pos-controls-169"	197.05	206.74
"pos-controls-170"	202.86	178.01
"pos-controls-171"	142.17	131.17
"pos-controls-172"	151.09	145.38
"pos-controls-173"	133.3	96.1
"pos-controls-174"	94.37	84.7
"pos-controls-175"	75.59	79.16
"pos-controls-176"	96.56	150.46
"pos-controls-333"	288.33	245.57
"pos-controls-334"	237.85	216.25
"pos-controls-335"	265.11	233.87
"pos-controls-336"	264.27	210.34
"pos-controls-537"	72.31	80.11
"pos-controls-538"	92.45	66.19
"pos-controls-539"	71.69	85.02
"pos-controls-540"	89.9	93.24
"pos-controls-541"	249.68	145.89
"pos-controls-542"	140.23	134.01
"pos-controls-543"	168.98	164.89
"pos-controls-544"	137.13	132.65
"pos-controls-613"	69.41	71.73
"pos-controls-614"	59.54	52.36
"pos-controls-615"	77.46	73.41
"pos-controls-616"	73.5	70.47
"pos-controls-705"	152.26	165.36
"pos-controls-706"	127.08	139.78
"pos-controls-707"	123.41	116.11
"pos-controls-708"	129.74	157.18
"pos-controls-773"	156.32	147.79
"pos-controls-774"	188.85	129.71
"pos-controls-775"	212.82	172.29
"pos-controls-776"	162.36	153.03
"pos-controls-777"	182.03	163.95
"pos-controls-778"	153.14	162.48
"pos-controls-779"	181.41	146.39
"pos-controls-780"	162.17	141.87
"pos-controls-813"	50.86	76.31
"pos-controls-814"	52.96	56.69
"pos-controls-815"	77.93	69.44
"pos-controls-816"	54.46	61.44
"pos-controls-829"	330.68	240.1
"pos-controls-830"	589.84	477.1
"pos-controls-831"	191.65	237.55
"pos-controls-832"	334.23	394.21
"pos-controls-893"	85.52	61.55
"pos-controls-894"	67.94	57.34
"pos-controls-895"	69.11	57.88
"pos-controls-896"	85	66.49
"pos-controls-949"	392.35	428.41
"pos-controls-950"	372.19	329.62
"pos-controls-951"	357.85	338.81
"pos-controls-952"	419.49	388.71
"pos-controls-953"	88	81.25
"pos-controls-954"	138.42	81.66
"pos-controls-955"	85.39	83.55
"pos-controls-956"	73.55	72.69
"pos-controls-1033"	73.08	57.33
"pos-controls-1034"	82.06	70.94
"pos-controls-1035"	70.97	78.47
"pos-controls-1036"	64	63.12
"pos-controls-1037"	82.13	75.5
"pos-controls-1038"	100.82	83.06
"pos-controls-1039"	108.66	83.2
"pos-controls-1040"	100.86	75.67
"pos-controls-1041"	66.69	100.57
"pos-controls-1042"	72.38	67.28
"pos-controls-1043"	64.45	82.75
"pos-controls-1044"	59.35	74.89
"pos-controls-1101"	93.37	133.59
"pos-controls-1102"	86.98	96.92
"pos-controls-1103"	120.81	107
"pos-controls-1104"	77.85	89.45
"pos-controls-1121"	63.31	75.67
"pos-controls-1122"	84.2	73.88
"pos-controls-1123"	80.89	75.97
"pos-controls-1124"	86.51	94.19
"pos-controls-1177"	97.48	115.28
"pos-controls-1178"	104.5	99.4
"pos-controls-1179"	111.81	97.73
"pos-controls-1180"	139.16	104.32
"pos-controls-1265"	231.53	189.99
"pos-controls-1266"	203.4	150.22
"pos-controls-1267"	209.29	190.22
"pos-controls-1268"	224.6	216.62
"pos-controls-1321"	166.93	151.41
"pos-controls-1322"	203.26	180.32
"pos-controls-1323"	214.23	158.04
"pos-controls-1324"	202.81	173.58
"pos-controls-1329"	326.18	342.18
"pos-controls-1330"	384.97	339.94
"pos-controls-1331"	335.98	351
"pos-controls-1332"	434.57	403.37
"pos-controls-1449"	75.82	61.73
"pos-controls-1450"	95.71	79.16
"pos-controls-1451"	77.3	66.13
"pos-controls-1452"	62.04	51.16
"pos-controls-1457"	78.33	71.89
"pos-controls-1458"	76.24	73.27
"pos-controls-1459"	91.2	71.99
"pos-controls-1460"	78.93	74.57
"pos-controls-1561"	76.38	71.21
"pos-controls-1562"	68.86	80.61
"pos-controls-1563"	71.33	69.12
"pos-controls-1564"	196.07	97.37
"pos-controls-1577"	116.08	100.94
"pos-controls-1578"	170.28	94.16
"pos-controls-1579"	113.16	77.82
"pos-controls-1580"	177.31	111.68
"pos-controls-1589"	111.18	104.28
"pos-controls-1590"	126.7	114.7
"pos-controls-1591"	149.37	104.63
"pos-controls-1592"	115.12	96.98
"pos-controls-1597"	106.62	94.69
"pos-controls-1598"	129.63	73.35
"pos-controls-1599"	100.85	99.82
"pos-controls-1600"	104.53	116.08
"pos-controls-1773"	211.33	170.9
"pos-controls-1774"	185.42	152.37
"pos-controls-1775"	285.75	221.1
"pos-controls-1776"	305.03	234.39
"pos-controls-1921"	154.14	149.71
"pos-controls-1922"	145.02	139.86
"pos-controls-1923"	220.11	136.93
"pos-controls-1924"	135.46	149.74
"pos-controls-1953"	84.58	78.87
"pos-controls-1954"	107.65	74.62
"pos-controls-1955"	67.64	86.27
"pos-controls-1956"	74.5	81.63
"pos-controls-2029"	136.08	112.55
"pos-controls-2030"	94.31	88.89
"pos-controls-2031"	102.81	81.55
"pos-controls-2032"	103.58	120.68
"pos-controls-2033"	106.6	91.12
"pos-controls-2034"	102.96	94.37
"pos-controls-2035"	166.3	143.15
"pos-controls-2036"	122.81	114.74
"pos-controls-2081"	144.86	157.14
"pos-controls-2082"	178.05	179.31
"pos-controls-2083"	188.42	195.18
"pos-controls-2084"	131.42	151.97
"pos-controls-2113"	95.25	90.85
"pos-controls-2114"	103.69	84.18
"pos-controls-2115"	210.36	118.37
"pos-controls-2116"	105.96	96.67
"pos-controls-2121"	75.46	74.94
"pos-controls-2122"	124.17	114.97
"pos-controls-2123"	69.79	67.35
"pos-controls-2124"	93.75	81.14
"pos-controls-2181"	150.97	111.51
"pos-controls-2182"	127.9	102.11
"pos-controls-2183"	98.18	79.3
"pos-controls-2184"	121.4	129.25
"pos-controls-2185"	90.76	91.65
"pos-controls-2186"	106.66	90.74
"pos-controls-2187"	97.28	83.6
"pos-controls-2188"	91.36	94.85
"pos-controls-2453"	118.11	126.81
"pos-controls-2454"	88.46	128.89
"pos-controls-2455"	93.47	129.8
