"Reporter Name"	"US_PO_rawData_r1"	"US_PO_rawData_r2"
"pos-controls-169"	650.88	689.77
"pos-controls-170"	760.59	571.13
"pos-controls-171"	653.12	500.61
"pos-controls-172"	557.27	573
"pos-controls-173"	37230.66	36380.4
"pos-controls-174"	42286.93	40538.89
"pos-controls-175"	41515.81	41459.21
"pos-controls-176"	40480.45	42225.5
"pos-controls-333"	36234.2	34690.83
"pos-controls-334"	33727.39	35915.94
"pos-controls-335"	37411.55	36172.07
"pos-controls-336"	35851.24	34877.55
"pos-controls-537"	243.49	253.88
"pos-controls-538"	319.9	263.08
"pos-controls-539"	208.51	225.93
"pos-controls-540"	279.71	267.16
"pos-controls-541"	37854.49	38972.59
"pos-controls-542"	41025.94	40662.2
"pos-controls-543"	41762.65	43033.71
"pos-controls-544"	44301.73	41271.08
"pos-controls-613"	19719.63	18503.34
"pos-controls-614"	19278.82	19674.25
"pos-controls-615"	18813.49	19318.06
"pos-controls-616"	20148.62	20168.41
"pos-controls-705"	146.27	165.89
"pos-controls-706"	142.83	162.07
"pos-controls-707"	166.11	163.4
"pos-controls-708"	177.72	168.07
"pos-controls-773"	6495.32	8224.39
"pos-controls-774"	6768.35	6816.59
"pos-controls-775"	6652.12	6789.3
"pos-controls-776"	7114.8	7578.62
"pos-controls-777"	7000.24	6560.79
"pos-controls-778"	7419.98	7104.47
"pos-controls-779"	7439.02	7588.71
"pos-controls-780"	6364.81	6334.83
"pos-controls-813"	71.17	107.05
"pos-controls-814"	67.88	70.29
"pos-controls-815"	131.02	108.96
"pos-controls-816"	70.76	78.06
"pos-controls-829"	500.1	551.01
"pos-controls-830"	636.84	630.82
"pos-controls-831"	463.03	548.94
"pos-controls-832"	576.63	549.53
"pos-controls-893"	62.77	63.44
"pos-controls-894"	69.73	80.45
"pos-controls-895"	99.5	95.26
"pos-controls-896"	97.9	92.71
"pos-controls-949"	8682.75	8933.19
"pos-controls-950"	9434.34	9541.15
"pos-controls-951"	9752.45	9579.17
"pos-controls-952"	8583.86	9466.53
"pos-controls-953"	41829.93	38900.32
"pos-controls-954"	42566.54	39902.33
"pos-controls-955"	38094.76	38712.13
"pos-controls-956"	38305.6	35042.59
"pos-controls-1033"	66.65	91.18
"pos-controls-1034"	83.31	85.08
"pos-controls-1035"	87.09	77.02
"pos-controls-1036"	87.94	79.61
"pos-controls-1037"	235.94	192.09
"pos-controls-1038"	212.79	194.17
"pos-controls-1039"	244.41	251.39
"pos-controls-1040"	230.57	204.2
"pos-controls-1041"	64.74	74.81
"pos-controls-1042"	70.16	67.1
"pos-controls-1043"	75.19	63.99
"pos-controls-1044"	53.39	64.13
"pos-controls-1101"	42459.17	40691.01
"pos-controls-1102"	42864.3	39897.34
"pos-controls-1103"	43361.5	40828.21
"pos-controls-1104"	38364.56	41014.83
"pos-controls-1121"	37314.05	38399.94
"pos-controls-1122"	41071.81	39204.7
"pos-controls-1123"	39838.83	38047.23
"pos-controls-1124"	36586.08	42047.1
"pos-controls-1177"	36644.58	39387.56
"pos-controls-1178"	34076.71	40300.52
"pos-controls-1179"	40984.09	39952.11
"pos-controls-1180"	39773.46	38168.6
"pos-controls-1265"	4028.84	4007.78
"pos-controls-1266"	3842.53	4111.11
"pos-controls-1267"	4132.17	4477.71
"pos-controls-1268"	4456.08	4455.64
"pos-controls-1321"	4055.33	4477.71
"pos-controls-1322"	4205	4403.9
"pos-controls-1323"	4703.74	4527.18
"pos-controls-1324"	4961.65	4949.36
"pos-controls-1329"	10833.01	11027.01
"pos-controls-1330"	12886.45	13635.42
"pos-controls-1331"	12068.36	13067.12
"pos-controls-1332"	14155.52	14690.32
"pos-controls-1449"	112.89	145.05
"pos-controls-1450"	157.67	157.11
"pos-controls-1451"	122.29	159.55
"pos-controls-1452"	141.92	225.03
"pos-controls-1457"	33931.43	30934.84
"pos-controls-1458"	32805.73	31920.72
"pos-controls-1459"	28713.77	30270.12
"pos-controls-1460"	34365.06	31029.19
"pos-controls-1561"	34361.84	32597.12
"pos-controls-1562"	32315.55	32079.35
"pos-controls-1563"	32534.77	33915.88
"pos-controls-1564"	29553.27	32637.91
"pos-controls-1577"	32912.4	32367.79
"pos-controls-1578"	34568.75	33666.21
"pos-controls-1579"	31155.19	31917.72
"pos-controls-1580"	30431.45	30966.6
"pos-controls-1589"	32766.78	32894.48
"pos-controls-1590"	32256.65	32903.72
"pos-controls-1591"	27801.87	27051.59
"pos-controls-1592"	31372.21	32291.94
"pos-controls-1597"	24332.38	22428.77
"pos-controls-1598"	24838.81	25129.17
"pos-controls-1599"	26920.97	26459.14
"pos-controls-1600"	24275.06	22043.69
"pos-controls-1773"	41484.82	41198.43
"pos-controls-1774"	42506.31	39669.61
"pos-controls-1775"	41105.86	43122.8
"pos-controls-1776"	41045.62	43496.03
"pos-controls-1921"	12287.09	14349.55
"pos-controls-1922"	12915.54	13610.63
"pos-controls-1923"	16338.77	11893.07
"pos-controls-1924"	12947.44	14282.22
"pos-controls-1953"	129.23	253.53
"pos-controls-1954"	131.09	169.77
"pos-controls-1955"	152.42	211.66
"pos-controls-1956"	175.9	184.75
"pos-controls-2029"	6571.13	6738.68
"pos-controls-2030"	6098.3	6506.82
"pos-controls-2031"	7153.29	7260.58
"pos-controls-2032"	7385.87	7509.38
"pos-controls-2033"	6223.24	6272.06
"pos-controls-2034"	6288.59	6905.5
