"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	21657.66	18569.32
"10130"	"tcruzi-260"	3475.17	1114.83
"10141"	"tcruzi-271"	4269.58	2600.58
"10236"	"tcruzi-366"	29988.51	28789.11
"10723"	"tcruzi-853"	3158.01	2492.95
"10725"	"tcruzi-855"	576.76	1683.95
"10741"	"tcruzi-871"	1021.8	996.9
"10756"	"tcruzi-886"	371.1	510.48
"10759"	"tcruzi-889"	6199.59	725.99
"10760"	"tcruzi-890"	2502.86	1213.53
"10778"	"tcruzi-908"	6509.29	2772.99
"10779"	"tcruzi-909"	5416.47	1429.6
"10785"	"tcruzi-915"	21123.43	18806.49
"11029"	"tcruzi-1159"	8629.78	6556.35
"11109"	"tcruzi-1239"	25119.39	25347.61
"11194"	"tcruzi-1324"	26352.6	28481.03
"11472"	"tcruzi-1602"	24130.81	23111.65
"11473"	"tcruzi-1603"	23405.36	23960.05
"11474"	"tcruzi-1604"	25417.74	21437.23
"11475"	"tcruzi-1605"	18207.55	16714.77
"11524"	"tcruzi-1654"	1023.89	659.45
"11535"	"tcruzi-1665"	1406.07	1435.58
"11724"	"tcruzi-1854"	31519.89	30581.13
"12045"	"tcruzi-2175"	22341.77	17211.9
"12122"	"tcruzi-2252"	22601.46	20096.73
"12123"	"tcruzi-2253"	25556.87	22660.51
"12125"	"tcruzi-2255"	22504.95	20314.7
"12656"	"tcruzi-2786"	664.78	150.78
"12657"	"tcruzi-2787"	144.25	144.67
"12667"	"tcruzi-2797"	19858.21	22562.52
"12668"	"tcruzi-2798"	23808.82	24684.78
"12677"	"tcruzi-2807"	21409.04	17771.83
"12678"	"tcruzi-2808"	24972.98	23798.06
"12679"	"tcruzi-2809"	30046.66	28631.43
"12680"	"tcruzi-2810"	27513.91	27218.87
"12681"	"tcruzi-2811"	25026.55	24765.54
"12682"	"tcruzi-2812"	801.82	1169.41
"12683"	"tcruzi-2813"	2385.71	8079.82
"12716"	"tcruzi-2846"	22415.75	19630.64
"12717"	"tcruzi-2847"	27145.86	24230.09
"12718"	"tcruzi-2848"	1134.85	2494.65
"12731"	"tcruzi-2861"	22016.84	19778.79
"12769"	"tcruzi-2899"	2374.25	1637.42
"12968"	"tcruzi-3098"	2366.76	2243.2
"12977"	"tcruzi-3107"	5578.88	4827.06
"13282"	"tcruzi-3412"	8886.84	7864.31
"13283"	"tcruzi-3413"	12418.72	11280.36
"13284"	"tcruzi-3414"	22294.79	22023.68
"13285"	"tcruzi-3415"	10482.34	9112.15
"13314"	"tcruzi-3444"	2033.74	2181.1
"13321"	"tcruzi-3451"	3148.17	950.83
"13322"	"tcruzi-3452"	2252.2	987.97
"13354"	"tcruzi-3484"	2175.26	2794.11
"13355"	"tcruzi-3485"	2593.29	1923.96
"13357"	"tcruzi-3487"	647.11	492.45
"13381"	"tcruzi-3511"	2162.69	681.6
"13438"	"tcruzi-3568"	3632.13	1553.38
"13444"	"tcruzi-3574"	1083.86	802.8
"13448"	"tcruzi-3578"	3472.91	904.26
"13504"	"tcruzi-3634"	7041.38	7929.2
"13508"	"tcruzi-3638"	4321.7	1458.31
"13509"	"tcruzi-3639"	17126.17	1972.92
"13552"	"tcruzi-3682"	6805.12	2308.57
"13553"	"tcruzi-3683"	3479.03	1632.39
"13582"	"tcruzi-3712"	19196.88	17473.54
"13595"	"tcruzi-3725"	6565.04	596.78
"13627"	"tcruzi-3757"	4407.45	1326.79
"13697"	"tcruzi-3827"	2067.44	1498.56
"13723"	"tcruzi-3853"	26372.83	21207.54
"14102"	"tcruzi-4232"	4346.63	3237.48
"14237"	"tcruzi-4367"	535.04	408.22
"14303"	"tcruzi-4433"	617.96	958.78
"14626"	"tcruzi-4756"	5953.7	6409.92
"14771"	"tcruzi-4901"	1283.45	1214.35
"14788"	"tcruzi-4918"	5228.94	3969.3
"14968"	"tcruzi-5098"	24374.15	24913.81
"14994"	"tcruzi-5124"	2071.68	2464.84
"15508"	"tcruzi-5638"	24263.27	21717.11
"15606"	"tcruzi-5736"	1143.39	1510.16
"15607"	"tcruzi-5737"	15671.28	12775.86
"15688"	"tcruzi-5818"	34834.81	33412.14
"15833"	"tcruzi-5963"	3733.33	3137.72
"16011"	"tcruzi-6141"	508.7	486.48
"16041"	"tcruzi-6171"	10523.92	11191.01
"16288"	"tcruzi-6418"	7127.39	6527.19
"16292"	"tcruzi-6422"	11559.12	10273.51
"16338"	"tcruzi-6468"	35517.41	27760.89
"16586"	"tcruzi-6716"	2276.05	2415.33
"17005"	"tcruzi-7135"	18914.11	20945.47
"17006"	"tcruzi-7136"	23250.98	19623.03
"17007"	"tcruzi-7137"	21647.71	20889.8
"17008"	"tcruzi-7138"	25999.13	18404.8
"17009"	"tcruzi-7139"	24582.85	18616.68
"17010"	"tcruzi-7140"	25417.73	22307.36
"17012"	"tcruzi-7142"	23762.27	22723.08
"17015"	"tcruzi-7145"	25066.73	16075.54
"17016"	"tcruzi-7146"	26122.18	23736.55
"17211"	"tcruzi-7341"	206.46	239.81
"17235"	"tcruzi-7365"	1143.4	596.56
"17246"	"tcruzi-7376"	1136.16	689.6
"17247"	"tcruzi-7377"	1109.33	398.33
"17360"	"tcruzi-7490"	6391.52	7669.07
"17361"	"tcruzi-7491"	8602.23	8392.54
"17364"	"tcruzi-7494"	2059.29	1632.15
"17430"	"tcruzi-7560"	286.52	300.74
"17433"	"tcruzi-7563"	231.26	305.64
"17468"	"tcruzi-7598"	6156.94	8913.6
"17472"	"tcruzi-7602"	1807.29	1568.83
"17713"	"tcruzi-7843"	21253.82	17815.01
"17718"	"tcruzi-7848"	24126.91	22928.89
"17934"	"tcruzi-8064"	121.41	287.38
"18034"	"tcruzi-8164"	16966.49	15480.89
"18267"	"tcruzi-8397"	19881.22	20564.03
"18268"	"tcruzi-8398"	307.96	20423.72
"18269"	"tcruzi-8399"	23406.55	18153.36
"18270"	"tcruzi-8400"	27198.6	19573.1
"18277"	"tcruzi-8407"	21922	18210.55
"18278"	"tcruzi-8408"	22307.64	17612.36
"18279"	"tcruzi-8409"	22099.91	18125.45
"18281"	"tcruzi-8411"	25960.84	20473.12
"18295"	"tcruzi-8425"	19868.23	23290.89
"18310"	"tcruzi-8440"	24356.57	19831.6
"18311"	"tcruzi-8441"	25442.33	18065.23
"18346"	"tcruzi-8476"	84	106.91
"18641"	"tcruzi-8771"	174.71	123.14
"18648"	"tcruzi-8778"	176.49	164.57
"18649"	"tcruzi-8779"	377.08	260.99
"18651"	"tcruzi-8781"	178.18	121.86
"18652"	"tcruzi-8782"	429.55	191.12
"18674"	"tcruzi-8804"	10816.43	9932.26
"18699"	"tcruzi-8829"	30775.63	27491.63
"18702"	"tcruzi-8832"	23867.4	24158.57
"18716"	"tcruzi-8846"	29980.33	28085.45
"18719"	"tcruzi-8849"	32682.88	32590.91
"18731"	"tcruzi-8861"	34245.44	26887.08
"18732"	"tcruzi-8862"	37230.89	30306.57
"18734"	"tcruzi-8864"	31502.83	28364.24
"18736"	"tcruzi-8866"	22943.27	15348.5
"18737"	"tcruzi-8867"	33659.79	26984.96
"18751"	"tcruzi-8881"	20671.69	12157.58
"18757"	"tcruzi-8887"	27246.74	23843.07
"18762"	"tcruzi-8892"	32885.23	28060.04
"18763"	"tcruzi-8893"	33790.56	27045.67
"18764"	"tcruzi-8894"	34267.78	25893.17
"18767"	"tcruzi-8897"	32264.19	28542.96
"18768"	"tcruzi-8898"	26359.02	24539.05
"18771"	"tcruzi-8901"	24193.51	22167.56
"18772"	"tcruzi-8902"	25117.95	23555.3
"18779"	"tcruzi-8909"	32740.18	29129.26
"18794"	"tcruzi-8924"	33806.24	30121.7
"18837"	"tcruzi-8967"	2571.74	1130.45
"18838"	"tcruzi-8968"	1706.75	744.84
"18839"	"tcruzi-8969"	1816.23	896.69
"18848"	"tcruzi-8978"	822.58	854.82
"19188"	"tcruzi-9318"	35210.95	29972.02
"19189"	"tcruzi-9319"	27577.28	21182.36
"19228"	"tcruzi-9358"	34855.86	28677.81
"19229"	"tcruzi-9359"	29381.2	29220.43
"19429"	"tcruzi-9559"	14.45	110.84
"19430"	"tcruzi-9560"	171.61	117.27
"19432"	"tcruzi-9562"	129.11	74.29
"19435"	"tcruzi-9565"	82.41	104.54
"19436"	"tcruzi-9566"	91.26	99.04
"19441"	"tcruzi-9571"	125.41	77.51
"19761"	"tcruzi-9891"	19100.61	14986.12
"19940"	"tcruzi-10070"	21014.08	18138.72
"20175"	"tcruzi-10305"	2759.4	2506.03
"20296"	"tcruzi-10426"	10510.42	12982.98
"20425"	"tcruzi-10555"	1289.54	1487.33
"20624"	"tcruzi-10754"	37501.67	33472.76
"20627"	"tcruzi-10757"	33922.25	30151.85
"20741"	"tcruzi-10871"	13510.68	12541.39
"21014"	"tcruzi-11144"	25422.27	18906.25
"21015"	"tcruzi-11145"	28011.33	20642.62
"21017"	"tcruzi-11147"	25573.08	20582.07
"21020"	"tcruzi-11150"	26389.81	24756.5
