"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	10015.24	11056.42
"10130"	"tcruzi-260"	1922.84	984.72
"10141"	"tcruzi-271"	462.54	458.14
"10236"	"tcruzi-366"	21665.86	15345.13
"10723"	"tcruzi-853"	2572.79	986.02
"10725"	"tcruzi-855"	684.2	296.09
"10741"	"tcruzi-871"	494.26	183.1
"10756"	"tcruzi-886"	700.34	78.06
"10759"	"tcruzi-889"	7722.34	1600.02
"10760"	"tcruzi-890"	3517.95	806.98
"10778"	"tcruzi-908"	4050.81	1100.35
"10779"	"tcruzi-909"	459.9	211.93
"10785"	"tcruzi-915"	778.86	491.51
"11029"	"tcruzi-1159"	226.62	265.47
"11109"	"tcruzi-1239"	15750.11	12702.52
"11194"	"tcruzi-1324"	1520.2	786.32
"11472"	"tcruzi-1602"	19783.26	12843.2
"11473"	"tcruzi-1603"	21339.24	12229.02
"11474"	"tcruzi-1604"	20335.69	12342.67
"11475"	"tcruzi-1605"	14140.1	10411.02
"11524"	"tcruzi-1654"	155.73	120.16
"11535"	"tcruzi-1665"	117.89	87.74
"11724"	"tcruzi-1854"	11728.02	5996.13
"12045"	"tcruzi-2175"	1636.42	782.23
"12122"	"tcruzi-2252"	3844.82	1537.46
"12123"	"tcruzi-2253"	3551.85	1471.1
"12125"	"tcruzi-2255"	3845.25	1800.49
"12656"	"tcruzi-2786"	204.83	105.68
"12657"	"tcruzi-2787"	145.71	134.05
"12667"	"tcruzi-2797"	746.6	589.05
"12668"	"tcruzi-2798"	967.34	1026.75
"12677"	"tcruzi-2807"	2159.69	1609.64
"12678"	"tcruzi-2808"	3423.55	1904.58
"12679"	"tcruzi-2809"	6917.38	3678.21
"12680"	"tcruzi-2810"	4237.28	2561.36
"12681"	"tcruzi-2811"	2391.31	1339.09
"12682"	"tcruzi-2812"	498.99	227.4
"12683"	"tcruzi-2813"	2098.72	1978.1
"12716"	"tcruzi-2846"	7321.73	5107.77
"12717"	"tcruzi-2847"	8134.6	6961.63
"12718"	"tcruzi-2848"	7181.8	4933.22
"12731"	"tcruzi-2861"	9789.28	7378.66
"12769"	"tcruzi-2899"	958.5	733.33
"12968"	"tcruzi-3098"	195.16	123.05
"12977"	"tcruzi-3107"	6903.34	3671.34
"13282"	"tcruzi-3412"	303.73	166.06
"13283"	"tcruzi-3413"	272.93	217.97
"13284"	"tcruzi-3414"	266.47	229.08
"13285"	"tcruzi-3415"	283.35	213.79
"13314"	"tcruzi-3444"	971.37	471.2
"13321"	"tcruzi-3451"	1402.93	371.53
"13322"	"tcruzi-3452"	1542.95	538.32
"13354"	"tcruzi-3484"	3162	811.3
"13355"	"tcruzi-3485"	3187.98	896.3
"13357"	"tcruzi-3487"	1032.51	232.2
"13381"	"tcruzi-3511"	360.15	619.98
"13438"	"tcruzi-3568"	708.04	572.33
"13444"	"tcruzi-3574"	1187.71	401.92
"13448"	"tcruzi-3578"	1019.81	369.56
"13504"	"tcruzi-3634"	3314.78	2651.09
"13508"	"tcruzi-3638"	8287.33	1665.71
"13509"	"tcruzi-3639"	6469.25	999.68
"13552"	"tcruzi-3682"	3975.57	1982.72
"13553"	"tcruzi-3683"	640.87	1101.41
"13582"	"tcruzi-3712"	1319.49	513.89
"13595"	"tcruzi-3725"	1939.74	307.64
"13627"	"tcruzi-3757"	943.78	392.87
"13697"	"tcruzi-3827"	654.44	302.53
"13723"	"tcruzi-3853"	13127.42	11872.03
"14102"	"tcruzi-4232"	764.88	323.25
"14237"	"tcruzi-4367"	205.11	154.86
"14303"	"tcruzi-4433"	252.86	117.12
"14626"	"tcruzi-4756"	246.84	232.19
"14771"	"tcruzi-4901"	305.04	172.08
"14788"	"tcruzi-4918"	10842.61	6454.79
"14968"	"tcruzi-5098"	20315.76	13088.95
"14994"	"tcruzi-5124"	380.25	294.52
"15508"	"tcruzi-5638"	2918.09	1282.47
"15606"	"tcruzi-5736"	166.81	182.87
"15607"	"tcruzi-5737"	981.48	446.82
"15688"	"tcruzi-5818"	25488.16	19215.75
"15833"	"tcruzi-5963"	3724.26	4389.02
"16011"	"tcruzi-6141"	169.25	115.28
"16041"	"tcruzi-6171"	966.14	758.51
"16288"	"tcruzi-6418"	10928.42	6911.72
"16292"	"tcruzi-6422"	11041.44	8846.31
"16338"	"tcruzi-6468"	7013.02	4050.52
"16586"	"tcruzi-6716"	7221.21	4955.61
"17005"	"tcruzi-7135"	17226.92	10038.26
"17006"	"tcruzi-7136"	17333.31	9464.76
"17007"	"tcruzi-7137"	17653.03	9844.48
"17008"	"tcruzi-7138"	13995.67	9542.51
"17009"	"tcruzi-7139"	21285.67	11024.2
"17010"	"tcruzi-7140"	20021.83	12996.91
"17012"	"tcruzi-7142"	22191.01	12123.75
"17015"	"tcruzi-7145"	18815.3	11146.88
"17016"	"tcruzi-7146"	22685.68	14746.05
"17211"	"tcruzi-7341"	16989.23	12295.13
"17235"	"tcruzi-7365"	220.72	92.73
"17246"	"tcruzi-7376"	325.06	137.83
"17247"	"tcruzi-7377"	183.39	112.09
"17360"	"tcruzi-7490"	591.55	433.13
"17361"	"tcruzi-7491"	765.41	622.45
"17364"	"tcruzi-7494"	564.26	404.78
"17430"	"tcruzi-7560"	66.46	100.74
"17433"	"tcruzi-7563"	65.02	48.31
"17468"	"tcruzi-7598"	672.22	586.75
"17472"	"tcruzi-7602"	675.73	676.05
"17713"	"tcruzi-7843"	292.73	280.9
"17718"	"tcruzi-7848"	431.56	430.83
"17934"	"tcruzi-8064"	255.06	109.06
"18034"	"tcruzi-8164"	1285.52	603.36
"18267"	"tcruzi-8397"	19219.49	9965.18
"18268"	"tcruzi-8398"	19059.03	10948.32
"18269"	"tcruzi-8399"	17083.59	8383.49
"18270"	"tcruzi-8400"	17225.73	9918.91
"18277"	"tcruzi-8407"	12128.71	5360.06
"18278"	"tcruzi-8408"	16767.8	8600.17
"18279"	"tcruzi-8409"	18396.33	8857.45
"18281"	"tcruzi-8411"	18469.08	11368.44
"18295"	"tcruzi-8425"	316.68	225.17
"18310"	"tcruzi-8440"	20416.76	10893.27
"18311"	"tcruzi-8441"	20671.19	11678.74
"18346"	"tcruzi-8476"	101.69	87.78
