"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	11450.46	2788.19
"10130"	"tcruzi-260"	7407.65	7243.06
"10141"	"tcruzi-271"	23309.44	21569.96
"10236"	"tcruzi-366"	29023.75	26407.33
"10723"	"tcruzi-853"	1191.66	10013.63
"10725"	"tcruzi-855"	593.9	3126.48
"10741"	"tcruzi-871"	2248.01	3186.95
"10756"	"tcruzi-886"	3040.32	4321.14
"10759"	"tcruzi-889"	3733	11902.94
"10760"	"tcruzi-890"	1845.81	7080.86
"10778"	"tcruzi-908"	1250.49	1568
"10779"	"tcruzi-909"	6115.25	3632.07
"10785"	"tcruzi-915"	12445.38	3080.22
"11029"	"tcruzi-1159"	4374.59	1897.06
"11109"	"tcruzi-1239"	27310.93	25891.01
"11194"	"tcruzi-1324"	25554.81	21529.88
"11472"	"tcruzi-1602"	25883.8	21263.6
"11473"	"tcruzi-1603"	19623.69	21991.64
"11474"	"tcruzi-1604"	25863	27481.72
"11475"	"tcruzi-1605"	19860.09	16173.69
"11524"	"tcruzi-1654"	2917.47	906.14
"11535"	"tcruzi-1665"	2620.76	983.37
"11724"	"tcruzi-1854"	23241.84	17369.97
"12045"	"tcruzi-2175"	6087.83	993.82
"12122"	"tcruzi-2252"	12337.11	10204.85
"12123"	"tcruzi-2253"	15318.81	15273.98
"12125"	"tcruzi-2255"	12435.63	10779.94
"12656"	"tcruzi-2786"	945.73	938.22
"12657"	"tcruzi-2787"	146.08	384.09
"12667"	"tcruzi-2797"	11722.89	6793.92
"12668"	"tcruzi-2798"	3664.21	3259.03
"12677"	"tcruzi-2807"	27266.21	17720.34
"12678"	"tcruzi-2808"	28057.65	25302.57
"12679"	"tcruzi-2809"	30096.81	29652.52
"12680"	"tcruzi-2810"	26260.17	26034.22
"12681"	"tcruzi-2811"	28918.58	27899.86
"12682"	"tcruzi-2812"	26901	26135.15
"12683"	"tcruzi-2813"	26522.89	26556.13
"12716"	"tcruzi-2846"	3149.44	962.92
"12717"	"tcruzi-2847"	2351.16	1349.33
"12718"	"tcruzi-2848"	961.22	896.08
"12731"	"tcruzi-2861"	2876.67	1111.49
"12769"	"tcruzi-2899"	4093.06	1505.43
"12968"	"tcruzi-3098"	3502.61	881.46
"12977"	"tcruzi-3107"	6930.4	2443.22
"13282"	"tcruzi-3412"	24806.39	20018.59
"13283"	"tcruzi-3413"	22421.6	20376.42
"13284"	"tcruzi-3414"	25938.71	25482.48
"13285"	"tcruzi-3415"	22078.81	20690.44
"13314"	"tcruzi-3444"	5787.88	1536.94
"13321"	"tcruzi-3451"	16751.89	7468.49
"13322"	"tcruzi-3452"	9983.89	2100.11
"13354"	"tcruzi-3484"	829.59	1528.39
"13355"	"tcruzi-3485"	856.74	887.88
"13357"	"tcruzi-3487"	401.81	1035.68
"13381"	"tcruzi-3511"	5051.73	2846.98
"13438"	"tcruzi-3568"	15964.47	4793.54
"13444"	"tcruzi-3574"	16765.63	7533.39
"13448"	"tcruzi-3578"	14121.71	2477.73
"13504"	"tcruzi-3634"	20758.01	20027.14
"13508"	"tcruzi-3638"	512.92	3215.31
"13509"	"tcruzi-3639"	13234.18	7419.53
"13552"	"tcruzi-3682"	5266.15	5872.15
"13553"	"tcruzi-3683"	5003.85	3387.06
"13582"	"tcruzi-3712"	4542.25	1459.06
"13595"	"tcruzi-3725"	7354.25	4625.47
"13627"	"tcruzi-3757"	16918.17	2930.43
"13697"	"tcruzi-3827"	4804.12	1077.68
"13723"	"tcruzi-3853"	19838.32	16902.07
"14102"	"tcruzi-4232"	3822.9	1371.53
"14237"	"tcruzi-4367"	5988.93	1527.55
"14303"	"tcruzi-4433"	2569.21	975.62
"14626"	"tcruzi-4756"	932.94	520.67
"14771"	"tcruzi-4901"	18281.17	11696.72
"14788"	"tcruzi-4918"	4464.22	1621.87
"14968"	"tcruzi-5098"	28554.99	25683.87
"14994"	"tcruzi-5124"	1859.62	234.12
"15508"	"tcruzi-5638"	3711.2	801.71
"15606"	"tcruzi-5736"	872.03	116.25
"15607"	"tcruzi-5737"	5215.82	745.56
"15688"	"tcruzi-5818"	47997.01	36702.03
"15833"	"tcruzi-5963"	3978.42	1380.07
"16011"	"tcruzi-6141"	867.8	117.82
"16041"	"tcruzi-6171"	1029.51	391.31
"16288"	"tcruzi-6418"	17243.69	9061.44
"16292"	"tcruzi-6422"	25095.42	17790.07
"16338"	"tcruzi-6468"	14451.59	11989.03
"16586"	"tcruzi-6716"	19227.04	7513.56
"17005"	"tcruzi-7135"	22285.25	17589.05
"17006"	"tcruzi-7136"	23168.6	19132.61
"17007"	"tcruzi-7137"	24194.18	19314.82
"17008"	"tcruzi-7138"	8046.62	3714.61
"17009"	"tcruzi-7139"	27430.53	24075.22
"17010"	"tcruzi-7140"	28357.96	24427.45
"17012"	"tcruzi-7142"	25550.06	23518.68
"17015"	"tcruzi-7145"	23698.25	19734.48
"17016"	"tcruzi-7146"	24740.23	21187.17
"17211"	"tcruzi-7341"	450.96	118.84
"17235"	"tcruzi-7365"	4349.85	633.7
"17246"	"tcruzi-7376"	7137.7	1460.12
"17247"	"tcruzi-7377"	2787.64	421.09
"17360"	"tcruzi-7490"	345.15	186.53
"17361"	"tcruzi-7491"	371.42	176.66
"17364"	"tcruzi-7494"	350.33	181.05
"17430"	"tcruzi-7560"	326.06	168.43
