"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	9315.23	6128.4
"10130"	"tcruzi-260"	1414.94	787.07
"10141"	"tcruzi-271"	3999.97	2472.33
"10236"	"tcruzi-366"	5136.86	2582.69
"10723"	"tcruzi-853"	3639.1	984.53
"10725"	"tcruzi-855"	4336.84	1054.93
"10741"	"tcruzi-871"	2711.77	905.54
"10756"	"tcruzi-886"	2045.34	1610.65
"10759"	"tcruzi-889"	13894.2	1661.03
"10760"	"tcruzi-890"	4217.86	510.45
"10778"	"tcruzi-908"	1625.42	1096.36
"10779"	"tcruzi-909"	861.55	757.78
"10785"	"tcruzi-915"	6839.72	1727.64
"11029"	"tcruzi-1159"	2121.57	1093.61
"11109"	"tcruzi-1239"	25217.43	18391.46
"11194"	"tcruzi-1324"	1942.25	1092.71
"11472"	"tcruzi-1602"	14124.33	12805.19
"11473"	"tcruzi-1603"	18101.48	14515.09
"11474"	"tcruzi-1604"	17838.98	7733.3
"11475"	"tcruzi-1605"	1301.37	585.35
"11524"	"tcruzi-1654"	1111.58	612.84
"11535"	"tcruzi-1665"	760.04	606.16
"11724"	"tcruzi-1854"	39152.76	26414.86
"12045"	"tcruzi-2175"	11000.67	6492.09
"12122"	"tcruzi-2252"	22069.4	11099.18
"12123"	"tcruzi-2253"	28095.63	13817.61
"12125"	"tcruzi-2255"	18990.87	8415.41
"12656"	"tcruzi-2786"	885.99	798.74
"12657"	"tcruzi-2787"	2800.82	970.58
"12667"	"tcruzi-2797"	15756.78	12782.81
"12668"	"tcruzi-2798"	18599.73	13659.66
"12677"	"tcruzi-2807"	15648.44	12442.79
"12678"	"tcruzi-2808"	21204.26	13196.41
"12679"	"tcruzi-2809"	30672.19	20841.28
"12680"	"tcruzi-2810"	22425.3	18132.86
"12681"	"tcruzi-2811"	20340.9	14152.74
"12682"	"tcruzi-2812"	8168.36	6724.79
"12683"	"tcruzi-2813"	3267.98	4231.23
"12716"	"tcruzi-2846"	18983.71	10525.34
"12717"	"tcruzi-2847"	21638.67	15269.21
"12718"	"tcruzi-2848"	4643.47	4143.24
"12731"	"tcruzi-2861"	16437.73	12523.08
"12769"	"tcruzi-2899"	5759.24	3614.94
"12968"	"tcruzi-3098"	1392.63	808.81
"12977"	"tcruzi-3107"	4618.88	2775.93
"13282"	"tcruzi-3412"	18960.66	11554.07
"13283"	"tcruzi-3413"	20402.44	14260.64
"13284"	"tcruzi-3414"	25090.76	19936.22
"13285"	"tcruzi-3415"	16914.3	13658.41
"13314"	"tcruzi-3444"	5832.42	1905.82
"13321"	"tcruzi-3451"	11020.26	3565.4
"13322"	"tcruzi-3452"	11271.12	3148.6
"13354"	"tcruzi-3484"	2329.87	469.32
