"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	3041.89	1647.52
"10130"	"tcruzi-260"	1972.96	310.59
"10141"	"tcruzi-271"	1220.15	560.95
"10236"	"tcruzi-366"	4145.74	1681.9
"10723"	"tcruzi-853"	3396.18	1145.02
"10725"	"tcruzi-855"	2213.54	94.62
"10741"	"tcruzi-871"	967.03	175.54
"10756"	"tcruzi-886"	223.49	77.73
"10759"	"tcruzi-889"	1223.8	424.77
"10760"	"tcruzi-890"	1624.97	1336.96
"10778"	"tcruzi-908"	6219.27	1385.59
"10779"	"tcruzi-909"	1209.9	174.32
"10785"	"tcruzi-915"	435.17	589.03
"11029"	"tcruzi-1159"	7368.32	5585.15
"11109"	"tcruzi-1239"	17728.6	10564.16
"11194"	"tcruzi-1324"	735.83	514.32
"11472"	"tcruzi-1602"	183.73	135.49
"11473"	"tcruzi-1603"	230.34	144.08
"11474"	"tcruzi-1604"	137.4	109.11
"11475"	"tcruzi-1605"	125.02	47.29
"11524"	"tcruzi-1654"	99.23	77.61
"11535"	"tcruzi-1665"	160.01	124.29
"11724"	"tcruzi-1854"	12040.18	7231.48
"12045"	"tcruzi-2175"	296.32	325.29
"12122"	"tcruzi-2252"	10404.11	6849.63
"12123"	"tcruzi-2253"	13320.58	8488.01
"12125"	"tcruzi-2255"	7487.73	6084.02
"12656"	"tcruzi-2786"	1276.07	335
"12657"	"tcruzi-2787"	455.82	176.26
"12667"	"tcruzi-2797"	338.55	160.72
"12668"	"tcruzi-2798"	143.18	193.63
"12677"	"tcruzi-2807"	1565.46	750.19
"12678"	"tcruzi-2808"	1786.64	954.46
"12679"	"tcruzi-2809"	2626.3	1858
"12680"	"tcruzi-2810"	1303.54	1114.77
"12681"	"tcruzi-2811"	1429.15	1270.41
"12682"	"tcruzi-2812"	473.04	348.57
"12683"	"tcruzi-2813"	278.95	173.08
"12716"	"tcruzi-2846"	1346.79	654.82
"12717"	"tcruzi-2847"	1140.13	1041.33
"12718"	"tcruzi-2848"	506.26	270.06
"12731"	"tcruzi-2861"	1575.24	625.59
"12769"	"tcruzi-2899"	658.24	323.93
"12968"	"tcruzi-3098"	997.52	613.42
"12977"	"tcruzi-3107"	7639.97	5584.67
"13282"	"tcruzi-3412"	7862.51	5456.34
"13283"	"tcruzi-3413"	7325.02	6923.82
"13284"	"tcruzi-3414"	12699.53	8870.45
"13285"	"tcruzi-3415"	12518.04	6870.86
"13314"	"tcruzi-3444"	453.12	402.53
"13321"	"tcruzi-3451"	6314.55	3918.68
"13322"	"tcruzi-3452"	7256.66	4999.95
"13354"	"tcruzi-3484"	7785.31	942.77
"13355"	"tcruzi-3485"	6661.1	977.27
"13357"	"tcruzi-3487"	5516.1	478.59
"13381"	"tcruzi-3511"	546.46	269.81
"13438"	"tcruzi-3568"	364.96	244.46
"13444"	"tcruzi-3574"	6369.75	4428.37
"13448"	"tcruzi-3578"	6238.94	4357.77
"13504"	"tcruzi-3634"	734.42	536.95
"13508"	"tcruzi-3638"	2470.86	1404.01
"13509"	"tcruzi-3639"	840.34	204.95
"13552"	"tcruzi-3682"	3131.77	633.29
"13553"	"tcruzi-3683"	1198.36	349.52
"13582"	"tcruzi-3712"	377.6	479.87
"13595"	"tcruzi-3725"	1157.47	475.75
"13627"	"tcruzi-3757"	7204.81	4744.46
"13697"	"tcruzi-3827"	826.51	625.69
"13723"	"tcruzi-3853"	12506.21	7900.17
"14102"	"tcruzi-4232"	1312.39	928.97
"14237"	"tcruzi-4367"	1385.15	1138.2
"14303"	"tcruzi-4433"	647.02	539.2
"14626"	"tcruzi-4756"	7004.11	5448.28
"14771"	"tcruzi-4901"	1405.98	2139.26
"14788"	"tcruzi-4918"	1620.91	507.25
"14968"	"tcruzi-5098"	19954.43	11166.06
"14994"	"tcruzi-5124"	925.05	514.87
"15508"	"tcruzi-5638"	1561.05	1031.46
