"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	6288.53	3247.91
"10130"	"tcruzi-260"	3138.43	7357.74
"10141"	"tcruzi-271"	2347.56	699
"10236"	"tcruzi-366"	4332.19	2784.79
"10723"	"tcruzi-853"	1473.79	4157.21
"10725"	"tcruzi-855"	6111.5	2385.4
"10741"	"tcruzi-871"	640.45	554.43
"10756"	"tcruzi-886"	455.35	755.19
"10759"	"tcruzi-889"	455.44	7984.9
"10760"	"tcruzi-890"	588.18	4011.04
"10778"	"tcruzi-908"	393.23	9950.43
"10779"	"tcruzi-909"	761.28	5502.4
"10785"	"tcruzi-915"	7791.21	1589.45
"11029"	"tcruzi-1159"	1548.99	540.39
"11109"	"tcruzi-1239"	27514.72	21230.26
"11194"	"tcruzi-1324"	1705.59	1149
"11472"	"tcruzi-1602"	2044.5	1508.93
"11473"	"tcruzi-1603"	2165.69	1560.8
"11474"	"tcruzi-1604"	518.24	472.55
"11475"	"tcruzi-1605"	164.76	182.24
"11524"	"tcruzi-1654"	1943.28	1457.89
"11535"	"tcruzi-1665"	2727.88	1761.06
"11724"	"tcruzi-1854"	29707.09	21850.73
"12045"	"tcruzi-2175"	1727.56	679.21
"12122"	"tcruzi-2252"	20325.93	10124.41
"12123"	"tcruzi-2253"	20490.94	11857.27
"12125"	"tcruzi-2255"	20910.46	12327.93
"12656"	"tcruzi-2786"	3095.69	5567.65
"12657"	"tcruzi-2787"	16640	2798.28
"12667"	"tcruzi-2797"	661.95	595.15
"12668"	"tcruzi-2798"	806.29	338.32
"12677"	"tcruzi-2807"	1361.05	920.44
"12678"	"tcruzi-2808"	2589.49	1251.66
"12679"	"tcruzi-2809"	4321.08	2925.09
"12680"	"tcruzi-2810"	2597.59	2054.55
"12681"	"tcruzi-2811"	3222.89	1805.78
"12682"	"tcruzi-2812"	662.15	861.53
"12683"	"tcruzi-2813"	709.45	494.44
"12716"	"tcruzi-2846"	1215.71	1006.34
"12717"	"tcruzi-2847"	2645.84	1391.6
"12718"	"tcruzi-2848"	1883.4	1157.06
"12731"	"tcruzi-2861"	1461.29	1060.04
"12769"	"tcruzi-2899"	2785.91	957.67
"12968"	"tcruzi-3098"	1428.28	546.26
"12977"	"tcruzi-3107"	9908.25	6020.17
"13282"	"tcruzi-3412"	30094.79	22597.48
"13283"	"tcruzi-3413"	32582.32	23223.46
"13284"	"tcruzi-3414"	35472.49	27125.44
"13285"	"tcruzi-3415"	34338.52	24711.39
"13314"	"tcruzi-3444"	780.27	580.08
"13321"	"tcruzi-3451"	1765.46	435.22
"13322"	"tcruzi-3452"	1455.81	497.31
"13354"	"tcruzi-3484"	1716.89	2103
"13355"	"tcruzi-3485"	599.63	2357.49
"13357"	"tcruzi-3487"	6736.53	1515.75
"13381"	"tcruzi-3511"	540.73	418.9
"13438"	"tcruzi-3568"	11233.51	7447.27
"13444"	"tcruzi-3574"	2351.61	783.82
"13448"	"tcruzi-3578"	2685.71	748.19
"13504"	"tcruzi-3634"	1578.19	954.27
"13508"	"tcruzi-3638"	14261.55	4059.98
"13509"	"tcruzi-3639"	2559.04	5975.33
"13552"	"tcruzi-3682"	1641.51	6227.02
"13553"	"tcruzi-3683"	1094.71	4569.48
"13582"	"tcruzi-3712"	4336.41	655.34
"13595"	"tcruzi-3725"	396.92	1490.18
"13627"	"tcruzi-3757"	2007.38	720.43
"13697"	"tcruzi-3827"	868.49	196.73
"13723"	"tcruzi-3853"	20906.7	15624.15
"14102"	"tcruzi-4232"	3983.55	1935.06
"14237"	"tcruzi-4367"	5430.52	1830.19
"14303"	"tcruzi-4433"	3391.98	2085.29
"14626"	"tcruzi-4756"	684.7	362.72
"14771"	"tcruzi-4901"	411.91	295.95
"14788"	"tcruzi-4918"	1042.26	622.08
"14968"	"tcruzi-5098"	30118.51	24259.87
"14994"	"tcruzi-5124"	1014.22	379.72
"15508"	"tcruzi-5638"	1520.2	955.5
"15606"	"tcruzi-5736"	255.49	158.75
"15607"	"tcruzi-5737"	305.81	183.6
"15688"	"tcruzi-5818"	40958.56	30356.19
"15833"	"tcruzi-5963"	473.08	316.64
"16011"	"tcruzi-6141"	419.89	209.2
"16041"	"tcruzi-6171"	145.07	64.68
"16288"	"tcruzi-6418"	1317.08	689.97
"16292"	"tcruzi-6422"	1013.29	658.27
"16338"	"tcruzi-6468"	29343.29	21423.99
"16586"	"tcruzi-6716"	14198.96	10700.69
