"Reporter.Name"	"allData.replica1"	"allData.replica2"
"20624"	"tcruzi-10754"	26667.26	21954.47
"20627"	"tcruzi-10757"	27962.76	22696.7
"29784"	"tcruzi-19914"	35430	33918.84
"54630"	"tcruzi-44760"	33657.01	29694.9
"54667"	"tcruzi-44797"	39268.61	33979.41
"54669"	"tcruzi-44799"	35541.18	29287.49
"58799"	"tcruzi-48929"	30135.29	25870.98
"93031"	"tcruzi-83161"	35507.96	23875.94
"93035"	"tcruzi-83165"	32675.45	28252.98
"93036"	"tcruzi-83166"	37380.98	30537.15
"93037"	"tcruzi-83167"	31699.96	26329.46
"101633"	"tcruzi-91763"	38946.61	31742.15
"101642"	"tcruzi-91772"	33601.16	31073.9
"114065"	"tcruzi-104195"	26214.09	19889.43
"114069"	"tcruzi-104199"	24218.2	19052.93
"114071"	"tcruzi-104201"	26653.8	20442.17
"147879"	"tcruzi-138009"	26566.98	18669
"148392"	"tcruzi-138522"	32791.34	23409.45
"148395"	"tcruzi-138525"	34740.61	26883.07
"198629"	"tcruzi-188759"	36011.65	32876.92
"201635"	"tcruzi-191765"	37910.65	15554.16
"201639"	"tcruzi-191769"	33595.73	29396
"201640"	"tcruzi-191770"	28437.22	23692.17
"207533"	"tcruzi-197663"	36797.31	32211.64
"207536"	"tcruzi-197666"	33735.91	31069.3
"207537"	"tcruzi-197667"	35260.78	27776.48
"208007"	"tcruzi-198137"	37655.14	32066.08
"208010"	"tcruzi-198140"	35022.19	32935.14
"208011"	"tcruzi-198141"	25895.57	25344.61
"211983"	"tcruzi-202113"	33492.46	35815.98
"224171"	"tcruzi-214301"	34471.36	36211.53
"241302"	"tcruzi-231432"	29455.01	25203.32
"263876"	"tcruzi-254006"	35434.41	33954.68
"328349"	"tcruzi-mutagenesis-scan-314"	27318.76	23429
"329582"	"tcruzi-mutagenesis-scan-1547"	34391.51	29032.85
"330700"	"tcruzi-mutagenesis-scan-2665"	34140.03	34805
"330701"	"tcruzi-mutagenesis-scan-2666"	36050.32	32581.04
"330792"	"tcruzi-mutagenesis-scan-2757"	22075.69	18702.23
"330827"	"tcruzi-mutagenesis-scan-2792"	22277.11	21537.76
"330829"	"tcruzi-mutagenesis-scan-2794"	26533.1	21586.29
"330830"	"tcruzi-mutagenesis-scan-2795"	25439.48	17471.84
"330831"	"tcruzi-mutagenesis-scan-2796"	16627.6	12288.44
"330832"	"tcruzi-mutagenesis-scan-2797"	25877.36	20672.54
"330833"	"tcruzi-mutagenesis-scan-2798"	24709.68	20054.68
"330834"	"tcruzi-mutagenesis-scan-2799"	19335.35	18181.5
"330835"	"tcruzi-mutagenesis-scan-2800"	810.03	353.33
"330836"	"tcruzi-mutagenesis-scan-2801"	2158.29	775.36
"330837"	"tcruzi-mutagenesis-scan-2802"	4147.56	2604.45
"330838"	"tcruzi-mutagenesis-scan-2803"	16327.08	11823.12
"330839"	"tcruzi-mutagenesis-scan-2804"	19202.52	18712.8
"331106"	"tcruzi-mutagenesis-scan-3071"	25948.68	18891.9
"331107"	"tcruzi-mutagenesis-scan-3072"	25384.61	19350.9
"331705"	"tcruzi-mutagenesis-scan-3670"	31597.99	24163.37
"332770"	"tcruzi-mutagenesis-scan-4735"	29812.8	26826.46
"332982"	"tcruzi-mutagenesis-scan-4947"	34002.95	30216.76
"332983"	"tcruzi-mutagenesis-scan-4948"	30030.66	28844
"332987"	"tcruzi-mutagenesis-scan-4952"	34404.26	33182.11
"332988"	"tcruzi-mutagenesis-scan-4953"	30294.96	30884.63
"333436"	"tcruzi-mutagenesis-scan-5401"	27890.16	20186.74
"333437"	"tcruzi-mutagenesis-scan-5402"	26605.89	19155.39
"333834"	"tcruzi-mutagenesis-scan-5799"	26062.34	21254.22
"334221"	"tcruzi-mutagenesis-scan-6186"	39525.73	37304.57
"336209"	"tcruzi-mutagenesis-scan-8174"	32934.42	30595.29
"336210"	"tcruzi-mutagenesis-scan-8175"	26195.33	25263.06
"336700"	"tcruzi-mutagenesis-scan-8665"	36755.33	33575.05
"336714"	"tcruzi-mutagenesis-scan-8679"	32316.88	31981.52
"336715"	"tcruzi-mutagenesis-scan-8680"	24706.09	19234.6
"336716"	"tcruzi-mutagenesis-scan-8681"	33274.8	30735.98
"336717"	"tcruzi-mutagenesis-scan-8682"	30762.04	29966.65
"336718"	"tcruzi-mutagenesis-scan-8683"	31825.18	29660.07
"336719"	"tcruzi-mutagenesis-scan-8684"	327.46	222.39
"336720"	"tcruzi-mutagenesis-scan-8685"	185.31	97.64
"336721"	"tcruzi-mutagenesis-scan-8686"	24181.16	23103.31
"336722"	"tcruzi-mutagenesis-scan-8687"	8096.28	6294.11
"336723"	"tcruzi-mutagenesis-scan-8688"	25956.65	23107.97
"336724"	"tcruzi-mutagenesis-scan-8689"	34739.26	30745.04
"336914"	"tcruzi-mutagenesis-scan-8879"	33162.9	27116.96
"336928"	"tcruzi-mutagenesis-scan-8893"	28038.54	25461.43
"336929"	"tcruzi-mutagenesis-scan-8894"	32983.81	28446.26
"336930"	"tcruzi-mutagenesis-scan-8895"	21587.1	16493.12
"336931"	"tcruzi-mutagenesis-scan-8896"	34635.06	30960.32
"336932"	"tcruzi-mutagenesis-scan-8897"	26809.79	24024.57
"336933"	"tcruzi-mutagenesis-scan-8898"	22026.74	24031.32
"336934"	"tcruzi-mutagenesis-scan-8899"	415.35	325.3
"336935"	"tcruzi-mutagenesis-scan-8900"	255.14	155.91
"336936"	"tcruzi-mutagenesis-scan-8901"	32748.26	24723.35
"336937"	"tcruzi-mutagenesis-scan-8902"	22693.94	19207.97
"336938"	"tcruzi-mutagenesis-scan-8903"	5508.47	2914.29
"336939"	"tcruzi-mutagenesis-scan-8904"	18704.19	15853.74
"336940"	"tcruzi-mutagenesis-scan-8905"	25141.88	20091.07
"341015"	"tcruzi-mutagenesis-scan-12980"	36096.14	29211.63
"341016"	"tcruzi-mutagenesis-scan-12981"	29113.89	25711.31
"341084"	"tcruzi-mutagenesis-scan-13049"	26122.28	21808.43
"341085"	"tcruzi-mutagenesis-scan-13050"	33077.76	25550.72
"341138"	"tcruzi-mutagenesis-scan-13103"	30645.56	23686.72
"341139"	"tcruzi-mutagenesis-scan-13104"	31184.24	24453.38
"341140"	"tcruzi-mutagenesis-scan-13105"	570.24	316.91
"341141"	"tcruzi-mutagenesis-scan-13106"	817.76	900.53
"341142"	"tcruzi-mutagenesis-scan-13107"	157.29	115.04
"341143"	"tcruzi-mutagenesis-scan-13108"	459.43	230.92
"341144"	"tcruzi-mutagenesis-scan-13109"	25239.58	20655.84
"341145"	"tcruzi-mutagenesis-scan-13110"	30586.49	22746.18
"341146"	"tcruzi-mutagenesis-scan-13111"	30575.49	24742.28
"341147"	"tcruzi-mutagenesis-scan-13112"	33478.35	23711.58
"341148"	"tcruzi-mutagenesis-scan-13113"	30158.28	24868.17
"341149"	"tcruzi-mutagenesis-scan-13114"	33438.26	26099.5
"341150"	"tcruzi-mutagenesis-scan-13115"	35017.42	26875.23
"341151"	"tcruzi-mutagenesis-scan-13116"	33989.41	25508.74
"341152"	"tcruzi-mutagenesis-scan-13117"	33176.48	24684.36
"341153"	"tcruzi-mutagenesis-scan-13118"	40506.09	29797.91
"341154"	"tcruzi-mutagenesis-scan-13119"	34292.43	28362.27
"341155"	"tcruzi-mutagenesis-scan-13120"	5852.87	3962.22
"341156"	"tcruzi-mutagenesis-scan-13121"	9091.66	6848.17
