"Reporter.Name"	"allData.replica1"	"allData.replica2"
"10013"	"tcruzi-143"	792.02	1123.14
"10130"	"tcruzi-260"	1993.46	110.19
"10141"	"tcruzi-271"	714.02	702.33
"10236"	"tcruzi-366"	4903.36	6423.52
"10723"	"tcruzi-853"	5203.69	62.8
"10725"	"tcruzi-855"	3900.36	125.53
"10741"	"tcruzi-871"	742.92	66.47
"10756"	"tcruzi-886"	776.59	130.28
"10759"	"tcruzi-889"	5270.01	28.66
"10760"	"tcruzi-890"	4849.13	40.21
"10778"	"tcruzi-908"	5924.81	544.89
"10779"	"tcruzi-909"	2343.3	82.66
"10785"	"tcruzi-915"	507.33	598.89
"11029"	"tcruzi-1159"	327.57	330.61
"11109"	"tcruzi-1239"	11694.86	11115.28
"11194"	"tcruzi-1324"	351.03	698.22
"11472"	"tcruzi-1602"	13347.51	10952.79
"11473"	"tcruzi-1603"	13926.89	13496.48
"11474"	"tcruzi-1604"	18015.13	18232.26
"11475"	"tcruzi-1605"	5855.64	1172.36
"11524"	"tcruzi-1654"	233.42	129.11
"11535"	"tcruzi-1665"	24.25	55.33
"11724"	"tcruzi-1854"	237.2	326.63
"12045"	"tcruzi-2175"	264.65	482.12
"12122"	"tcruzi-2252"	9093.17	11541.2
"12123"	"tcruzi-2253"	10061.75	11842.05
"12125"	"tcruzi-2255"	7762.99	9727.91
"12656"	"tcruzi-2786"	290.3	28.3
"12657"	"tcruzi-2787"	145.5	26.41
"12667"	"tcruzi-2797"	168	85.98
"12668"	"tcruzi-2798"	71.08	101.18
"12677"	"tcruzi-2807"	260.85	126.02
"12678"	"tcruzi-2808"	239.7	165.03
"12679"	"tcruzi-2809"	299.67	175.6
"12680"	"tcruzi-2810"	162.04	170.48
"12681"	"tcruzi-2811"	218.95	458.63
"12682"	"tcruzi-2812"	156.94	150.12
"12683"	"tcruzi-2813"	122.32	149.54
"12716"	"tcruzi-2846"	132.69	71.18
"12717"	"tcruzi-2847"	221.93	127.05
"12718"	"tcruzi-2848"	171.27	152.7
"12731"	"tcruzi-2861"	338.41	129.79
"12769"	"tcruzi-2899"	2686.71	1819.74
"12968"	"tcruzi-3098"	1312.02	1544.39
"12977"	"tcruzi-3107"	15734.04	20261.91
"13282"	"tcruzi-3412"	7816.01	11383.86
"13283"	"tcruzi-3413"	9918.33	12501.61
"13284"	"tcruzi-3414"	7271.2	7643.43
"13285"	"tcruzi-3415"	9446.53	12160.18
"13314"	"tcruzi-3444"	160.44	179.95
"13321"	"tcruzi-3451"	4268.85	5957.71
"13322"	"tcruzi-3452"	4658.19	7581.11
"13354"	"tcruzi-3484"	5227.66	52.42
"13355"	"tcruzi-3485"	4377.5	91.68
"13357"	"tcruzi-3487"	2267.83	49.99
