"Reporter Name"	"AR_NE_normalizedData_r1"	"AR_NE_normalizedData_r2"
"pos-controls-1033"	72.82	98.7
"pos-controls-1034"	71.13	78.94
"pos-controls-1035"	62.9	80.38
"pos-controls-1036"	80.95	75.91
"pos-controls-1037"	94.03	83.21
"pos-controls-1038"	101.99	93.07
"pos-controls-1039"	117.23	106.45
"pos-controls-1040"	92.85	108.85
"pos-controls-1041"	88.46	87.72
"pos-controls-1042"	69.98	61.79
"pos-controls-1043"	82.76	103.49
"pos-controls-1044"	65.45	76.17
"pos-controls-1101"	139.85	144.98
"pos-controls-1102"	149.24	100.92
"pos-controls-1103"	193.31	249.03
"pos-controls-1104"	141.64	114.5
"pos-controls-1121"	175.22	172.45
"pos-controls-1122"	136.79	167.51
"pos-controls-1123"	141.06	151.91
"pos-controls-1124"	154.24	190.17
"pos-controls-1177"	329.63	397.21
"pos-controls-1178"	253.53	341.45
"pos-controls-1179"	347.33	304.36
"pos-controls-1180"	343.35	376.35
"pos-controls-1265"	130.54	137.32
"pos-controls-1266"	123.73	135.88
"pos-controls-1267"	263.52	148.56
"pos-controls-1268"	131.83	129.51
"pos-controls-1321"	136.14	153.39
"pos-controls-1322"	111.86	135.67
"pos-controls-1323"	125.53	120.45
"pos-controls-1324"	179	164.08
"pos-controls-1329"	128.68	141.96
"pos-controls-1330"	151.74	130.41
"pos-controls-1331"	148.08	127.7
"pos-controls-1332"	148.08	155.91
"pos-controls-1449"	118.21	127.15
"pos-controls-1450"	128.86	148.7
"pos-controls-1451"	118.96	159.93
"pos-controls-1452"	117.76	141.56
"pos-controls-1457"	139.98	111.27
"pos-controls-1458"	137.7	119.55
"pos-controls-1459"	130.7	153.28
"pos-controls-1460"	133.09	123.43
"pos-controls-1561"	144.19	117.47
"pos-controls-1562"	110.05	110.64
"pos-controls-1563"	110.05	231.36
"pos-controls-1564"	159.01	132.94
"pos-controls-1577"	141.96	123.19
"pos-controls-1578"	130.01	111.77
"pos-controls-1579"	120.86	133.54
"pos-controls-1580"	146.55	136.9
"pos-controls-1589"	126.21	105.03
"pos-controls-1590"	152.59	103.4
"pos-controls-1591"	142.39	174.34
"pos-controls-1592"	84.9	89.36
"pos-controls-1597"	101.52	111.47
"pos-controls-1598"	115.42	117.04
"pos-controls-1599"	127.93	125.7
"pos-controls-1600"	110.3	169.76
"pos-controls-169"	428.99	444.67
"pos-controls-170"	421.88	523.42
"pos-controls-171"	506.02	443.82
"pos-controls-172"	376.35	436.22
"pos-controls-173"	695.37	757.97
"pos-controls-174"	865.43	654.58
"pos-controls-175"	573.2	665.73
"pos-controls-176"	821.09	796.65
"pos-controls-1773"	682.66	562.31
"pos-controls-1774"	671.91	580.82
"pos-controls-1775"	622.94	472.28
"pos-controls-1776"	836.98	726.08
"pos-controls-1921"	190.7	190.84
"pos-controls-1922"	203.91	191.98
"pos-controls-1923"	171.38	198.68
"pos-controls-1924"	215.23	188.36
"pos-controls-1953"	92.5	130.62
"pos-controls-1954"	101.72	170.92
"pos-controls-1955"	96.76	97.09
"pos-controls-1956"	144.42	99.13
"pos-controls-2029"	272.79	247.61
"pos-controls-2030"	216.81	235.97
"pos-controls-2031"	211.85	196.51
"pos-controls-2032"	241.73	193.92
"pos-controls-2033"	193.55	161.02
"pos-controls-2034"	183.06	155.19
"pos-controls-2035"	163.22	195.11
"pos-controls-2036"	255.63	218.55
"pos-controls-2081"	234.12	258.05
"pos-controls-2082"	210.94	249.24
"pos-controls-2083"	208.98	229.71
"pos-controls-2084"	221.84	199.47
"pos-controls-2113"	101.06	113.62
"pos-controls-2114"	125.23	114.16
"pos-controls-2115"	164.96	118.73
"pos-controls-2116"	108.68	91.15
"pos-controls-2121"	78.25	74.86
"pos-controls-2122"	77.88	89.78
"pos-controls-2123"	73.94	68.1
"pos-controls-2124"	72.39	81.21
"pos-controls-2181"	227.47	226.84
"pos-controls-2182"	197.5	194.69
"pos-controls-2183"	219.45	223.59
"pos-controls-2184"	220.74	193.77
"pos-controls-2185"	150.36	176.41
"pos-controls-2186"	178.85	175.32
"pos-controls-2187"	169.01	216.18
"pos-controls-2188"	147.85	175.03
"pos-controls-2453"	112.67	122.05
"pos-controls-2454"	114.88	112.67
"pos-controls-2455"	138.89	132.7
"pos-controls-2456"	125.75	114.99
"pos-controls-2457"	89.85	98.29
"pos-controls-2458"	103.7	113.47
"pos-controls-2459"	101.84	116.73
"pos-controls-2460"	90.79	124.11
"pos-controls-2461"	129.84	101.65
"pos-controls-2462"	129.89	94.74
"pos-controls-2463"	125.92	126.62
"pos-controls-2464"	134.63	105.25
"pos-controls-2485"	78.9	61.66
"pos-controls-2486"	104.91	80.82
"pos-controls-2487"	70.27	86.2
"pos-controls-2488"	61.88	54.67
"pos-controls-2697"	77.2	89.62
"pos-controls-2698"	79.87	92.22
"pos-controls-2699"	104.29	93.45
"pos-controls-2700"	86.2	86.66
"pos-controls-2701"	158.15	156.46
"pos-controls-2702"	146.18	149.35
"pos-controls-2703"	122.88	123.99
"pos-controls-2704"	158.62	130.92
