"Reporter Name"	"AR_PO_normalizedData_r1"	"AR_PO_normalizedData_r2"
"pos-controls-1033"	85.1	88.09
"pos-controls-1034"	97.62	92.57
"pos-controls-1035"	74.14	94.22
"pos-controls-1036"	92.52	128.19
"pos-controls-1037"	411.14	409.47
"pos-controls-1038"	469.71	475.59
"pos-controls-1039"	487.65	472.72
"pos-controls-1040"	371.58	255.47
"pos-controls-1041"	88.82	109.43
"pos-controls-1042"	80.14	104.98
"pos-controls-1043"	90.2	116.37
"pos-controls-1044"	93.75	81.6
"pos-controls-1101"	31084.85	35563.82
"pos-controls-1102"	29675.34	32816.56
"pos-controls-1103"	34941.64	37115.14
"pos-controls-1104"	31028.78	33267.2
"pos-controls-1121"	35717.03	37564.29
"pos-controls-1122"	35953.05	34040.84
"pos-controls-1123"	35628.13	36636.33
"pos-controls-1124"	40515.42	38464.93
"pos-controls-1177"	39927.47	39136.1
"pos-controls-1178"	42840.72	38548.33
"pos-controls-1179"	43242.53	43242.53
"pos-controls-1180"	41730.98	40371.12
"pos-controls-1265"	784.85	1381.46
"pos-controls-1266"	725.41	1276.22
"pos-controls-1267"	840.3	1339.72
"pos-controls-1268"	752.59	1055.51
"pos-controls-1321"	864.64	851.2
"pos-controls-1322"	765.36	995.63
"pos-controls-1323"	829.28	1302.96
"pos-controls-1324"	854.59	1052.88
"pos-controls-1329"	7935.13	9944.39
"pos-controls-1330"	7630.29	10735
"pos-controls-1331"	8138.43	13336.31
"pos-controls-1332"	8440.11	12112.23
"pos-controls-1449"	131.26	129.62
"pos-controls-1450"	182.92	153.65
"pos-controls-1451"	152.22	129.89
"pos-controls-1452"	178.82	168.15
"pos-controls-1457"	33205.87	35953.05
"pos-controls-1458"	32174.38	35813.84
"pos-controls-1459"	28636.65	32524.15
"pos-controls-1460"	30798.25	31734.54
"pos-controls-1561"	29058.04	35628.13
"pos-controls-1562"	28357.88	33984.91
"pos-controls-1563"	28463.76	34567.73
"pos-controls-1564"	34040.84	37182.5
"pos-controls-1577"	34116.71	39062.87
"pos-controls-1578"	30338.55	36886.26
"pos-controls-1579"	29908.39	35889.09
"pos-controls-1580"	30892.41	39336.97
"pos-controls-1589"	31926.05	37785.7
"pos-controls-1590"	29124.79	37275.98
"pos-controls-1591"	29488.82	33050.67
"pos-controls-1592"	28433.67	35217.13
"pos-controls-1597"	24615.68	30680.64
"pos-controls-1598"	25343.95	30468.94
"pos-controls-1599"	29304.28	35385.97
"pos-controls-1600"	25249.07	30410.69
"pos-controls-169"	890.95	817.93
