"Reporter Name"	"BO_NE_normalizedData_r1"	"BO_NE_normalizedData_r2"
"pos-controls-1033"	56.09	73.29
"pos-controls-1034"	72.21	71.8
"pos-controls-1035"	66.82	75.71
"pos-controls-1036"	65.14	61.54
"pos-controls-1037"	85.46	93.18
"pos-controls-1038"	122.71	122.88
"pos-controls-1039"	105.14	113.07
"pos-controls-1040"	91.95	97.2
"pos-controls-1041"	70.32	64.92
"pos-controls-1042"	68.25	96.21
"pos-controls-1043"	90.71	74.82
"pos-controls-1044"	64.27	73.6
"pos-controls-1101"	131.92	144.98
"pos-controls-1102"	133.43	153.28
"pos-controls-1103"	316.25	351.41
"pos-controls-1104"	145.96	160.72
"pos-controls-1121"	138.61	143.35
"pos-controls-1122"	103.96	106.34
"pos-controls-1123"	130.54	114.88
"pos-controls-1124"	147.01	148.43
"pos-controls-1177"	101.72	102.67
"pos-controls-1178"	158.03	171.68
"pos-controls-1179"	103.4	107.26
"pos-controls-1180"	106.88	109.54
"pos-controls-1265"	193.04	288.48
"pos-controls-1266"	200.9	175.08
"pos-controls-1267"	181.63	181.73
"pos-controls-1268"	234.24	207.54
"pos-controls-1321"	173.72	180.54
"pos-controls-1322"	182.07	155.91
"pos-controls-1323"	176.99	173.45
"pos-controls-1324"	200.5	179.4
"pos-controls-1329"	202.85	283.73
"pos-controls-1330"	130.07	132.77
"pos-controls-1331"	114.71	132.1
"pos-controls-1332"	144.19	135.11
"pos-controls-1449"	1695.51	1648.13
"pos-controls-1450"	1894.69	1528.52
"pos-controls-1451"	1395.54	1476.19
"pos-controls-1452"	1365.1	1344.02
"pos-controls-1457"	135.42	141.96
"pos-controls-1458"	154.55	140.64
"pos-controls-1459"	129.66	153.49
"pos-controls-1460"	133.16	132.01
"pos-controls-1561"	150.44	147.72
"pos-controls-1562"	213.91	212.25
"pos-controls-1563"	160.64	136.79
"pos-controls-1564"	176.41	157.34
"pos-controls-1577"	169.76	149.91
"pos-controls-1578"	160.76	158.62
"pos-controls-1579"	171.38	170.38
"pos-controls-1580"	168.8	176.74
"pos-controls-1589"	107.48	103.67
"pos-controls-1590"	120.9	113.91
"pos-controls-1591"	130.85	179.67
"pos-controls-1592"	119.74	124.16
"pos-controls-1597"	104.29	121.04
"pos-controls-1598"	87.56	94.66
"pos-controls-1599"	129.55	175.41
"pos-controls-1600"	115.08	101.87
"pos-controls-169"	745.08	504.84
"pos-controls-170"	606.58	541.29
"pos-controls-171"	507.46	479.1
"pos-controls-172"	615.91	497.06
"pos-controls-173"	102.39	118.52
"pos-controls-174"	156.28	168.22
"pos-controls-175"	73.94	76.03
"pos-controls-176"	209.88	217.87
"pos-controls-1773"	101.34	95.75
"pos-controls-1774"	105.98	94.19
"pos-controls-1775"	104.74	109.58
"pos-controls-1776"	112.95	137.49
"pos-controls-1921"	827.51	702.83
"pos-controls-1922"	857.89	794.75
"pos-controls-1923"	755.22	745.08
"pos-controls-1924"	704.98	669.9
"pos-controls-1953"	1054.42	1041.43
"pos-controls-1954"	1196.39	1571.34
"pos-controls-1955"	1176.24	1322.65
"pos-controls-1956"	966.31	1163.33
"pos-controls-2029"	528.07	599.4
"pos-controls-2030"	462.39	576.74
"pos-controls-2031"	556.39	630.17
"pos-controls-2032"	470.93	573.2
"pos-controls-2033"	174.43	236.79
"pos-controls-2034"	381.96	436.22
"pos-controls-2035"	180.2	182.38
"pos-controls-2036"	283.15	300.1
"pos-controls-2081"	147.11	154.13
"pos-controls-2082"	136.74	136.2
"pos-controls-2083"	152.34	124.38
"pos-controls-2084"	126.07	136.03
"pos-controls-2113"	578.86	526.71
"pos-controls-2114"	510.21	552.81
"pos-controls-2115"	406.31	369.62
"pos-controls-2116"	589.01	580.82
"pos-controls-2121"	302.57	377.22
"pos-controls-2122"	420.75	377.67
"pos-controls-2123"	351.98	463.25
"pos-controls-2124"	402.58	438.12
"pos-controls-2181"	661.16	833.75
"pos-controls-2182"	914.33	1014.84
"pos-controls-2183"	749	778.95
"pos-controls-2184"	772.35	871.67
"pos-controls-2185"	235.45	312.24
"pos-controls-2186"	270.23	327.73
"pos-controls-2187"	296.23	346.09
"pos-controls-2188"	222.29	299.54
"pos-controls-2453"	109.14	128.94
"pos-controls-2454"	89.45	103.44
"pos-controls-2455"	98.57	106.83
"pos-controls-2456"	95.94	111
"pos-controls-2457"	98.08	96.68
"pos-controls-2458"	104.15	109.78
"pos-controls-2459"	91.22	106.45
"pos-controls-2460"	80.04	92.57
"pos-controls-2461"	99.24	108.6
"pos-controls-2462"	111.86	155.82
"pos-controls-2463"	129.04	105.89
"pos-controls-2464"	147.78	123.19
"pos-controls-2485"	80.97	70.16
"pos-controls-2486"	92	86.16
"pos-controls-2487"	73.5	74.97
"pos-controls-2488"	65.39	63.96
"pos-controls-2697"	267.3	267.3
"pos-controls-2698"	209.16	178.73
"pos-controls-2699"	294.32	227.64
"pos-controls-2700"	228.94	199.47
"pos-controls-2701"	173.97	156.17
"pos-controls-2702"	194.34	218.55
"pos-controls-2703"	188.11	232.78
"pos-controls-2704"	345.52	257.35
"pos-controls-2777"	216.18	247.07
"pos-controls-2778"	241.88	216.81
"pos-controls-2779"	240.44	247.84
"pos-controls-2780"	239.44	204.47
"pos-controls-2833"	72.94	72.45
"pos-controls-2834"	81.49	95.4
"pos-controls-2835"	91.75	88.23
"pos-controls-2836"	95.71	103.34
"pos-controls-2837"	95.85	127.79
"pos-controls-2838"	120.6	139.2
"pos-controls-2839"	103.67	116.8
"pos-controls-2840"	119.33	115.6
