"Reporter Name"	"BO_PO_normalizedData_r1"	"BO_PO_normalizedData_r2"
"pos-controls-1033"	109.16	125.21
"pos-controls-1034"	124.62	159.08
"pos-controls-1035"	138.39	174.73
"pos-controls-1036"	179.97	144.32
"pos-controls-1037"	326.19	429.29
"pos-controls-1038"	491.25	453.24
"pos-controls-1039"	427.6	440.03
"pos-controls-1040"	281.76	455.62
"pos-controls-1041"	90.58	104.92
"pos-controls-1042"	103.34	96.22
"pos-controls-1043"	93.75	103.75
"pos-controls-1044"	96.76	94.4
"pos-controls-1101"	32524.15	32174.38
"pos-controls-1102"	30468.94	30944.24
"pos-controls-1103"	33205.87	27583.82
"pos-controls-1104"	26378.44	27116.83
"pos-controls-1121"	30798.25	28075.53
"pos-controls-1122"	28357.88	29908.39
"pos-controls-1123"	30089.3	31182.84
"pos-controls-1124"	33342.12	30089.3
"pos-controls-1177"	33819.07	34567.73
"pos-controls-1178"	42225.46	31454.93
"pos-controls-1179"	37956.77	38020.43
"pos-controls-1180"	34567.73	37044.48
"pos-controls-1265"	1114.65	1135.43
"pos-controls-1266"	1128.12	923.52
"pos-controls-1267"	1107.18	1034.6
"pos-controls-1268"	1218.66	1204.19
"pos-controls-1321"	5856.09	4512.92
"pos-controls-1322"	5386.22	5486.47
"pos-controls-1323"	5589.67	4901.57
"pos-controls-1324"	5908.73	6085.76
"pos-controls-1329"	14250.14	15221.86
"pos-controls-1330"	16327.77	14864.06
"pos-controls-1331"	16410.5	15803.11
"pos-controls-1332"	17457.78	15939.21
"pos-controls-1449"	318.81	496.08
"pos-controls-1450"	723.03	707.85
"pos-controls-1451"	368.54	476.13
"pos-controls-1452"	436.4	591.2
"pos-controls-1457"	27526.84	27409.66
"pos-controls-1458"	28776.08	30581.33
"pos-controls-1459"	27038.42	29760.89
"pos-controls-1460"	25078.7	29304.28
"pos-controls-1561"	29908.39	32354.03
"pos-controls-1562"	28636.65	30741.82
"pos-controls-1563"	30172.98	31680.71
"pos-controls-1564"	33984.91	32004.95
"pos-controls-1577"	30338.55	31540.85
"pos-controls-1578"	31378.91	33267.2
"pos-controls-1579"	28277.02	28636.65
"pos-controls-1580"	31028.78	31320.2
"pos-controls-1589"	32174.38	34854.39
"pos-controls-1590"	33544.38	34411.59
"pos-controls-1591"	31843.75	31084.85
"pos-controls-1592"	31320.2	33050.67
"pos-controls-1597"	28991.39	29488.82
"pos-controls-1598"	28433.67	28357.88
"pos-controls-1599"	29518.27	28565.29
"pos-controls-1600"	27116.83	27922.99
"pos-controls-169"	6390.43	10423.94
"pos-controls-170"	5331.92	11446.46
"pos-controls-171"	8337.39	10290.45
"pos-controls-172"	13405.49	11403.56
"pos-controls-173"	15090.79	12521.91
"pos-controls-174"	16040.77	15164.88
"pos-controls-175"	14183.84	16551.48
"pos-controls-176"	14353.89	13770.17
"pos-controls-1773"	34506.11	32524.15
"pos-controls-1774"	36022.18	37710.98
"pos-controls-1775"	29760.89	31843.75
"pos-controls-1776"	32816.56	35217.13
"pos-controls-1921"	32004.95	35475.04
"pos-controls-1922"	39062.87	33984.91
"pos-controls-1923"	35159.38	35813.84
"pos-controls-1924"	33125.21	36287.97
"pos-controls-1953"	461.7	336.41
"pos-controls-1954"	462.15	784.85
"pos-controls-1955"	361.33	323.86
"pos-controls-1956"	416.65	331.59
"pos-controls-2029"	47282.98	46611.34
"pos-controls-2030"	40614.44	42080
"pos-controls-2031"	44060.23	43354.86
"pos-controls-2032"	44510.88	44289.4
"pos-controls-2033"	41802.61	44780.82
"pos-controls-2034"	43242.53	38814.29
"pos-controls-2035"	38754.66	37472.96
"pos-controls-2036"	50469.86	44866.13
"pos-controls-2081"	21526.26	18634.22
"pos-controls-2082"	16785.52	18009.37
"pos-controls-2083"	24140.05	20199.26
"pos-controls-2084"	19222.06	15562.39
"pos-controls-2113"	1478.04	1432.97
"pos-controls-2114"	1487.78	1497.45
"pos-controls-2115"	1339.72	1245.23
"pos-controls-2116"	1518.87	1396.86
"pos-controls-2121"	677.37	727.19
"pos-controls-2122"	774.09	767.53
"pos-controls-2123"	638.44	851.2
"pos-controls-2124"	805.72	716.84
"pos-controls-2181"	42492.45	38754.66
"pos-controls-2182"	36413.21	38272.81
"pos-controls-2183"	37564.29	37845.02
"pos-controls-2184"	39544.5	34506.11
"pos-controls-2185"	38380.74	40262.09
"pos-controls-2186"	34307.3	36090.31
"pos-controls-2187"	41567.62	33819.07
"pos-controls-2188"	35385.97	39232.53
"pos-controls-2453"	129.96	138.22
"pos-controls-2454"	119.22	134.3
"pos-controls-2455"	120.25	121.81
"pos-controls-2456"	135.98	148.17
"pos-controls-2457"	151.86	159.6
"pos-controls-2458"	105.07	119.68
"pos-controls-2459"	130.44	186.1
"pos-controls-2460"	154.29	168.34
"pos-controls-2461"	16466.12	21137.2
"pos-controls-2462"	17767.13	22041.03
"pos-controls-2463"	17389.86	20604.89
"pos-controls-2464"	17627.42	21804.14
"pos-controls-2485"	87.47	78.93
"pos-controls-2486"	77.69	85.4
"pos-controls-2487"	210.38	224.04
"pos-controls-2488"	87.12	85.77
"pos-controls-2697"	373.46	387.12
"pos-controls-2698"	387.12	283.84
"pos-controls-2699"	515.09	322.49
"pos-controls-2700"	562.11	339.94
"pos-controls-2701"	1311.54	1132.52
"pos-controls-2702"	1179.44	1075.79
"pos-controls-2703"	1087.69	1087.69
"pos-controls-2704"	1222.74	1185.68
"pos-controls-2777"	9270.05	10118.45
"pos-controls-2778"	11142.77	10403.06
"pos-controls-2779"	11446.46	10609.7
"pos-controls-2780"	9905.38	10735
"pos-controls-2833"	104.85	102.47
"pos-controls-2834"	113.44	122.52
"pos-controls-2835"	121.33	132.09
"pos-controls-2836"	117.47	95.89
"pos-controls-2837"	145.17	132.15
"pos-controls-2838"	234.31	134.3
"pos-controls-2839"	144	120.78
"pos-controls-2840"	131.77	155.53
"pos-controls-2841"	95.65	89.63
"pos-controls-2842"	78.26	101.24
"pos-controls-2843"	75.86	80.14
"pos-controls-2844"	93.5	93.3
"pos-controls-2873"	652.22	519.92
"pos-controls-2874"	608.66	357.23
"pos-controls-2875"	851.2	483.89
"pos-controls-2876"	1062.49	658.81
"pos-controls-2941"	15803.11	16936.92
"pos-controls-2942"	15939.21	17084.54
"pos-controls-2943"	15468.02	17457.78
"pos-controls-2944"	19122.31	17389.86
"pos-controls-3041"	232.88	218.32
"pos-controls-3042"	207.64	168
"pos-controls-3043"	214	176.06
"pos-controls-3044"	233.35	156.17
"pos-controls-3061"	1775.54	2522.7
"pos-controls-3062"	2827.8	2625.89
"pos-controls-3063"	1045.82	2222.42
"pos-controls-3064"	2222.42	2234.29
"pos-controls-3189"	23050.37	20508.69
"pos-controls-3190"	19969.46	22172.61
"pos-controls-3191"	17855.89	19791.38
"pos-controls-3192"	21477.72	22534.95
"pos-controls-3237"	9626.16	7935.13
"pos-controls-3238"	10403.06	7572.01
"pos-controls-3239"	9129.79	8057.26
"pos-controls-3240"	10157.54	7212.54
"pos-controls-3253"	6520.07	8649.07
"pos-controls-3254"	5486.47	8551.21
"pos-controls-3255"	5796.58	9129.79
"pos-controls-3256"	6085.76	9270.05
"pos-controls-3257"	441.88	257.63
"pos-controls-3258"	447.61	365.68
"pos-controls-3259"	364.51	255.47
"pos-controls-3260"	353.01	298.18
"pos-controls-3289"	2867.66	1775.54
"pos-controls-3290"	2508.16	985.35
"pos-controls-3291"	2270.59	1093.91
"pos-controls-3292"	2119.49	993.17
"pos-controls-3293"	335.51	219.08
"pos-controls-3294"	336.82	209.01
"pos-controls-3295"	391.96	309.99
"pos-controls-3296"	511.61	272.67
"pos-controls-3301"	3703.94	3773.54
"pos-controls-3302"	3442.08	2488.02
"pos-controls-3303"	3808.91	4490.92
"pos-controls-3304"	3380.47	6226.58
"pos-controls-333"	41062.1	40949.59
"pos-controls-334"	33900	34643.34
"pos-controls-335"	38337.1	40222.49
"pos-controls-336"	30680.64	35318.96
"pos-controls-3433"	23726.08	25835.59
"pos-controls-3434"	26054.09	25748.37
"pos-controls-3435"	25748.37	27335.25
"pos-controls-3436"	28463.76	29407.38
"pos-controls-3469"	107.32	114
"pos-controls-3470"	109.68	100.03
"pos-controls-3471"	112.96	100.9
"pos-controls-3472"	122.68	117.04
