"Reporter Name"	"BR_NE_normalizedData_r1"	"BR_NE_normalizedData_r2"
"pos-controls-1033"	82.88	71.97
"pos-controls-1034"	91.4	85.3
"pos-controls-1035"	90.49	86.81
"pos-controls-1036"	97.03	83.7
"pos-controls-1037"	127.47	124.2
"pos-controls-1038"	108.03	163
"pos-controls-1039"	121	161.91
"pos-controls-1040"	117.48	123.43
"pos-controls-1041"	99.06	80.91
"pos-controls-1042"	81.6	70.68
"pos-controls-1043"	95.24	83.81
"pos-controls-1044"	67.72	84.66
"pos-controls-1101"	108.6	124.38
"pos-controls-1102"	120.16	112.35
"pos-controls-1103"	144.19	130.7
"pos-controls-1104"	129.51	114.43
"pos-controls-1121"	146.48	135.88
"pos-controls-1122"	122.61	122.11
"pos-controls-1123"	127.1	113.65
"pos-controls-1124"	156.38	128.68
"pos-controls-1177"	226.01	219.45
"pos-controls-1178"	248.27	244.35
"pos-controls-1179"	255.63	209.16
"pos-controls-1180"	251.68	246.01
"pos-controls-1265"	147.23	183.36
"pos-controls-1266"	142.14	232.78
"pos-controls-1267"	166.8	215.39
"pos-controls-1268"	150.67	200.5
"pos-controls-1321"	167.51	242.41
"pos-controls-1322"	175.55	254.34
"pos-controls-1323"	154.66	201.31
"pos-controls-1324"	217.95	246.5
"pos-controls-1329"	515.18	613.54
"pos-controls-1330"	521.72	605.34
"pos-controls-1331"	475.7	547.46
"pos-controls-1332"	663.67	635.53
"pos-controls-1449"	112.14	152.18
"pos-controls-1450"	125.7	165.74
"pos-controls-1451"	102.67	135.67
"pos-controls-1452"	91.9	150.14
"pos-controls-1457"	173.88	173.97
"pos-controls-1458"	120.01	132.77
"pos-controls-1459"	159.13	164.49
"pos-controls-1460"	144.08	175.13
"pos-controls-1561"	172	248.27
"pos-controls-1562"	146.36	227.28
"pos-controls-1563"	166.14	235.97
"pos-controls-1564"	194.58	254.83
"pos-controls-1577"	134.57	164.39
"pos-controls-1578"	134.11	201.88
"pos-controls-1579"	142.23	187.43
"pos-controls-1580"	199.32	175.32
"pos-controls-1589"	129.14	118.52
"pos-controls-1590"	140.33	176.5
"pos-controls-1591"	128.43	154.55
"pos-controls-1592"	153.49	119.68
"pos-controls-1597"	96.41	105.72
"pos-controls-1598"	94.83	87.36
"pos-controls-1599"	101.52	107.12
"pos-controls-1600"	70.56	129.04
"pos-controls-169"	566.41	552.81
"pos-controls-170"	364.06	537.67
"pos-controls-171"	431.32	590.12
"pos-controls-172"	425.79	622.94
"pos-controls-173"	131.96	131.57
"pos-controls-174"	182.19	113.81
"pos-controls-175"	133.09	101.39
"pos-controls-176"	159.21	90.69
"pos-controls-1773"	196.87	158.78
"pos-controls-1774"	229.17	163.4
"pos-controls-1775"	193.31	159.21
"pos-controls-1776"	204.47	198
"pos-controls-1921"	243.71	214.63
"pos-controls-1922"	232.33	191.51
"pos-controls-1923"	242.99	180.33
"pos-controls-1924"	204.3	204.47
"pos-controls-1953"	128.51	100.6
"pos-controls-1954"	155.5	166.1
"pos-controls-1955"	148.38	88.46
"pos-controls-1956"	135.28	99.38
"pos-controls-2029"	197.5	381.96
"pos-controls-2030"	141.44	340.8
"pos-controls-2031"	182.89	511.67
"pos-controls-2032"	217.42	541.29
"pos-controls-2033"	152.56	620.99
"pos-controls-2034"	171.29	632.1
"pos-controls-2035"	173.45	489.66
"pos-controls-2036"	153.98	384.89
"pos-controls-2081"	153.05	130.25
"pos-controls-2082"	139.91	121.04
"pos-controls-2083"	131.39	154.24
"pos-controls-2084"	138.97	146
"pos-controls-2113"	119.55	194.66
"pos-controls-2114"	139.28	256.91
"pos-controls-2115"	157.38	219.8
"pos-controls-2116"	133.96	223.23
"pos-controls-2121"	80.35	69.33
"pos-controls-2122"	100.45	99.95
"pos-controls-2123"	56.42	120.54
"pos-controls-2124"	80.68	109.67
"pos-controls-2181"	205.99	351.98
"pos-controls-2182"	166.88	305.2
"pos-controls-2183"	150.14	309.81
"pos-controls-2184"	230.75	301.71
"pos-controls-2185"	142.61	339.25
"pos-controls-2186"	115.73	603.87
"pos-controls-2187"	173.1	426.94
"pos-controls-2188"	103.01	360.21
"pos-controls-2453"	141.88	141.96
"pos-controls-2454"	106.2	141.5
"pos-controls-2455"	122.11	175.55
"pos-controls-2456"	130.48	191.02
"pos-controls-2457"	101.15	137.7
"pos-controls-2458"	90.84	196.51
"pos-controls-2459"	110.5	147.01
"pos-controls-2460"	111.81	179.4
"pos-controls-2461"	941.46	976.54
"pos-controls-2462"	823.8	1111.52
"pos-controls-2463"	2045.32	1355.75
"pos-controls-2464"	851.26	1337.83
"pos-controls-2485"	77.38	64.71
"pos-controls-2486"	71.42	75.26
"pos-controls-2487"	87.25	83.74
"pos-controls-2488"	60.78	83.33
"pos-controls-2697"	105.01	95.52
"pos-controls-2698"	101.82	76.81
"pos-controls-2699"	104.58	75.56
"pos-controls-2700"	108.78	65.76
"pos-controls-2701"	152.82	214.08
"pos-controls-2702"	128.28	203.47
"pos-controls-2703"	157.12	187.58
"pos-controls-2704"	119.33	212.89
"pos-controls-2777"	161.25	158.03
"pos-controls-2778"	186.99	157.53
"pos-controls-2779"	169.43	164.68
"pos-controls-2780"	143.35	136.6
"pos-controls-2833"	125.61	136.23
"pos-controls-2834"	103.81	89.78
"pos-controls-2835"	105.39	113.97
"pos-controls-2836"	122.4	109.47
"pos-controls-2837"	141.5	190.55
"pos-controls-2838"	165.74	170.23
"pos-controls-2839"	129.04	179.95
"pos-controls-2840"	160.21	165.35
"pos-controls-2841"	76.36	79.43
"pos-controls-2842"	84.05	63.54
"pos-controls-2843"	64.02	75.59
"pos-controls-2844"	79.68	85.5
"pos-controls-2873"	182.38	93.39
"pos-controls-2874"	198.2	118.4
"pos-controls-2875"	135.88	115.5
"pos-controls-2876"	186.01	127.93
"pos-controls-2941"	70.95	98.53
"pos-controls-2942"	86.16	79.35
"pos-controls-2943"	86.48	78.09
"pos-controls-2944"	91.3	79.04
"pos-controls-3041"	170.32	153.59
"pos-controls-3042"	154.43	128.47
"pos-controls-3043"	182.5	142.23
"pos-controls-3044"	241.01	120.33
"pos-controls-3061"	71.38	77.25
"pos-controls-3062"	95.32	90.4
"pos-controls-3063"	64.5	71.38
"pos-controls-3064"	70.75	73.33
"pos-controls-3189"	206.85	93.18
"pos-controls-3190"	123.99	100.72
"pos-controls-3191"	138.4	93.04
"pos-controls-3192"	170.03	94.24
"pos-controls-3237"	120.08	146.28
"pos-controls-3238"	231.57	158.62
"pos-controls-3239"	147.78	147.85
"pos-controls-3240"	128.68	144.69
"pos-controls-3253"	72.55	81.77
"pos-controls-3254"	79.35	133.37
"pos-controls-3255"	65.5	75.09
"pos-controls-3256"	77.55	78.3
"pos-controls-3257"	233.83	96.87
"pos-controls-3258"	85.34	121.26
"pos-controls-3259"	325.66	112.71
"pos-controls-3260"	384.89	156.46
"pos-controls-3289"	97.52	85.04
"pos-controls-3290"	80.64	98.79
"pos-controls-3291"	89.55	95.68
"pos-controls-3292"	94.38	101.26
"pos-controls-3293"	91.24	107.75
"pos-controls-3294"	87.33	120.24
"pos-controls-3295"	106.98	112.02
"pos-controls-3296"	82.53	85.75
"pos-controls-3301"	145.61	86.06
"pos-controls-3302"	160.38	105.47
"pos-controls-3303"	153.65	105.78
"pos-controls-3304"	153.59	121.87
"pos-controls-333"	162.12	191.26
"pos-controls-334"	151.74	140.55
"pos-controls-335"	173.72	202.31
"pos-controls-336"	163.84	157.83
"pos-controls-3433"	74.51	69.83
"pos-controls-3434"	75.33	78.54
"pos-controls-3435"	58.74	57.5
"pos-controls-3436"	69.57	73.12
"pos-controls-3469"	103.59	97.67
"pos-controls-3470"	104.46	125.8
"pos-controls-3471"	118.05	97.55
"pos-controls-3472"	143.62	111.55
"pos-controls-3473"	157.83	196.21
"pos-controls-3474"	118.99	196.03
"pos-controls-3475"	143.62	178.92
"pos-controls-3476"	138.24	217.61
"pos-controls-3477"	80.89	94.03
"pos-controls-3478"	96.74	81.32
"pos-controls-3479"	78.03	71.13
"pos-controls-3480"	92.52	89.47
"pos-controls-3549"	96.85	114.81
"pos-controls-3550"	95.52	96.68
"pos-controls-3551"	108.32	108.96
"pos-controls-3552"	94.19	125.21
"pos-controls-3605"	66.82	69.95
"pos-controls-3606"	71.07	79.32
"pos-controls-3607"	82.76	73.81
"pos-controls-3608"	76.6	80.04
"pos-controls-3609"	87.96	111.16
"pos-controls-3610"	86.74	71.81
"pos-controls-3611"	90.79	83.06
"pos-controls-3612"	114.05	92.22
"pos-controls-3761"	92.8	98.22
"pos-controls-3762"	116.88	155.39
"pos-controls-3763"	104.61	112.59
"pos-controls-3764"	103.14	126.84
"pos-controls-3765"	79.64	63.92
"pos-controls-3766"	66.05	58.96
"pos-controls-3767"	75.51	65.88
"pos-controls-3768"	85.17	73.56
"pos-controls-3849"	181.91	111.38
"pos-controls-3850"	141.77	109.3
"pos-controls-3851"	149.35	87.36
"pos-controls-3852"	130.33	96.97
"pos-controls-3901"	817.79	122.61
"pos-controls-3902"	775.51	216.63
"pos-controls-3903"	757.97	256.14
"pos-controls-3904"	737.58	134.3
"pos-controls-4009"	359.13	421.88
"pos-controls-4010"	423.94	706.92
"pos-controls-4011"	433.84	491.87
"pos-controls-4012"	394.08	464.12
"pos-controls-4053"	123.27	143.74
"pos-controls-4054"	133.73	137.84
"pos-controls-4055"	149.74	163.22
"pos-controls-4056"	160.04	170.44
"pos-controls-4057"	86.48	134.41
"pos-controls-4058"	92.76	104.91
"pos-controls-4059"	84.12	153.05
"pos-controls-4060"	104.66	175.97
"pos-controls-4061"	119.71	190.17
"pos-controls-4062"	129.99	192.56
"pos-controls-4063"	132.23	174.74
"pos-controls-4064"	117.53	165.57
"pos-controls-4069"	330.82	329.63
"pos-controls-4070"	295.4	263.16
"pos-controls-4071"	209.99	264.12
"pos-controls-4072"	267.82	276.48
"pos-controls-4121"	294.79	134.72
"pos-controls-4122"	231.36	184.97
"pos-controls-4123"	181.12	139.2
"pos-controls-4124"	190	154.75
"pos-controls-4165"	1014.84	871.67
"pos-controls-4166"	1154.33	914.33
"pos-controls-4167"	1450.59	1059.1
"pos-controls-4168"	1279.74	1492.91
"pos-controls-4205"	388.42	440.04
"pos-controls-4206"	381.96	508.79
"pos-controls-4207"	382.52	356.8
"pos-controls-4208"	343.35	423.23
"pos-controls-4209"	110.12	118.08
"pos-controls-4210"	95.9	127.88
"pos-controls-4211"	92.38	129.96
"pos-controls-4212"	104.08	128.25
