"Reporter Name"	"BR_PO_normalizedData_r1"	"BR_PO_normalizedData_r2"
"pos-controls-1033"	105.88	85.48
"pos-controls-1034"	101.48	81.51
"pos-controls-1035"	83.08	111.83
"pos-controls-1036"	86.92	101.36
"pos-controls-1037"	725.41	540.13
"pos-controls-1038"	688.26	476.7
"pos-controls-1039"	415.87	439.55
"pos-controls-1040"	779.81	372.03
"pos-controls-1041"	84.06	97.95
"pos-controls-1042"	83.75	75.01
"pos-controls-1043"	92.65	96.76
"pos-controls-1044"	178.69	82.64
"pos-controls-1101"	31133.34	27335.25
"pos-controls-1102"	28229.64	28229.64
"pos-controls-1103"	32253.6	31680.71
"pos-controls-1104"	32484.07	32004.95
"pos-controls-1121"	14933.59	15090.79
"pos-controls-1122"	13770.17	15020.26
"pos-controls-1123"	13829.83	13964.7
"pos-controls-1124"	14556.34	14864.06
"pos-controls-1177"	18938.33	21947.33
"pos-controls-1178"	19360.85	19897.16
"pos-controls-1179"	21604.7	24082.53
"pos-controls-1180"	19477.55	19791.38
"pos-controls-1265"	995.63	1132.52
"pos-controls-1266"	1004.02	1059.58
"pos-controls-1267"	1093.91	1173.42
"pos-controls-1268"	1211.47	1218.66
"pos-controls-1321"	5641.73	5742.02
"pos-controls-1322"	6226.58	6520.07
"pos-controls-1323"	6760.08	6295.02
"pos-controls-1324"	7033.97	6938.21
"pos-controls-1329"	24615.68	25940.49
"pos-controls-1330"	26298.6	27922.99
"pos-controls-1331"	28776.08	25500.52
"pos-controls-1332"	33462.27	32174.38
"pos-controls-1449"	227.64	240.38
"pos-controls-1450"	212.79	273.34
"pos-controls-1451"	193.49	217.95
"pos-controls-1452"	237.94	242.97
"pos-controls-1457"	28277.02	27116.83
"pos-controls-1458"	31843.75	28636.65
"pos-controls-1459"	28357.88	26663.28
"pos-controls-1460"	32638.58	22944.48
"pos-controls-1561"	31926.05	26378.44
"pos-controls-1562"	30089.3	28721.57
"pos-controls-1563"	30581.33	29760.89
"pos-controls-1564"	29124.79	31262.66
"pos-controls-1577"	27116.83	30264.27
"pos-controls-1578"	32091.33	30892.41
"pos-controls-1579"	31262.66	28991.39
"pos-controls-1580"	22102.13	28463.76
"pos-controls-1589"	29675.34	29842.49
"pos-controls-1590"	29908.39	29675.34
"pos-controls-1591"	28463.76	25835.59
"pos-controls-1592"	30012.8	28075.53
"pos-controls-1597"	21947.33	21717.3
"pos-controls-1598"	21526.26	20199.26
