"Reporter Name"	"CO_NE_normalizedData_r1"	"CO_NE_normalizedData_r2"
"pos-controls-1033"	74.79	61.84
"pos-controls-1034"	94.56	81.8
"pos-controls-1035"	87.87	75.86
"pos-controls-1036"	196.21	73.69
"pos-controls-1037"	92.08	106.83
"pos-controls-1038"	82.76	140.33
"pos-controls-1039"	96.85	105.98
"pos-controls-1040"	83.21	95.2
"pos-controls-1041"	105.53	86.28
"pos-controls-1042"	193.55	73.78
"pos-controls-1043"	99.13	82.21
"pos-controls-1044"	79.71	65.39
"pos-controls-1101"	103.01	67.43
"pos-controls-1102"	94.16	106.04
"pos-controls-1103"	108.93	117.48
"pos-controls-1104"	100.07	88.24
"pos-controls-1121"	69.54	103.81
"pos-controls-1122"	74.17	111.88
"pos-controls-1123"	98.08	105.2
"pos-controls-1124"	82.53	135.35
"pos-controls-1177"	90.91	97.79
"pos-controls-1178"	145.9	156.84
"pos-controls-1179"	104.11	103.78
"pos-controls-1180"	102.74	97.59
"pos-controls-1265"	87.5	162.28
"pos-controls-1266"	79.43	155.71
"pos-controls-1267"	90.03	182.07
"pos-controls-1268"	241.73	161.39
"pos-controls-1321"	91.98	159.21
"pos-controls-1322"	108.32	151.09
"pos-controls-1323"	105.08	247.84
"pos-controls-1324"	140.03	178.46
"pos-controls-1329"	339.93	346.56
"pos-controls-1330"	467.06	303.64
"pos-controls-1331"	469.67	556.39
"pos-controls-1332"	577.65	475.7
"pos-controls-1449"	216.42	153.98
"pos-controls-1450"	253.81	267.3
"pos-controls-1451"	213.28	183.06
"pos-controls-1452"	202.64	194.89
"pos-controls-1457"	85.39	82.56
"pos-controls-1458"	70.16	97.66
"pos-controls-1459"	72.94	123.61
"pos-controls-1460"	76.83	107.98
"pos-controls-1561"	111.77	219.74
"pos-controls-1562"	139.61	161.91
"pos-controls-1563"	152.92	213
"pos-controls-1564"	140.17	189.04
"pos-controls-1577"	94.38	102.39
"pos-controls-1578"	101.99	128.43
"pos-controls-1579"	73.04	107.44
"pos-controls-1580"	107.98	109.24
"pos-controls-1589"	61.22	67.12
"pos-controls-1590"	70.32	67.28
"pos-controls-1591"	60.18	76.14
"pos-controls-1592"	55.68	58.9
"pos-controls-1597"	98.53	56.95
"pos-controls-1598"	59.84	67.05
"pos-controls-1599"	60.18	69.41
"pos-controls-1600"	76.18	76.08
"pos-controls-169"	159.83	115.08
"pos-controls-170"	132.47	125.7
"pos-controls-171"	140.59	100.86
"pos-controls-172"	128.68	150.07
"pos-controls-173"	137.82	83.65
"pos-controls-174"	258.62	208.26
"pos-controls-175"	98.77	84.23
"pos-controls-176"	140.33	98.25
"pos-controls-1773"	108.93	129.72
"pos-controls-1774"	207.05	135.11
"pos-controls-1775"	120.86	90.36
"pos-controls-1776"	126.11	125.92
"pos-controls-1921"	632.1	656.62
"pos-controls-1922"	656.62	786.1
"pos-controls-1923"	517.18	745.08
"pos-controls-1924"	540.13	590.12
"pos-controls-1953"	85.67	67.6
"pos-controls-1954"	85.22	80.06
"pos-controls-1955"	113.97	86.83
"pos-controls-1956"	116.41	70.81
"pos-controls-2029"	125.36	170.59
"pos-controls-2030"	163.49	174.83
"pos-controls-2031"	182.67	156.67
"pos-controls-2032"	158.37	155.5
"pos-controls-2033"	121.09	139.78
"pos-controls-2034"	162.18	218.78
"pos-controls-2035"	151.48	183.53
"pos-controls-2036"	162.86	222.52
"pos-controls-2081"	321.94	213.61
"pos-controls-2082"	151.34	127.42
"pos-controls-2083"	270.23	253.38
"pos-controls-2084"	173.97	127.59
"pos-controls-2113"	144	143.35
"pos-controls-2114"	118.67	172.69
"pos-controls-2115"	166.88	137.84
"pos-controls-2116"	123.02	151.63
"pos-controls-2121"	134.88	96.73
"pos-controls-2122"	157.73	116.12
"pos-controls-2123"	111.49	116.35
"pos-controls-2124"	182.84	186.01
"pos-controls-2181"	117.76	168.1
"pos-controls-2182"	100.98	133.51
"pos-controls-2183"	93.01	140.64
"pos-controls-2184"	159.44	120.73
"pos-controls-2185"	118.15	129.14
"pos-controls-2186"	94.85	152.05
"pos-controls-2187"	143.21	155.91
"pos-controls-2188"	133.25	145.69
"pos-controls-2453"	122.34	149.06
"pos-controls-2454"	114.3	124.55
"pos-controls-2455"	169.31	132.16
"pos-controls-2456"	154.13	190.55
"pos-controls-2457"	186.82	132.7
"pos-controls-2458"	113.18	113.62
"pos-controls-2459"	110.75	114.68
"pos-controls-2460"	125.75	97.32
"pos-controls-2461"	87.29	119.89
"pos-controls-2462"	117.38	144.3
"pos-controls-2463"	78.47	113.47
"pos-controls-2464"	111.72	186.82
"pos-controls-2485"	67.6	73.94
"pos-controls-2486"	69.83	102.45
"pos-controls-2487"	88.29	73.04
"pos-controls-2488"	72.85	84.76
"pos-controls-2697"	87.03	80.64
"pos-controls-2698"	93.06	64.59
"pos-controls-2699"	104.91	77.7
"pos-controls-2700"	131.32	86.44
"pos-controls-2701"	102.7	165.82
"pos-controls-2702"	116.16	139.09
"pos-controls-2703"	80.06	121.45
"pos-controls-2704"	120.95	160.11
"pos-controls-2777"	268.08	294.54
"pos-controls-2778"	179.95	227.64
"pos-controls-2779"	213.72	272.79
"pos-controls-2780"	174.69	253.53
"pos-controls-2833"	92.38	105.14
"pos-controls-2834"	112.19	87.11
"pos-controls-2835"	118.54	92.44
"pos-controls-2836"	111	121.37
"pos-controls-2837"	148.33	130.33
"pos-controls-2838"	125.45	142.61
"pos-controls-2839"	104.64	142.94
"pos-controls-2840"	150.44	169.65
"pos-controls-2841"	68.99	68.64
"pos-controls-2842"	81.34	70.39
"pos-controls-2843"	67.75	60.28
"pos-controls-2844"	86.66	74.21
"pos-controls-2873"	128.22	97.2
"pos-controls-2874"	199.96	85.51
"pos-controls-2875"	209.58	74.33
"pos-controls-2876"	282.22	120.08
"pos-controls-2941"	107.17	80.75
"pos-controls-2942"	116.32	82.05
"pos-controls-2943"	112.56	106.2
"pos-controls-2944"	129.84	84.12
"pos-controls-3041"	571.14	382.52
"pos-controls-3042"	1182.87	497.06
"pos-controls-3043"	622.94	199.66
"pos-controls-3044"	388.82	249.24
"pos-controls-3061"	106.88	99.28
"pos-controls-3062"	164.96	100.25
"pos-controls-3063"	117.33	81.64
"pos-controls-3064"	138.4	70.86
"pos-controls-3189"	436.22	285.44
"pos-controls-3190"	498.16	438.12
"pos-controls-3191"	445.96	401.14
"pos-controls-3192"	414.28	430.41
"pos-controls-3237"	4943.49	6626.94
"pos-controls-3238"	5080.17	6879.93
"pos-controls-3239"	4119.55	5354.32
"pos-controls-3240"	5354.32	6072.49
