"Reporter Name"	"CO_PO_normalizedData_r1"	"CO_PO_normalizedData_r2"
"pos-controls-1033"	85.44	118.83
"pos-controls-1034"	109.76	117.52
"pos-controls-1035"	128.79	142.15
"pos-controls-1036"	170.35	136.08
"pos-controls-1037"	876.93	528.08
"pos-controls-1038"	788.36	720.64
"pos-controls-1039"	862.68	725.41
"pos-controls-1040"	844.06	473.25
"pos-controls-1041"	83.72	102.15
"pos-controls-1042"	105.33	111.39
"pos-controls-1043"	123.26	170.64
"pos-controls-1044"	95.49	75.59
"pos-controls-1101"	27614.74	34643.34
"pos-controls-1102"	24014.51	32174.38
"pos-controls-1103"	31603.27	35084.65
"pos-controls-1104"	27242.43	30581.33
"pos-controls-1121"	35084.65	37956.77
"pos-controls-1122"	35318.96	38464.93
"pos-controls-1123"	36022.18	36287.97
"pos-controls-1124"	40371.12	36636.33
"pos-controls-1177"	40515.42	40825.51
"pos-controls-1178"	44678.56	41984.25
"pos-controls-1179"	43171.16	43694.22
"pos-controls-1180"	41730.98	41132.78
"pos-controls-1265"	426.11	470.72
"pos-controls-1266"	396.4	501.47
"pos-controls-1267"	404.68	463.81
"pos-controls-1268"	408.6	530.58
"pos-controls-1321"	535.36	662.11
"pos-controls-1322"	547.45	535.84
"pos-controls-1323"	578.3	617.92
"pos-controls-1324"	603.97	660.84
"pos-controls-1329"	4449.42	5075.74
"pos-controls-1330"	4565.9	6479.33
"pos-controls-1331"	4512.92	6591.95
"pos-controls-1332"	5551.14	7845.11
"pos-controls-1449"	387.68	407.09
"pos-controls-1450"	459.2	404.02
"pos-controls-1451"	395.24	390.22
"pos-controls-1452"	402.31	383.5
"pos-controls-1457"	25500.52	32816.56
"pos-controls-1458"	25691.27	33125.21
"pos-controls-1459"	23050.37	31262.66
"pos-controls-1460"	25249.07	31454.93
"pos-controls-1561"	29488.82	36022.18
"pos-controls-1562"	24407.89	34116.71
"pos-controls-1563"	27583.82	35038.88
"pos-controls-1564"	31133.34	34567.73
"pos-controls-1577"	31680.71	37275.98
"pos-controls-1578"	29058.04	37710.98
"pos-controls-1579"	26863.44	35889.09
"pos-controls-1580"	30172.98	36193.81
"pos-controls-1589"	29518.27	36798.01
"pos-controls-1590"	29124.79	34803.92
"pos-controls-1591"	26741.47	37115.14
"pos-controls-1592"	27922.99	35318.96
"pos-controls-1597"	25343.95	32920.8
"pos-controls-1598"	24850.07	31680.71
"pos-controls-1599"	26378.44	35813.84
"pos-controls-1600"	26146.52	33741.51
"pos-controls-169"	1123.74	1294.94
"pos-controls-170"	656.64	668.43
"pos-controls-171"	1045.82	991.02
"pos-controls-172"	573.54	683.2
"pos-controls-173"	35159.38	40061.71
"pos-controls-174"	39336.97	39598.54
"pos-controls-175"	33544.38	37618.92
"pos-controls-176"	42225.46	41730.98
"pos-controls-1773"	43242.53	42374.79
"pos-controls-1774"	42080	41847.14
"pos-controls-1775"	43041.6	40142.1
"pos-controls-1776"	42766.89	41343.14
"pos-controls-1921"	34941.64	10423.94
"pos-controls-1922"	37915.57	14250.14
"pos-controls-1923"	36886.26	14812.39
"pos-controls-1924"	34567.73	13698.2
"pos-controls-1953"	298.98	285.12
"pos-controls-1954"	282.23	334.53
"pos-controls-1955"	249.54	286.91
"pos-controls-1956"	348.21	366.36
"pos-controls-2029"	45551.62	21604.7
"pos-controls-2030"	30892.41	18543.51
"pos-controls-2031"	39501.53	22261.69
"pos-controls-2032"	38380.74	21137.2
"pos-controls-2033"	34307.3	22041.03
"pos-controls-2034"	38606.08	19019.67
"pos-controls-2035"	33395.08	10079.49
"pos-controls-2036"	42676.54	20604.89
"pos-controls-2081"	30264.27	33205.87
"pos-controls-2082"	31734.54	32004.95
"pos-controls-2083"	31540.85	29124.79
"pos-controls-2084"	29908.39	31028.78
"pos-controls-2113"	380.57	521.11
"pos-controls-2114"	423.18	477.37
"pos-controls-2115"	472.72	487.65
"pos-controls-2116"	406.53	563.59
"pos-controls-2121"	352.1	289.83
"pos-controls-2122"	453.24	335.51
"pos-controls-2123"	439.55	331.19
"pos-controls-2124"	567.87	438.59
"pos-controls-2181"	41305.34	20942.74
"pos-controls-2182"	38898.06	14036.03
"pos-controls-2183"	36467.55	13629.13
"pos-controls-2184"	35717.03	18009.37
"pos-controls-2185"	39544.5	16257.22
"pos-controls-2186"	30741.82	15631.07
"pos-controls-2187"	38697.11	16785.52
"pos-controls-2188"	32484.07	11673.01
"pos-controls-2453"	168.46	179.81
"pos-controls-2454"	165.6	205.8
"pos-controls-2455"	161.14	242.49
"pos-controls-2456"	192.56	225.56
"pos-controls-2457"	144.09	141.56
"pos-controls-2458"	164.8	156.05
"pos-controls-2459"	233.95	278.98
"pos-controls-2460"	153.86	168.75
"pos-controls-2461"	14720.09	22621.78
"pos-controls-2462"	15562.39	23555.17
"pos-controls-2463"	14556.34	21228.78
"pos-controls-2464"	15303.31	20395.4
"pos-controls-2485"	90.68	99.5
"pos-controls-2486"	89.74	121.58
"pos-controls-2487"	221.94	239.51
"pos-controls-2488"	115.54	152.75
"pos-controls-2697"	224.83	215.83
"pos-controls-2698"	219.58	247.1
"pos-controls-2699"	214.3	241.95
"pos-controls-2700"	318.81	318.81
"pos-controls-2701"	301.44	371.58
"pos-controls-2702"	273.76	347.93
"pos-controls-2703"	300.58	364.51
"pos-controls-2704"	290.84	378.68
"pos-controls-2777"	3863.91	7886.76
"pos-controls-2778"	6971.96	9541.6
"pos-controls-2779"	5331.92	9397.82
"pos-controls-2780"	5742.02	8018.87
"pos-controls-2833"	124.62	147.85
"pos-controls-2834"	137.07	118.56
"pos-controls-2835"	144.4	155.66
"pos-controls-2836"	138.88	151.04
"pos-controls-2837"	193.94	217.79
"pos-controls-2838"	206.03	223.59
"pos-controls-2839"	167.78	189.02
"pos-controls-2840"	178.05	302.84
"pos-controls-2841"	91.51	157.33
"pos-controls-2842"	76.76	102.33
"pos-controls-2843"	88.15	104.2
"pos-controls-2844"	106.88	113.84
"pos-controls-2873"	752.59	742.04
"pos-controls-2874"	813.96	955.58
"pos-controls-2875"	832.42	925.76
"pos-controls-2876"	1014.91	1052.88
"pos-controls-2941"	9568.31	11403.56
"pos-controls-2942"	9805.58	11362.79
"pos-controls-2943"	9674.54	11332.39
"pos-controls-2944"	10683.84	13540
"pos-controls-3041"	238.24	303.3
"pos-controls-3042"	273.12	370.96
"pos-controls-3043"	282.96	288.92
"pos-controls-3044"	290.41	392.52
"pos-controls-3061"	732.34	580.55
"pos-controls-3062"	1020.48	791.11
"pos-controls-3063"	967.44	1103.85
"pos-controls-3064"	648.76	716.84
"pos-controls-3189"	37710.98	43927.05
"pos-controls-3190"	37472.96	42766.89
"pos-controls-3191"	38337.1	42840.72
"pos-controls-3192"	46073.18	43101.19
"pos-controls-3237"	4866.86	7630.29
"pos-controls-3238"	4173.98	7750.45
"pos-controls-3239"	6341.04	8788.83
"pos-controls-3240"	4667.25	7264.3
"pos-controls-3253"	8198.34	11823.48
"pos-controls-3254"	9218.54	12300.44
"pos-controls-3255"	7814.74	11261.19
"pos-controls-3256"	8649.07	12440.93
"pos-controls-3257"	182.73	102.39
"pos-controls-3258"	177.18	115.66
"pos-controls-3259"	191.62	99.77
"pos-controls-3260"	203.19	117.62
"pos-controls-3289"	8057.26	11965.26
"pos-controls-3290"	8404.92	11880.99
"pos-controls-3291"	7696.19	10735
"pos-controls-3292"	8886.05	12884.26
"pos-controls-3293"	103.13	110.85
"pos-controls-3294"	109.43	143.92
"pos-controls-3295"	111.2	99.62
"pos-controls-3296"	118.72	92.57
"pos-controls-3301"	21526.26	27242.43
"pos-controls-3302"	26663.28	27922.99
"pos-controls-3303"	27679.12	26203.46
"pos-controls-3304"	22457.36	26378.44
"pos-controls-333"	43927.05	38380.74
"pos-controls-334"	39598.54	33984.91
"pos-controls-335"	45819.41	34854.39
"pos-controls-336"	45448.85	37044.48
"pos-controls-3433"	25940.49	10939.99
"pos-controls-3434"	30338.55	13910.44
"pos-controls-3435"	28277.02	14498.23
"pos-controls-3436"	25835.59	13248.06
"pos-controls-3469"	160.71	183.72
"pos-controls-3470"	147.09	120.71
"pos-controls-3471"	166.11	169.01
"pos-controls-3472"	133.92	175.79
"pos-controls-3473"	171.74	183.86
"pos-controls-3474"	186.43	180.88
"pos-controls-3475"	189.52	214.05
"pos-controls-3476"	226.64	217.56
"pos-controls-3477"	109.04	104.33
"pos-controls-3478"	129.62	127.63
"pos-controls-3479"	87.57	99.86
"pos-controls-3480"	99.98	108.75
"pos-controls-3549"	27997.07	33462.27
"pos-controls-3550"	29760.89	34506.11
"pos-controls-3551"	28776.08	34941.64
"pos-controls-3552"	30798.25	35385.97
"pos-controls-3605"	115.72	88.12
"pos-controls-3606"	81.25	70.41
"pos-controls-3607"	86.48	67.75
"pos-controls-3608"	110.02	89.69
"pos-controls-3609"	92.65	121.9
"pos-controls-3610"	71.98	79.93
"pos-controls-3611"	221.24	100.51
"pos-controls-3612"	83.34	122.59
"pos-controls-3761"	12440.93	18634.22
"pos-controls-3762"	12369.36	19222.06
"pos-controls-3763"	13443.19	17904.68
"pos-controls-3764"	13004.44	17855.89
"pos-controls-3765"	155.71	172.41
"pos-controls-3766"	219.84	177.06
"pos-controls-3767"	149.27	156.21
"pos-controls-3768"	138.46	178.32
"pos-controls-3849"	252.26	299.34
"pos-controls-3850"	255.47	257.75
"pos-controls-3851"	297.18	367.71
"pos-controls-3852"	851.2	230.58
"pos-controls-3901"	375.38	380.08
"pos-controls-3902"	416.65	320.48
"pos-controls-3903"	379.01	237.73
"pos-controls-3904"	429.29	406.53
"pos-controls-4009"	37044.48	44618.64
"pos-controls-4010"	47537.69	47537.69
"pos-controls-4011"	42840.72	44060.23
"pos-controls-4012"	33125.21	45448.85
"pos-controls-4053"	189.96	203.66
"pos-controls-4054"	313.22	328.49
"pos-controls-4055"	209.13	260.89
"pos-controls-4056"	316.32	344.64
"pos-controls-4057"	113.74	158.29
"pos-controls-4058"	118.89	137.21
"pos-controls-4059"	127.63	178.1
"pos-controls-4060"	178.82	281.34
"pos-controls-4061"	154.39	165.27
"pos-controls-4062"	169.44	189.18
"pos-controls-4063"	156.5	217.37
"pos-controls-4064"	140.52	159.84
"pos-controls-4069"	271.64	282.51
"pos-controls-4070"	214.46	278.12
"pos-controls-4071"	199	238.49
"pos-controls-4072"	236.37	281.34
"pos-controls-4121"	15164.88	12937.94
"pos-controls-4122"	16160.25	21319.62
"pos-controls-4123"	16466.12	19969.46
"pos-controls-4124"	13964.7	16551.48
"pos-controls-4165"	11880.99	14933.59
"pos-controls-4166"	12225.49	13829.83
"pos-controls-4167"	11220.55	12581.86
"pos-controls-4168"	11526.83	12170.18
"pos-controls-4205"	30012.8	15853.29
"pos-controls-4206"	31320.2	14282.86
"pos-controls-4207"	27740.5	14864.06
"pos-controls-4208"	31028.78	16648.92
"pos-controls-4209"	118.24	130.27
"pos-controls-4210"	207.11	248.15
"pos-controls-4211"	133.2	127.75
"pos-controls-4212"	130.27	191.4
"pos-controls-4213"	98.82	163.6
"pos-controls-4214"	174.03	127.04
"pos-controls-4215"	208	242.97
"pos-controls-4216"	117.23	147.51
"pos-controls-4229"	46510.8	44826.41
"pos-controls-4230"	45739	43041.6
"pos-controls-4231"	44214.14	44140.55
"pos-controls-4232"	42310.47	44397.93
"pos-controls-4281"	16257.22	24474.33
"pos-controls-4282"	16040.77	24562.74
"pos-controls-4283"	13540	23136.86
"pos-controls-4284"	14120.75	23914.64
"pos-controls-4289"	162.35	148.44
"pos-controls-4290"	147.47	144.32
"pos-controls-4291"	139.25	174.88
"pos-controls-4292"	135.21	173.06
"pos-controls-4293"	205.8	214.46
"pos-controls-4294"	190.44	261.86
"pos-controls-4295"	234.78	280.81
"pos-controls-4296"	193.13	261.03
"pos-controls-4301"	2812.96	4629.46
"pos-controls-4302"	3380.47	5174.94
"pos-controls-4303"	3334.56	4948.75
"pos-controls-4304"	3240.82	5361.22
"pos-controls-4349"	10939.99	10802.25
"pos-controls-4350"	10118.45	12225.49
"pos-controls-4351"	9626.16	10855.65
"pos-controls-4352"	13336.31	15939.21
"pos-controls-4353"	16785.52	19477.55
"pos-controls-4354"	14498.23	21526.26
"pos-controls-4355"	17855.89	19791.38
"pos-controls-4356"	14183.84	15981.11
"pos-controls-4385"	92.32	88.8
"pos-controls-4386"	100.9	144
"pos-controls-4387"	137.33	100
"pos-controls-4388"	95.17	82.93
"pos-controls-4401"	19382.6	27864.35
"pos-controls-4402"	17627.42	27614.74
"pos-controls-4403"	18876.69	26146.52
"pos-controls-4404"	17275.21	26913.37
"pos-controls-4449"	33819.07	33819.07
"pos-controls-4450"	31262.66	33544.38
"pos-controls-4451"	34803.92	37564.29
"pos-controls-4452"	34040.84	37182.5
"pos-controls-4609"	2771.99	2916.3
"pos-controls-4610"	2253.01	1968.94
"pos-controls-4611"	2415.33	2488.02
"pos-controls-4612"	2234.29	3020.7
"pos-controls-4621"	124.07	159.71
"pos-controls-4622"	92.72	111.71
"pos-controls-4623"	137.78	125.21
"pos-controls-4624"	105.2	103.93
"pos-controls-4729"	5796.58	8337.39
"pos-controls-4730"	5115.87	7696.19
"pos-controls-4731"	5707.91	8649.07
"pos-controls-4732"	6295.02	8735.99
"pos-controls-4757"	110.4	109.81
"pos-controls-4758"	103.47	124
