"Reporter Name"	"LE_NE_normalizedData_r1"	"LE_NE_normalizedData_r2"
"pos-controls-1033"	92.91	87.85
"pos-controls-1034"	84.15	89.05
"pos-controls-1035"	79.58	77.34
"pos-controls-1036"	69.57	87.38
"pos-controls-1037"	102.47	113.58
"pos-controls-1038"	123.66	98.38
"pos-controls-1039"	112.85	100.72
"pos-controls-1040"	104.61	86.74
"pos-controls-1041"	79.76	93.81
"pos-controls-1042"	64.16	73.13
"pos-controls-1043"	81.89	76.26
"pos-controls-1044"	71.83	88.55
"pos-controls-1101"	114.3	113.09
"pos-controls-1102"	116.29	112.74
"pos-controls-1103"	125.36	155.91
"pos-controls-1104"	119.16	101.26
"pos-controls-1121"	154.66	210.37
"pos-controls-1122"	146.48	159.48
"pos-controls-1123"	148.43	176.6
"pos-controls-1124"	163.22	144.19
"pos-controls-1177"	255.12	279.6
"pos-controls-1178"	239.44	180.89
"pos-controls-1179"	249.75	228.94
"pos-controls-1180"	212.56	242.99
"pos-controls-1265"	166.05	177.23
"pos-controls-1266"	164.08	150.44
"pos-controls-1267"	160.11	154.66
"pos-controls-1268"	152.12	155.11
"pos-controls-1321"	217.61	217.32
"pos-controls-1322"	234.36	222.74
"pos-controls-1323"	314.04	187.85
"pos-controls-1324"	218.04	235.97
"pos-controls-1329"	243.71	241.88
"pos-controls-1330"	241.73	237.05
"pos-controls-1331"	238.25	228.73
"pos-controls-1332"	276.69	255.63
"pos-controls-1449"	81.8	90.96
"pos-controls-1450"	126.48	94.16
"pos-controls-1451"	90.99	84.7
"pos-controls-1452"	83.44	84.97
"pos-controls-1457"	152.72	118.78
"pos-controls-1458"	126.26	107.68
"pos-controls-1459"	136.79	125.65
"pos-controls-1460"	147.72	132.6
"pos-controls-1561"	131.76	106.13
"pos-controls-1562"	133.89	114.14
"pos-controls-1563"	110.58	121.04
"pos-controls-1564"	119.39	112.14
"pos-controls-1577"	106.72	109.14
"pos-controls-1578"	113.53	127.79
"pos-controls-1579"	65.28	108.47
"pos-controls-1580"	107.54	108.32
"pos-controls-1589"	75.47	88.86
"pos-controls-1590"	85.94	87.14
"pos-controls-1591"	139.39	142.94
"pos-controls-1592"	93.78	94.08
"pos-controls-1597"	70.72	80.54
"pos-controls-1598"	64.12	71.8
"pos-controls-1599"	76.43	80.71
"pos-controls-1600"	80.64	93.62
"pos-controls-169"	221.04	265.27
"pos-controls-170"	216.81	275.45
"pos-controls-171"	233.59	274.12
"pos-controls-172"	203.91	215.39
"pos-controls-173"	314.83	346.09
"pos-controls-174"	366.86	487.96
"pos-controls-175"	362.89	298.21
"pos-controls-176"	379.49	356.11
"pos-controls-1773"	444.67	492.91
"pos-controls-1774"	319.16	368.94
"pos-controls-1775"	590.12	431.32
"pos-controls-1776"	592.69	430.41
"pos-controls-1921"	267.69	267.56
"pos-controls-1922"	319.57	240.82
"pos-controls-1923"	364.06	321.49
"pos-controls-1924"	254.6	232.59
"pos-controls-1953"	142.84	149.91
"pos-controls-1954"	181.48	187.43
"pos-controls-1955"	142.61	149.06
"pos-controls-1956"	139.28	133.81
"pos-controls-2029"	303.64	218.3
"pos-controls-2030"	245.48	217.87
"pos-controls-2031"	274.97	284.48
"pos-controls-2032"	317.57	278.71
"pos-controls-2033"	195.25	335.71
"pos-controls-2034"	264.39	200.12
"pos-controls-2035"	285.44	270.23
"pos-controls-2036"	279.6	253.81
"pos-controls-2081"	165.22	191.98
"pos-controls-2082"	163.76	163.29
"pos-controls-2083"	161.74	153.62
"pos-controls-2084"	159.33	170.03
"pos-controls-2113"	244.61	215.97
"pos-controls-2114"	288.48	280.85
"pos-controls-2115"	287.69	251.36
"pos-controls-2116"	273.71	263.52
"pos-controls-2121"	91.77	89.1
"pos-controls-2122"	95.2	104.36
"pos-controls-2123"	87.89	121.43
"pos-controls-2124"	88.29	109.41
"pos-controls-2181"	219.02	299.54
"pos-controls-2182"	249.47	203.66
"pos-controls-2183"	213.28	178.34
"pos-controls-2184"	212.4	217.42
"pos-controls-2185"	187.74	197.27
"pos-controls-2186"	174.63	144.69
"pos-controls-2187"	175.71	186.9
"pos-controls-2188"	115.6	157.53
"pos-controls-2453"	105.03	104.13
"pos-controls-2454"	91.3	88.92
"pos-controls-2455"	94.79	94.13
"pos-controls-2456"	100.72	91.33
"pos-controls-2457"	94.87	97.64
"pos-controls-2458"	107.31	94.19
"pos-controls-2459"	92.04	111.24
"pos-controls-2460"	86.02	93.76
"pos-controls-2461"	2045.32	2206.61
"pos-controls-2462"	1811.05	1894.69
"pos-controls-2463"	1759.18	1975.54
"pos-controls-2464"	1434.3	1528.52
"pos-controls-2485"	77.38	69.45
"pos-controls-2486"	67.96	78.58
"pos-controls-2487"	82.37	70.19
"pos-controls-2488"	76.85	77.82
"pos-controls-2697"	195.46	109.19
"pos-controls-2698"	110.91	145.38
"pos-controls-2699"	135.42	120.86
"pos-controls-2700"	128.68	159.83
"pos-controls-2701"	120.54	124.16
"pos-controls-2702"	123.38	128.28
"pos-controls-2703"	133.09	141.64
