"Reporter Name"	"LE_PO_normalizedData_r1"	"LE_PO_normalizedData_r2"
"pos-controls-1033"	82.5	96.34
"pos-controls-1034"	75.38	82.85
"pos-controls-1035"	68.02	84.66
"pos-controls-1036"	83.53	82.15
"pos-controls-1037"	169.76	63.59
"pos-controls-1038"	155.5	118.81
"pos-controls-1039"	131.92	134.07
"pos-controls-1040"	121.75	94.19
"pos-controls-1041"	83	85.26
"pos-controls-1042"	70.86	69.69
"pos-controls-1043"	71.56	77.55
"pos-controls-1044"	70.39	70.56
"pos-controls-1101"	85.06	92.19
"pos-controls-1102"	78.19	79.96
"pos-controls-1103"	98.47	116.12
"pos-controls-1104"	89.82	99.51
"pos-controls-1121"	151.91	88.06
"pos-controls-1122"	105.32	87.56
"pos-controls-1123"	106.52	91.3
"pos-controls-1124"	110.72	97.64
"pos-controls-1177"	147.5	96.7
"pos-controls-1178"	128.14	117.62
"pos-controls-1179"	137.21	110.3
"pos-controls-1180"	121.87	102.29
"pos-controls-1265"	665.73	620.99
"pos-controls-1266"	577.65	630.17
"pos-controls-1267"	566.41	775.51
"pos-controls-1268"	511.67	695.37
"pos-controls-1321"	137.15	177.76
"pos-controls-1322"	194.5	164.96
"pos-controls-1323"	135.01	170.03
"pos-controls-1324"	172.81	164.2
"pos-controls-1329"	284.48	569.51
"pos-controls-1330"	371.65	548.91
"pos-controls-1331"	250.05	341.45
"pos-controls-1332"	658.81	685.6
"pos-controls-1449"	74.33	84.53
"pos-controls-1450"	76.9	97.1
"pos-controls-1451"	86.54	89.12
"pos-controls-1452"	78.72	81.29
"pos-controls-1457"	1930.37	1516.79
"pos-controls-1458"	1794.11	1658.48
"pos-controls-1459"	1776.66	1558.03
"pos-controls-1460"	1750.94	1445.77
"pos-controls-1561"	163	147.72
"pos-controls-1562"	156.74	121.37
"pos-controls-1563"	166.43	129.84
"pos-controls-1564"	224.24	155.54
"pos-controls-1577"	178.46	160.16
"pos-controls-1578"	185.09	141.75
"pos-controls-1579"	163.4	143.08
"pos-controls-1580"	169.31	180.33
"pos-controls-1589"	114.24	86.47
"pos-controls-1590"	117.06	106.98
"pos-controls-1591"	116.05	117.45
"pos-controls-1592"	98.19	114.59
"pos-controls-1597"	122.04	91.1
"pos-controls-1598"	103.08	99.97
"pos-controls-1599"	112.41	112.1
"pos-controls-1600"	151.24	98.38
"pos-controls-169"	294.32	348.33
"pos-controls-170"	231.85	316.69
"pos-controls-171"	346.09	358.89
"pos-controls-172"	288.48	324.77
"pos-controls-173"	105.11	133.25
"pos-controls-174"	150.55	115.16
"pos-controls-175"	134.07	87.14
"pos-controls-176"	125.92	149.83
"pos-controls-1773"	152.52	121.09
"pos-controls-1774"	164.39	144.3
"pos-controls-1775"	208.98	100.98
"pos-controls-1776"	243.51	144.98
"pos-controls-1921"	204.1	167.51
