"Reporter Name"	"MX_NE_normalizedData_r1"	"MX_NE_normalizedData_r2"
"pos-controls-1033"	65.08	93.35
"pos-controls-1034"	92.52	87.09
"pos-controls-1035"	67.72	83.84
"pos-controls-1036"	89.27	98.25
"pos-controls-1037"	89.4	96.31
"pos-controls-1038"	84.57	247.07
"pos-controls-1039"	108.21	116.68
"pos-controls-1040"	126.62	91.22
"pos-controls-1041"	96.02	79.4
"pos-controls-1042"	80.62	90.91
"pos-controls-1043"	91.3	85.39
"pos-controls-1044"	159.83	153.05
"pos-controls-1101"	114.81	92.9
"pos-controls-1102"	102.67	100.6
"pos-controls-1103"	106.59	108.68
"pos-controls-1104"	102.89	94.81
"pos-controls-1121"	101.87	184.34
"pos-controls-1122"	83.24	80.19
"pos-controls-1123"	85.97	98.08
"pos-controls-1124"	101.34	86.66
"pos-controls-1177"	117.23	90.45
"pos-controls-1178"	112.81	126.16
"pos-controls-1179"	109.54	116.12
"pos-controls-1180"	118.15	116
"pos-controls-1265"	151.54	229.17
"pos-controls-1266"	176.6	319.57
"pos-controls-1267"	160.49	237.34
"pos-controls-1268"	139.5	264.82
"pos-controls-1321"	151.17	244.14
"pos-controls-1322"	154.43	251.68
"pos-controls-1323"	132.83	212.56
"pos-controls-1324"	141.64	190.4
"pos-controls-1329"	177.76	183.57
"pos-controls-1330"	220.25	327.73
"pos-controls-1331"	154.66	377.67
"pos-controls-1332"	230.05	375.1
"pos-controls-1449"	232.11	195.25
"pos-controls-1450"	357.47	353.19
"pos-controls-1451"	291.76	158.2
"pos-controls-1452"	258.29	191.65
"pos-controls-1457"	102.21	176.11
"pos-controls-1458"	110.84	150.67
"pos-controls-1459"	76.48	168.92
"pos-controls-1460"	117.29	166.88
"pos-controls-1561"	287.2	479.1
"pos-controls-1562"	253	377.22
"pos-controls-1563"	284.91	372.93
"pos-controls-1564"	304.36	404.26
"pos-controls-1577"	98.9	142.61
"pos-controls-1578"	95.29	127.7
"pos-controls-1579"	105.2	117.18
"pos-controls-1580"	98.32	142.84
"pos-controls-1589"	110.5	95.05
"pos-controls-1590"	117.82	88.03
"pos-controls-1591"	144.88	122.88
"pos-controls-1592"	114.88	99.72
"pos-controls-1597"	113.11	74.94
"pos-controls-1598"	112.02	82.5
"pos-controls-1599"	121.57	100.11
"pos-controls-1600"	123.99	103.53
"pos-controls-169"	276.48	533.96
"pos-controls-170"	285.17	528.07
"pos-controls-171"	274.97	525.53
"pos-controls-172"	303.98	592.69
"pos-controls-173"	145.22	91.07
"pos-controls-174"	131.54	171.6
"pos-controls-175"	82.37	81.91
"pos-controls-176"	113.18	99.67
"pos-controls-1773"	95.68	112.59
"pos-controls-1774"	114.68	104.13
"pos-controls-1775"	120.88	108.03
