"Reporter Name"	"MX_PO_normalizedData_r1"	"MX_PO_normalizedData_r2"
"pos-controls-1033"	92.11	78.98
"pos-controls-1034"	90.73	93.7
"pos-controls-1035"	81.31	86.92
"pos-controls-1036"	84.13	101.54
"pos-controls-1037"	438.59	435.36
"pos-controls-1038"	431.97	370.2
"pos-controls-1039"	553.9	492.69
"pos-controls-1040"	497.57	301.26
"pos-controls-1041"	148.73	121.09
"pos-controls-1042"	76.93	94.13
"pos-controls-1043"	187.45	93.5
"pos-controls-1044"	82.04	87.47
"pos-controls-1101"	24014.51	34040.84
"pos-controls-1102"	20199.26	31540.85
"pos-controls-1103"	25500.52	35628.13
"pos-controls-1104"	22944.48	35563.82
"pos-controls-1121"	42080	44780.82
"pos-controls-1122"	44060.23	44618.64
"pos-controls-1123"	44214.14	42600.38
"pos-controls-1124"	48518.04	39136.1
"pos-controls-1177"	39798.24	44140.55
"pos-controls-1178"	50469.86	50903.78
"pos-controls-1179"	51348.77	50791.56
"pos-controls-1180"	46510.8	45551.62
"pos-controls-1265"	479.47	1027.21
"pos-controls-1266"	469.71	879.11
"pos-controls-1267"	507.63	1302.96
"pos-controls-1268"	418.48	934.06
"pos-controls-1321"	13829.83	22363.58
"pos-controls-1322"	11220.55	19600.45
"pos-controls-1323"	15421.72	23482.92
"pos-controls-1324"	15719.06	21526.26
"pos-controls-1329"	9270.05	12225.49
"pos-controls-1330"	9568.31	10988.57
"pos-controls-1331"	10855.65	11880.99
"pos-controls-1332"	10118.45	11593.62
"pos-controls-1449"	196.85	178.15
"pos-controls-1450"	233.49	242.68
"pos-controls-1451"	231.86	195.3
"pos-controls-1452"	228.57	158.22
"pos-controls-1457"	30581.33	36544.92
"pos-controls-1458"	31734.54	35889.09
"pos-controls-1459"	28433.67	31843.75
"pos-controls-1460"	31182.84	35953.05
"pos-controls-1561"	32524.15	37115.14
"pos-controls-1562"	29675.34	35084.65
"pos-controls-1563"	32484.07	36716.45
"pos-controls-1564"	34040.84	37845.02
"pos-controls-1577"	33125.21	37956.77
"pos-controls-1578"	32253.6	36090.31
"pos-controls-1579"	31603.27	37472.96
"pos-controls-1580"	30410.69	34719.44
"pos-controls-1589"	23192.52	32091.33
"pos-controls-1590"	27583.82	32920.8
"pos-controls-1591"	24767.73	32638.58
"pos-controls-1592"	25431.11	32253.6
"pos-controls-1597"	16936.92	26913.37
"pos-controls-1598"	18743.47	27922.99
"pos-controls-1599"	24474.33	32740.42
"pos-controls-1600"	17714.22	25183.32
"pos-controls-169"	2625.89	3410.15
"pos-controls-170"	2119.49	2415.33
"pos-controls-171"	1882.65	3182.84
"pos-controls-172"	1956.1	2987.03
"pos-controls-173"	38272.81	41567.62
"pos-controls-174"	44140.55	46365.85
"pos-controls-175"	41923.58	43041.6
"pos-controls-176"	45448.85	44214.14
"pos-controls-1773"	43853.02	43927.05
"pos-controls-1774"	42840.72	45739
"pos-controls-1775"	41567.62	48046.73
"pos-controls-1776"	42374.79	48334.01
"pos-controls-1921"	26500.95	15853.29
"pos-controls-1922"	28565.29	16327.77
"pos-controls-1923"	23280.32	12581.86
"pos-controls-1924"	28463.76	15939.21
"pos-controls-1953"	156.35	165.04
"pos-controls-1954"	177.12	189.65
"pos-controls-1955"	162.54	175.41
"pos-controls-1956"	158.22	263.43
"pos-controls-2029"	42225.46	29304.28
"pos-controls-2030"	35889.09	26600.34
"pos-controls-2031"	39996.44	30172.98
"pos-controls-2032"	40418.15	27116.83
"pos-controls-2033"	35318.96	26863.44
"pos-controls-2034"	35813.84	30410.69
"pos-controls-2035"	32091.33	16936.92
"pos-controls-2036"	39501.53	29058.04
"pos-controls-2081"	26203.46	27583.82
"pos-controls-2082"	28075.53	30581.33
"pos-controls-2083"	24298.46	24082.53
"pos-controls-2084"	22457.36	24562.74
"pos-controls-2113"	335.94	489.91
"pos-controls-2114"	388.1	551.56
"pos-controls-2115"	407.82	459.98
"pos-controls-2116"	387.68	530.58
"pos-controls-2121"	275.39	84.63
"pos-controls-2122"	323.16	146.99
"pos-controls-2123"	188.87	120.53
"pos-controls-2124"	323.86	160.82
"pos-controls-2181"	39927.47	38814.29
"pos-controls-2182"	41847.14	33267.2
"pos-controls-2183"	34506.11	33205.87
"pos-controls-2184"	36965.41	31378.91
"pos-controls-2185"	43694.22	36467.55
"pos-controls-2186"	40515.42	34218.68
"pos-controls-2187"	42156.55	38101.72
"pos-controls-2188"	36371.32	35217.13
"pos-controls-2453"	335.51	563.59
"pos-controls-2454"	266.05	524.31
"pos-controls-2455"	318.3	821.66
"pos-controls-2456"	224.04	578.3
"pos-controls-2457"	146.99	161.93
"pos-controls-2458"	177.44	155.39
"pos-controls-2459"	179.81	165.32
"pos-controls-2460"	131.26	142.95
"pos-controls-2461"	16257.22	21887.7
"pos-controls-2462"	17275.21	24014.51
"pos-controls-2463"	13629.13	23005.74
"pos-controls-2464"	17627.42	22172.61
"pos-controls-2485"	82.64	79.41
"pos-controls-2486"	109.76	79.21
"pos-controls-2487"	132.74	102.33
"pos-controls-2488"	81.8	92.41
"pos-controls-2697"	118.56	125.71
"pos-controls-2698"	117.31	144.48
"pos-controls-2699"	151.15	162.54
"pos-controls-2700"	176	193.19
"pos-controls-2701"	305.91	414.11
"pos-controls-2702"	297.47	408.6
"pos-controls-2703"	284.61	342.46
"pos-controls-2704"	358.41	420.49
"pos-controls-2777"	11823.48	19382.6
"pos-controls-2778"	16785.52	22261.69
"pos-controls-2779"	14933.59	23050.37
"pos-controls-2780"	10239.53	18743.47
"pos-controls-2833"	145.96	147.47
"pos-controls-2834"	142.15	138.69
