"Reporter Name"	"US_NE_normalizedData_r1"	"US_NE_normalizedData_r2"
"pos-controls-1033"	87.63	72.24
"pos-controls-1034"	98.5	89.67
"pos-controls-1035"	84.68	100.21
"pos-controls-1036"	76.63	79.43
"pos-controls-1037"	98.64	96.28
"pos-controls-1038"	126.11	106.22
"pos-controls-1039"	138.97	106.57
"pos-controls-1040"	126.36	96.44
"pos-controls-1041"	79.58	132.94
"pos-controls-1042"	86.54	84.73
"pos-controls-1043"	77.18	105.89
"pos-controls-1044"	71.56	95.49
"pos-controls-1101"	115.42	176.6
"pos-controls-1102"	106.25	127.36
"pos-controls-1103"	152.82	142.39
"pos-controls-1104"	93.69	116.2
"pos-controls-1121"	75.95	96.44
"pos-controls-1122"	102.08	94.16
"pos-controls-1123"	97.41	96.76
"pos-controls-1124"	105.69	122.65
"pos-controls-1177"	122.34	152.92
"pos-controls-1178"	133.43	130.75
"pos-controls-1179"	142.03	128.86
"pos-controls-1180"	179	138.4
"pos-controls-1265"	296.23	262.66
"pos-controls-1266"	262.66	201.07
"pos-controls-1267"	268.41	263.16
"pos-controls-1268"	288.84	297.7
"pos-controls-1321"	216.18	204.47
"pos-controls-1322"	262.43	250.55
"pos-controls-1323"	276.48	215.57
"pos-controls-1324"	261.3	239.18
"pos-controls-1329"	383.34	421.88
"pos-controls-1330"	440.04	419.87
"pos-controls-1331"	391.01	428.99
"pos-controls-1332"	503.51	495.89
"pos-controls-1449"	91.22	77.41
"pos-controls-1450"	119.81	101.23
"pos-controls-1451"	93.15	82.94
"pos-controls-1452"	74.52	64.24
"pos-controls-1457"	94.34	91.13
"pos-controls-1458"	91.77	92.93
"pos-controls-1459"	111.86	91.22
"pos-controls-1460"	95.1	95.15
"pos-controls-1561"	92	90.03
"pos-controls-1562"	81.92	102.61
"pos-controls-1563"	85.26	87.31
"pos-controls-1564"	251.36	128.39
"pos-controls-1577"	147.01	133.37
"pos-controls-1578"	222.09	122.55
"pos-controls-1579"	143.35	99.24
"pos-controls-1580"	228.73	148.59
"pos-controls-1589"	141.64	138.3
"pos-controls-1590"	160.49	151.98
"pos-controls-1591"	192.56	139.28
"pos-controls-1592"	146.32	127.52
"pos-controls-1597"	136.9	123.5
"pos-controls-1598"	164.49	93.07
"pos-controls-1599"	126.24	131.76
"pos-controls-1600"	133.57	153.65
"pos-controls-169"	252.74	285.87
"pos-controls-170"	261.98	246.21
"pos-controls-171"	183.36	173.36
"pos-controls-172"	195.25	191.65
"pos-controls-173"	169.65	125.8
"pos-controls-174"	117.51	108.78
"pos-controls-175"	90.76	101.23
"pos-controls-176"	121	202.18
"pos-controls-1773"	271.27	233.38
"pos-controls-1774"	241.01	205.99
"pos-controls-1775"	350.01	300.77
"pos-controls-1776"	365.97	314.83
"pos-controls-1921"	198.96	199.96
"pos-controls-1922"	186.19	184.54
"pos-controls-1923"	283.98	180.54
"pos-controls-1924"	173.21	200.22
"pos-controls-1953"	102.7	100.81
"pos-controls-1954"	137.84	95.26
"pos-controls-1955"	80.58	110.95
"pos-controls-1956"	89.2	104.17
"pos-controls-2029"	174.34	150
"pos-controls-2030"	117.45	115.23
"pos-controls-2031"	130.12	103.91
"pos-controls-2032"	131.57	160.21
"pos-controls-2033"	136.79	118.25
"pos-controls-2034"	130.41	123.02
"pos-controls-2035"	215.57	189.04
"pos-controls-2036"	154.93	152.12
"pos-controls-2081"	185.82	213.91
"pos-controls-2082"	229.17	249.47
"pos-controls-2083"	244.14	268.41
"pos-controls-2084"	167.82	205.03
"pos-controls-2113"	118.83	117.71
"pos-controls-2114"	131.76	108.18
"pos-controls-2115"	270.04	156.28
"pos-controls-2116"	136.03	126.84
"pos-controls-2121"	90.63	95.71
"pos-controls-2122"	157.24	152.45
"pos-controls-2123"	83.33	84.83
"pos-controls-2124"	116.41	103.34
"pos-controls-2181"	194.89	147.85
"pos-controls-2182"	162.18	135.23
"pos-controls-2183"	123.02	101.34
"pos-controls-2184"	153.49	171.29
"pos-controls-2185"	111.47	119.39
"pos-controls-2186"	136.98	117.64
"pos-controls-2187"	122.07	107.19
"pos-controls-2188"	112.23	123.73
"pos-controls-2453"	149.44	167.39
"pos-controls-2454"	107.68	170.44
"pos-controls-2455"	115.66	172.29
"pos-controls-2456"	131.23	145.42
