"Reporter Name"	"US_PO_normalizedData_r1"	"US_PO_normalizedData_r2"
"pos-controls-1033"	96.53	141.24
"pos-controls-1034"	129.35	130.24
"pos-controls-1035"	134.9	115.79
"pos-controls-1036"	135.58	120.22
"pos-controls-1037"	394.58	319.52
"pos-controls-1038"	351.22	324.15
"pos-controls-1039"	408.6	438.59
"pos-controls-1040"	386.1	338.97
"pos-controls-1041"	93.5	111.71
"pos-controls-1042"	103.26	96.53
"pos-controls-1043"	112.5	91.24
"pos-controls-1044"	72.86	91.55
"pos-controls-1101"	43593.36	41847.14
"pos-controls-1102"	44510.88	40725.73
"pos-controls-1103"	45318.86	42156.55
"pos-controls-1104"	37956.77	42310.47
"pos-controls-1121"	36022.18	38195.89
"pos-controls-1122"	41498.33	39424.39
"pos-controls-1123"	39738.19	37785.7
"pos-controls-1124"	35038.88	43593.36
"pos-controls-1177"	35084.65	39996.44
"pos-controls-1178"	31262.66	41401.34
"pos-controls-1179"	41305.34	40883.76
"pos-controls-1180"	39501.53	37956.77
"pos-controls-1265"	5075.74	5265.52
"pos-controls-1266"	4989.95	5426.89
"pos-controls-1267"	5174.94	5882.41
"pos-controls-1268"	5620.53	5742.02
"pos-controls-1321"	5115.87	5882.41
"pos-controls-1322"	5265.52	5707.91
"pos-controls-1323"	6031.37	5949.26
"pos-controls-1324"	6341.04	6428.15
"pos-controls-1329"	15164.88	15719.06
"pos-controls-1330"	17457.78	18178.6
"pos-controls-1331"	16705.8	17767.13
"pos-controls-1332"	18279.45	18938.33
"pos-controls-1449"	178.69	225.9
"pos-controls-1450"	255.77	250.61
"pos-controls-1451"	194.09	255.05
"pos-controls-1452"	227.33	380.57
"pos-controls-1457"	31133.34	28277.02
"pos-controls-1458"	29760.89	29760.89
"pos-controls-1459"	26913.37	27679.12
"pos-controls-1460"	31734.54	28433.67
"pos-controls-1561"	31680.71	30680.64
"pos-controls-1562"	29184.71	29908.39
"pos-controls-1563"	29488.82	32253.6
"pos-controls-1564"	27242.43	30741.82
"pos-controls-1577"	29842.49	30410.69
"pos-controls-1578"	31843.75	31926.05
"pos-controls-1579"	28277.02	29675.34
"pos-controls-1580"	27740.5	28357.88
"pos-controls-1589"	29675.34	31084.85
"pos-controls-1590"	29058.04	31133.34
"pos-controls-1591"	26203.46	26298.6
"pos-controls-1592"	28433.67	30172.98
"pos-controls-1597"	24686.41	23136.86
"pos-controls-1598"	24957.87	24767.73
"pos-controls-1599"	25835.59	25835.59
"pos-controls-1600"	24615.68	23005.74
"pos-controls-169"	1158.67	1258.34
"pos-controls-170"	1394.31	1027.21
"pos-controls-171"	1163.02	869.13
"pos-controls-172"	963.78	1030.34
"pos-controls-173"	35889.09	35889.09
"pos-controls-174"	43324	41730.98
"pos-controls-175"	42156.55	43041.6
"pos-controls-176"	40774.77	43927.05
"pos-controls-1773"	41984.25	42600.38
"pos-controls-1774"	43774.71	40418.15
"pos-controls-1775"	41567.62	45448.85
"pos-controls-1776"	41436.15	46073.18
"pos-controls-1921"	16936.92	18634.22
"pos-controls-1922"	17627.42	18095.26
"pos-controls-1923"	19360.85	16785.52
"pos-controls-1924"	17767.13	18543.51
"pos-controls-1953"	205.51	443.28
"pos-controls-1954"	208.71	271.43
"pos-controls-1955"	246.41	353.8
"pos-controls-1956"	296.09	304.01
"pos-controls-2029"	9129.79	9805.58
"pos-controls-2030"	8227.29	9058.97
"pos-controls-2031"	10609.7	10855.65
"pos-controls-2032"	11142.77	11362.79
"pos-controls-2033"	8337.39	8649.07
"pos-controls-2034"	8404.92	10239.53
