"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	128.92	206.65	128.92	206.65
"tcruzi-100162"	96.1	71.93	96.1	71.93
"tcruzi-100284"	147.11	90.01	147.11	90.01
"tcruzi-100318"	60.38	73.46	60.38	73.46
"tcruzi-10046"	157.17	192.77	157.17	192.77
"tcruzi-100681"	7183.2	6646.72	7183.2	6646.72
"tcruzi-10070"	14209.68	15503.99	14209.68	15503.99
"tcruzi-100743"	525.55	481.75	525.55	481.75
"tcruzi-100813"	67.47	68.65	67.47	68.65
"tcruzi-101092"	38.08	28.43	38.08	28.43
"tcruzi-101299"	60.53	87.31	60.53	87.31
"tcruzi-101458"	55.1	53.12	55.1	53.12
"tcruzi-101588"	108.38	75.95	108.38	75.95
"tcruzi-101707"	118.62	194.27	118.62	194.27
"tcruzi-101832"	192.14	214.49	192.14	214.49
"tcruzi-101894"	129.48	104.41	129.48	104.41
"tcruzi-102254"	78.64	66.27	78.64	66.27
"tcruzi-1023"	29.63	43.83	29.63	43.83
"tcruzi-10242"	43.66	26.37	43.66	26.37
"tcruzi-102678"	224.67	149.1	224.67	149.1
"tcruzi-103137"	155.75	112.97	155.75	112.97
"tcruzi-103387"	3525.23	2494.09	3525.23	2494.09
"tcruzi-103639"	148.38	191.12	148.38	191.12
"tcruzi-103728"	73.46	127.33	73.46	127.33
"tcruzi-103831"	15187.11	14673.97	15187.11	14673.97
"tcruzi-103915"	3376.73	15978.33	3376.73	15978.33
"tcruzi-104192"	33259.62	30294.8	33259.62	30294.8
"tcruzi-104193"	13690.09	15307.26	13690.09	15307.26
"tcruzi-104196"	26372.5	33976.8	26372.5	33976.8
"tcruzi-104199"	32883.65	27717.21	32883.65	27717.21
"tcruzi-104201"	29731.74	31531.22	29731.74	31531.22
"tcruzi-104202"	32209.88	28270.68	32209.88	28270.68
"tcruzi-104203"	36528.98	34102.38	36528.98	34102.38
"tcruzi-104204"	36712.56	25825.3	36712.56	25825.3
"tcruzi-104210"	12984.51	12403.48	12984.51	12403.48
"tcruzi-104316"	110.58	55.18	110.58	55.18
"tcruzi-104444"	231.87	245.36	231.87	245.36
"tcruzi-104468"	23106	19745.03	23106	19745.03
"tcruzi-104469"	24384.36	17109.13	24384.36	17109.13
"tcruzi-104470"	26091.35	17817.24	26091.35	17817.24
"tcruzi-104471"	8168.64	6999.65	8168.64	6999.65
"tcruzi-104472"	8119.83	7927.67	8119.83	7927.67
"tcruzi-104720"	510.92	968.28	510.92	968.28
"tcruzi-10480"	372.95	604.68	372.95	604.68
"tcruzi-104858"	25072.26	14067.78	25072.26	14067.78
"tcruzi-104859"	22387.7	19588.44	22387.7	19588.44
"tcruzi-104860"	19894.74	23106	19894.74	23106
"tcruzi-104861"	25750.29	23179.31	25750.29	23179.31
"tcruzi-104862"	23536.38	18588.47	23536.38	18588.47
"tcruzi-104863"	16829.78	17430.77	16829.78	17430.77
"tcruzi-105168"	183.64	383.17	183.64	383.17
"tcruzi-105245"	275.91	413.67	275.91	413.67
"tcruzi-10541"	5869.2	5692.21	5869.2	5692.21
"tcruzi-106008"	6400.49	5893.43	6400.49	5893.43
"tcruzi-106060"	21895.61	28438.15	21895.61	28438.15
"tcruzi-106061"	28590.61	26224.5	28590.61	26224.5
"tcruzi-106211"	20922.29	25072.26	20922.29	25072.26
"tcruzi-106212"	13322.92	13754.22	13322.92	13754.22
"tcruzi-106221"	29021.53	26024.65	29021.53	26024.65
"tcruzi-106222"	9538.7	8684.02	9538.7	8684.02
"tcruzi-106223"	29396	27645	29396	27645
"tcruzi-106224"	33876.34	37955.96	33876.34	37955.96
"tcruzi-106226"	33073.43	27888.18	33073.43	27888.18
"tcruzi-106227"	782.29	1875.91	782.29	1875.91
"tcruzi-106269"	2245.95	2394.18	2245.95	2394.18
"tcruzi-106624"	262.92	236.36	262.92	236.36
"tcruzi-106719"	79.09	98.22	79.09	98.22
"tcruzi-107004"	72.08	80.33	72.08	80.33
"tcruzi-107008"	71.51	74.67	71.51	74.67
"tcruzi-107305"	45.06	37.03	45.06	37.03
"tcruzi-10742"	523.83	97.3	523.83	97.3
"tcruzi-10745"	14032.06	13218.51	14032.06	13218.51
"tcruzi-10756"	25325.51	28199.76	25325.51	28199.76
"tcruzi-10757"	28130.26	28766.86	28130.26	28766.86
"tcruzi-10759"	28515.25	24946.91	28515.25	24946.91
"tcruzi-10760"	4995.61	5304.11	4995.61	5304.11
"tcruzi-10761"	17187.6	17572.51	17187.6	17572.51
"tcruzi-10763"	27359.5	21895.61	27359.5	21895.61
"tcruzi-10766"	16242.9	14380.58	16242.9	14380.58
"tcruzi-10767"	4409.84	4904.2	4409.84	4904.2
"tcruzi-10768"	19641.53	15340.06	19641.53	15340.06
"tcruzi-10769"	190.66	197.09	190.66	197.09
"tcruzi-10771"	24946.91	35559.47	24946.91	35559.47
"tcruzi-10772"	30030.92	31923.59	30030.92	31923.59
"tcruzi-10773"	10115.88	9966.13	10115.88	9966.13
"tcruzi-10774"	5432.68	4745.33	5432.68	4745.33
"tcruzi-108081"	105.76	58.34	105.76	58.34
"tcruzi-10820"	8503.8	8783.1	8503.8	8783.1
"tcruzi-10821"	30539.23	27427.79	30539.23	27427.79
"tcruzi-108384"	534.5	185.63	534.5	185.63
"tcruzi-108385"	453.63	122.19	453.63	122.19
"tcruzi-108386"	4668.18	5583.05	4668.18	5583.05
"tcruzi-108387"	769.67	632.64	769.67	632.64
"tcruzi-108388"	210.3	83.11	210.3	83.11
"tcruzi-108389"	184.16	199.41	184.16	199.41
"tcruzi-108390"	267.25	151	267.25	151
"tcruzi-108391"	148.04	83.54	148.04	83.54
"tcruzi-108407"	54.95	53.68	54.95	53.68
"tcruzi-108790"	3964.13	1759.23	3964.13	1759.23
"tcruzi-108798"	2051.77	4099.63	2051.77	4099.63
"tcruzi-108805"	60.93	100.44	60.93	100.44
"tcruzi-108853"	178.74	222.8	178.74	222.8
"tcruzi-109067"	52.7	51.11	52.7	51.11
