"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	79.5	143.45	79.5	143.45
"tcruzi-100162"	65.97	110.39	65.97	110.39
"tcruzi-100284"	15589.77	12571.48	15589.77	12571.48
"tcruzi-100318"	59.22	41.35	59.22	41.35
"tcruzi-10046"	142.13	55.1	142.13	55.1
"tcruzi-100681"	10165.23	15022.71	10165.23	15022.71
"tcruzi-10070"	9665.01	9943.34	9665.01	9943.34
"tcruzi-100743"	455.75	589.89	455.75	589.89
"tcruzi-100813"	138.61	121.98	138.61	121.98
"tcruzi-101092"	37.91	58.89	37.91	58.89
"tcruzi-101299"	65.7	70.15	65.7	70.15
"tcruzi-101458"	130.44	111.92	130.44	111.92
"tcruzi-101588"	68.36	84.17	68.36	84.17
"tcruzi-101707"	112.58	259.42	112.58	259.42
"tcruzi-101832"	226.02	308.45	226.02	308.45
"tcruzi-101894"	106.43	181.05	106.43	181.05
"tcruzi-102254"	45.51	51.57	45.51	51.57
"tcruzi-1023"	45.21	60.53	45.21	60.53
"tcruzi-10242"	61.53	64.56	61.53	64.56
"tcruzi-102678"	167.93	141.27	167.93	141.27
"tcruzi-103137"	162.08	195.33	162.08	195.33
"tcruzi-103387"	595.91	925.54	595.91	925.54
"tcruzi-103639"	399.03	513.68	399.03	513.68
"tcruzi-103728"	40.86	66.13	40.86	66.13
"tcruzi-103831"	7528.72	5583.05	7528.72	5583.05
"tcruzi-103915"	7412.86	10786.54	7412.86	10786.54
"tcruzi-104192"	21353.57	21353.57	21353.57	21353.57
"tcruzi-104193"	9014.96	8806.69	9014.96	8806.69
"tcruzi-104196"	31263.53	32118.02	31263.53	32118.02
"tcruzi-104199"	32513.59	25202.12	32513.59	25202.12
"tcruzi-104201"	31160.17	32304.31	31160.17	32304.31
"tcruzi-104202"	36712.56	31348.36	36712.56	31348.36
"tcruzi-104203"	30703.73	30211.32	30703.73	30211.32
"tcruzi-104204"	29175.43	33976.8	29175.43	33976.8
"tcruzi-104210"	32118.02	30114.02	32118.02	30114.02
"tcruzi-104316"	707.97	684.81	707.97	684.81
"tcruzi-104444"	134.28	85.85	134.28	85.85
"tcruzi-104468"	27645	29247.1	27645	29247.1
"tcruzi-104469"	24755.35	29657.74	24755.35	29657.74
"tcruzi-104470"	24827.74	16877.14	24827.74	16877.14
"tcruzi-104471"	16135.08	13218.51	16135.08	13218.51
"tcruzi-104472"	21530.83	21194.61	21530.83	21194.61
"tcruzi-104720"	2116.3	1735.75	2116.3	1735.75
"tcruzi-10480"	1172.9	840.28	1172.9	840.28
"tcruzi-104858"	25202.12	13356.82	25202.12	13356.82
"tcruzi-104859"	29731.74	24325.06	29731.74	24325.06
"tcruzi-104860"	24628.49	29021.53	24628.49	29021.53
"tcruzi-104861"	28438.15	27359.5	28438.15	27359.5
"tcruzi-104862"	27359.5	30030.92	27359.5	30030.92
"tcruzi-104863"	25888.71	30449.33	25888.71	30449.33
"tcruzi-105168"	906.33	1453.06	906.33	1453.06
"tcruzi-105245"	61.37	66.27	61.37	66.27
"tcruzi-10541"	1022.11	676.43	1022.11	676.43
"tcruzi-106008"	1230.25	2328.87	1230.25	2328.87
"tcruzi-106060"	13148.88	12956.73	13148.88	12956.73
"tcruzi-106061"	11377.03	8189.43	11377.03	8189.43
"tcruzi-106211"	12434.85	12783.25	12434.85	12783.25
"tcruzi-106212"	4387.27	6668.88	4387.27	6668.88
"tcruzi-106221"	16242.9	15939.92	16242.9	15939.92
"tcruzi-106222"	10040.54	10064.27	10040.54	10064.27
"tcruzi-106223"	14209.68	17385.18	14209.68	17385.18
"tcruzi-106224"	18046.28	18920.62	18046.28	18920.62
"tcruzi-106226"	11227.51	17955.26	11227.51	17955.26
"tcruzi-106227"	206.65	261.24	206.65	261.24
"tcruzi-106269"	14312.58	16172.02	14312.58	16172.02
"tcruzi-106624"	188.69	162.08	188.69	162.08
"tcruzi-106719"	216.26	190.2	216.26	190.2
"tcruzi-107004"	133.99	211.48	133.99	211.48
"tcruzi-107008"	227.41	175.23	227.41	175.23
"tcruzi-107305"	32.88	45.83	32.88	45.83
"tcruzi-10742"	228	100.06	228	100.06
"tcruzi-10745"	8783.1	7251.76	8783.1	7251.76
"tcruzi-10756"	19990.01	23293.48	19990.01	23293.48
"tcruzi-10757"	27809.24	23356.26	27809.24	23356.26
"tcruzi-10759"	26650.03	16056.01	26650.03	16056.01
"tcruzi-10760"	625.71	508.68	625.71	508.68
"tcruzi-10761"	22760.7	23851.48	22760.7	23851.48
"tcruzi-10763"	29885.69	24827.74	29885.69	24827.74
"tcruzi-10766"	24325.06	9801.84	24325.06	9801.84
"tcruzi-10767"	19430.63	21721.19	19430.63	21721.19
"tcruzi-10768"	21466.86	14864.14	21466.86	14864.14
"tcruzi-10769"	190.66	173.91	190.66	173.91
"tcruzi-10771"	19379.94	23241.16	19379.94	23241.16
"tcruzi-10772"	20342.67	29469.83	20342.67	29469.83
"tcruzi-10773"	24156.74	25072.26	24156.74	25072.26
"tcruzi-10774"	13822.7	18082.24	13822.7	18082.24
"tcruzi-108081"	464.13	736.48	464.13	736.48
"tcruzi-10820"	3994.36	7135.61	3994.36	7135.61
"tcruzi-10821"	25621.43	11988.04	25621.43	11988.04
"tcruzi-108384"	445.71	462.26	445.71	462.26
"tcruzi-108385"	438.69	498.9	438.69	498.9
"tcruzi-108386"	1438.46	2007.34	1438.46	2007.34
"tcruzi-108387"	944.99	1043.42	944.99	1043.42
"tcruzi-108388"	4248.59	4366.76	4248.59	4366.76
"tcruzi-108389"	4780.16	4889.66	4780.16	4889.66
"tcruzi-108390"	6333.54	6711.09	6333.54	6711.09
"tcruzi-108391"	4228.2	4804.97	4228.2	4804.97
"tcruzi-108407"	50.33	46.52	50.33	46.52
"tcruzi-108790"	9172.79	4212.04	9172.79	4212.04
"tcruzi-108798"	2900.18	2042.09	2900.18	2042.09
"tcruzi-108805"	124.5	142.43	124.5	142.43
"tcruzi-108853"	255.32	114.84	255.32	114.84
"tcruzi-109067"	44.61	64.2	44.61	64.2
"tcruzi-109292"	811.62	625.71	811.62	625.71
