"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	875.69	527.5	875.69	527.5
"tcruzi-100162"	67.76	76.86	67.76	76.86
"tcruzi-100284"	762.82	867.26	762.82	867.26
"tcruzi-100318"	133.69	55.39	133.69	55.39
"tcruzi-10046"	721.36	128.64	721.36	128.64
"tcruzi-100681"	7064.95	8027.51	7064.95	8027.51
"tcruzi-10070"	2619.14	2204.62	2619.14	2204.62
"tcruzi-100743"	5035.48	7269.48	5035.48	7269.48
"tcruzi-100813"	138.05	29.37	138.05	29.37
"tcruzi-101092"	51.86	83.19	51.86	83.19
"tcruzi-101299"	66.41	116.72	66.41	116.72
"tcruzi-101458"	37.03	69.87	37.03	69.87
"tcruzi-101588"	100.06	131.46	100.06	131.46
"tcruzi-101707"	383.17	578.25	383.17	578.25
"tcruzi-101832"	3770.73	1406.17	3770.73	1406.17
"tcruzi-101894"	80.1	74.5	80.1	74.5
"tcruzi-102254"	178.97	67.41	178.97	67.41
"tcruzi-1023"	56.88	24.03	56.88	24.03
"tcruzi-10242"	35.17	61.92	35.17	61.92
"tcruzi-102678"	89.05	88.59	89.05	88.59
"tcruzi-103137"	7717.39	6450.37	7717.39	6450.37
"tcruzi-103387"	162.08	270.41	162.08	270.41
"tcruzi-103639"	101.88	159.44	101.88	159.44
"tcruzi-103728"	192.77	348.3	192.77	348.3
"tcruzi-103831"	9665.01	8168.64	9665.01	8168.64
"tcruzi-103915"	3317.63	6355.32	3317.63	6355.32
"tcruzi-104192"	18678.32	17336.69	18678.32	17336.69
"tcruzi-104193"	21588.79	15671.28	21588.79	15671.28
"tcruzi-104196"	28839.13	35427.54	28839.13	35427.54
"tcruzi-104199"	32883.65	35285.65	32883.65	35285.65
"tcruzi-104201"	27717.21	32398.44	27717.21	32398.44
"tcruzi-104202"	29396	36712.56	29396	36712.56
"tcruzi-104203"	30875.98	32984.4	30875.98	32984.4
"tcruzi-104204"	24628.49	32789.91	24628.49	32789.91
"tcruzi-104210"	16961.86	18082.24	16961.86	18082.24
"tcruzi-104316"	27.96	35.26	27.96	35.26
"tcruzi-104444"	222.8	98.22	222.8	98.22
"tcruzi-104468"	15139.01	17385.18	15139.01	17385.18
"tcruzi-104469"	16435.45	19481.3	16435.45	19481.3
"tcruzi-104470"	15022.71	19588.44	15022.71	19588.44
"tcruzi-104471"	867.26	2619.14	867.26	2619.14
"tcruzi-104472"	1716.75	4850.2	1716.75	4850.2
"tcruzi-104720"	8835.06	7135.61	8835.06	7135.61
"tcruzi-10480"	1400.33	1254.36	1400.33	1254.36
"tcruzi-104858"	20611.66	21252.75	20611.66	21252.75
"tcruzi-104859"	23356.26	20978.31	23356.26	20978.31
"tcruzi-104860"	18316.96	21778.73	18316.96	21778.73
"tcruzi-104861"	20763.39	21194.61	20763.39	21194.61
"tcruzi-104862"	17732.19	23241.16	17732.19	23241.16
"tcruzi-104863"	16280.19	18637.08	16280.19	18637.08
"tcruzi-105168"	150.35	471.64	150.35	471.64
"tcruzi-105245"	169.98	94.77	169.98	94.77
"tcruzi-10541"	2870.74	828.2	2870.74	828.2
"tcruzi-106008"	840.28	1099.17	840.28	1099.17
"tcruzi-106060"	22124.26	23106	22124.26	23106
"tcruzi-106061"	27288.16	27888.18	27288.16	27888.18
"tcruzi-106211"	23106	21466.86	23106	21466.86
"tcruzi-106212"	15096.75	15222.99	15096.75	15222.99
"tcruzi-106221"	22816.8	20820.1	22816.8	20820.1
"tcruzi-106222"	12403.48	10813.85	12403.48	10813.85
"tcruzi-106223"	26700.15	27502.17	26700.15	27502.17
"tcruzi-106224"	27359.5	28839.13	27359.5	28839.13
"tcruzi-106226"	24384.36	22572.47	24384.36	22572.47
"tcruzi-106227"	203.24	207	203.24	207
"tcruzi-106269"	26091.35	23293.48	26091.35	23293.48
"tcruzi-106624"	71.43	106.87	71.43	106.87
"tcruzi-106719"	9639.64	8604.62	9639.64	8604.62
"tcruzi-107004"	478.1	65.15	478.1	65.15
"tcruzi-107008"	1141.58	1924.61	1141.58	1924.61
"tcruzi-107305"	28.19	69.26	28.19	69.26
"tcruzi-10742"	24.67	46.52	24.67	46.52
