"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	119.62	86.03	119.62	86.03
"tcruzi-100162"	84.86	83.19	84.86	83.19
"tcruzi-100284"	20452.6	18678.32	20452.6	18678.32
"tcruzi-100318"	81.66	58.34	81.66	58.34
"tcruzi-10046"	964.3	704.8	964.3	704.8
"tcruzi-100681"	10973.65	9118.24	10973.65	9118.24
"tcruzi-10070"	19745.03	18002.72	19745.03	18002.72
"tcruzi-100743"	93.17	319.1	93.17	319.1
"tcruzi-100813"	122.42	216.26	122.42	216.26
"tcruzi-101092"	29.17	38.61	29.17	38.61
"tcruzi-101299"	64.77	42.34	64.77	42.34
"tcruzi-101458"	159.79	129.48	159.79	129.48
"tcruzi-101588"	159.44	130.29	159.44	130.29
"tcruzi-101707"	1136.9	1544.24	1136.9	1544.24
"tcruzi-101832"	408.66	351.02	408.66	351.02
"tcruzi-101894"	157.17	150.68	157.17	150.68
"tcruzi-102254"	55.1	58.03	55.1	58.03
"tcruzi-1023"	53.12	35.84	53.12	35.84
"tcruzi-10242"	45.64	24.03	45.64	24.03
"tcruzi-102678"	135.93	127.85	135.93	127.85
"tcruzi-103137"	305.16	239.91	305.16	239.91
"tcruzi-103387"	328.73	243.73	328.73	243.73
"tcruzi-103639"	172.94	146.77	172.94	146.77
"tcruzi-103728"	43.2	62.29	43.2	62.29
"tcruzi-103831"	10090.71	7433.44	10090.71	7433.44
"tcruzi-103915"	7019.15	13393.12	7019.15	13393.12
"tcruzi-104192"	25072.26	28766.86	25072.26	28766.86
"tcruzi-104193"	15381.23	12747.49	15381.23	12747.49
"tcruzi-104196"	28766.86	34526.36	28766.86	34526.36
"tcruzi-104199"	26519.66	32209.88	26519.66	32209.88
"tcruzi-104201"	28438.15	34211.58	28438.15	34211.58
"tcruzi-104202"	22235.91	31814.44	22235.91	31814.44
"tcruzi-104203"	18212.46	24272.38	18212.46	24272.38
"tcruzi-104204"	17858.3	25202.12	17858.3	25202.12
"tcruzi-104210"	19990.01	21948.89	19990.01	21948.89
"tcruzi-104316"	120.54	121.05	120.54	121.05
"tcruzi-104444"	177	210.3	177	210.3
"tcruzi-104468"	19536.34	21895.61	19536.34	21895.61
"tcruzi-104469"	20611.66	26091.35	20611.66	26091.35
"tcruzi-104470"	19057.61	22235.91	19057.61	22235.91
"tcruzi-104471"	9014.96	13084.42	9014.96	13084.42
"tcruzi-104472"	16750.34	17263.09	16750.34	17263.09
"tcruzi-104720"	639.28	651.51	639.28	651.51
"tcruzi-10480"	2643.93	1241.98	2643.93	1241.98
"tcruzi-104858"	21194.61	17858.3	21194.61	17858.3
"tcruzi-104859"	23179.31	20611.66	23179.31	20611.66
"tcruzi-104860"	18966.48	22018.52	18966.48	22018.52
"tcruzi-104861"	27502.17	25750.29	27502.17	25750.29
"tcruzi-104862"	19107.6	9589.91	19107.6	9589.91
"tcruzi-104863"	17302.09	20664.25	17302.09	20664.25
"tcruzi-105168"	281.06	309.62	281.06	309.62
"tcruzi-105245"	1104.61	1567.81	1104.61	1567.81
"tcruzi-10541"	3195.58	1754.57	3195.58	1754.57
"tcruzi-106008"	3898.75	3509.74	3898.75	3509.74
"tcruzi-106060"	1323.12	1208.59	1323.12	1208.59
"tcruzi-106061"	840.28	778.42	840.28	778.42
"tcruzi-106211"	1202.2	1075.8	1202.2	1075.8
"tcruzi-106212"	672.87	1087.78	672.87	1087.78
"tcruzi-106221"	994.89	1110.69	994.89	1110.69
"tcruzi-106222"	1059.73	920.82	1059.73	920.82
"tcruzi-106223"	940.6	489.22	940.6	489.22
"tcruzi-106224"	799.11	795.22	799.11	795.22
"tcruzi-106226"	1141.58	1099.17	1141.58	1099.17
"tcruzi-106227"	346.94	442.12	346.94	442.12
"tcruzi-106269"	19240.66	13720.68	19240.66	13720.68
"tcruzi-106624"	206.65	182.09	206.65	182.09
"tcruzi-106719"	237.65	64.36	237.65	64.36
