"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	61.08	399.03	61.08	399.03
"tcruzi-100162"	6185.94	5828.44	6185.94	5828.44
"tcruzi-100284"	115.67	440.47	115.67	440.47
"tcruzi-100318"	3677.41	523.83	3677.41	523.83
"tcruzi-10046"	1847.65	1075.8	1847.65	1075.8
"tcruzi-100681"	10611.07	9826.81	10611.07	9826.81
"tcruzi-10070"	6160.8	6797.21	6160.8	6797.21
"tcruzi-100743"	360.65	335.15	360.65	335.15
"tcruzi-100813"	289.1	92.63	289.1	92.63
"tcruzi-101092"	45.06	86.8	45.06	86.8
"tcruzi-101299"	3395.4	3947.44	3395.4	3947.44
"tcruzi-101458"	85.04	79.09	85.04	79.09
"tcruzi-101588"	197.86	341.62	197.86	341.62
"tcruzi-101707"	34.9	77.57	34.9	77.57
"tcruzi-101832"	119.62	62.86	119.62	62.86
"tcruzi-101894"	119.84	273.36	119.84	273.36
"tcruzi-102254"	155.41	219.5	155.41	219.5
"tcruzi-1023"	31.84	30.97	31.84	30.97
"tcruzi-10242"	33.06	27.15	33.06	27.15
"tcruzi-102678"	96.79	88.38	96.79	88.38
"tcruzi-103137"	105.06	92.46	105.06	92.46
"tcruzi-103387"	43.5	119.62	43.5	119.62
"tcruzi-103639"	297.19	141.52	297.19	141.52
"tcruzi-103728"	203.74	251.9	203.74	251.9
"tcruzi-103831"	9200.2	9357.62	9200.2	9357.62
"tcruzi-103915"	10910.92	13469.37	10910.92	13469.37
"tcruzi-104192"	27210.17	29021.53	27210.17	29021.53
"tcruzi-104193"	15022.71	16242.9	15022.71	16242.9
"tcruzi-104196"	35021.29	32513.59	35021.29	32513.59
"tcruzi-104199"	35559.47	35285.65	35559.47	35285.65
"tcruzi-104201"	33680.47	33680.47	33680.47	33680.47
"tcruzi-104202"	34627.89	33773.2	34627.89	33773.2
"tcruzi-104203"	26650.03	23789.87	26650.03	23789.87
"tcruzi-104204"	26372.5	22626.49	26372.5	22626.49
"tcruzi-104210"	13436.68	13218.51	13436.68	13218.51
"tcruzi-104316"	2870.74	1655.68	2870.74	1655.68
"tcruzi-104444"	415.67	174.78	415.67	174.78
"tcruzi-104468"	18453.84	15424.18	18453.84	15424.18
"tcruzi-104469"	19641.53	17221	19641.53	17221
"tcruzi-104470"	21302.58	18212.46	21302.58	18212.46
"tcruzi-104471"	4134.06	325.02	4134.06	325.02
"tcruzi-104472"	7505.36	5727.88	7505.36	5727.88
"tcruzi-104720"	1001.71	1817.12	1001.71	1817.12
"tcruzi-10480"	575.35	510.92	575.35	510.92
"tcruzi-104858"	14453.32	12571.48	14453.32	12571.48
"tcruzi-104859"	18212.46	16513.91	18212.46	16513.91
"tcruzi-104860"	13253.79	12783.25	13253.79	12783.25
"tcruzi-104861"	15462.43	16092.17	15462.43	16092.17
"tcruzi-104862"	17430.77	16172.02	17430.77	16172.02
"tcruzi-104863"	11344.92	11539.76	11344.92	11539.76
"tcruzi-105168"	148.04	569.6	148.04	569.6
"tcruzi-105245"	3544.33	3691.59	3544.33	3691.59
"tcruzi-10541"	4609.56	480.52	4609.56	480.52
"tcruzi-106008"	163.19	169.56	163.19	169.56
"tcruzi-106060"	20141.6	26650.03	20141.6	26650.03
"tcruzi-106061"	26837.2	27288.16	26837.2	27288.16
"tcruzi-106211"	17651.78	24030.29	17651.78	24030.29
"tcruzi-106212"	16352.99	19283.47	16352.99	19283.47
"tcruzi-106221"	20763.39	23975.9	20763.39	23975.9
"tcruzi-106222"	14380.58	15340.06	14380.58	15340.06
"tcruzi-106223"	21830.81	24946.91	21830.81	24946.91
"tcruzi-106224"	25261	28515.25	25261	28515.25
"tcruzi-106226"	19588.44	23293.48	19588.44	23293.48
"tcruzi-106227"	65.84	133.69	65.84	133.69
"tcruzi-106269"	6561.66	5518.42	6561.66	5518.42
"tcruzi-106624"	480.52	98.98	480.52	98.98
"tcruzi-106719"	2971.26	4285.1	2971.26	4285.1
"tcruzi-107004"	80.26	105.35	80.26	105.35
"tcruzi-107008"	74.06	42.99	74.06	42.99
"tcruzi-107305"	19.11	78.2	19.11	78.2
"tcruzi-10742"	128.36	79.73	128.36	79.73
"tcruzi-10745"	20037.32	20342.67	20037.32	20342.67
"tcruzi-10756"	19842.97	19690.63	19842.97	19690.63
"tcruzi-10757"	25750.29	24882.75	25750.29	24882.75
"tcruzi-10759"	25685.78	24089	25685.78	24089
"tcruzi-10760"	840.28	329.98	840.28	329.98
"tcruzi-10761"	12238.06	11855.61	12238.06	11855.61
"tcruzi-10763"	27359.5	25443.35	27359.5	25443.35
"tcruzi-10766"	13576.61	12434.85	13576.61	12434.85
"tcruzi-10767"	1536.09	916.21	1536.09	916.21
"tcruzi-10768"	12886.01	12077.97	12886.01	12077.97
"tcruzi-10769"	426.82	1043.42	426.82	1043.42
"tcruzi-10771"	20085.62	20085.62	20085.62	20085.62
"tcruzi-10772"	29247.1	27717.21	29247.1	27717.21
"tcruzi-10773"	11377.03	11503.64	11377.03	11503.64
"tcruzi-10774"	1017.22	142.43	1017.22	142.43
"tcruzi-108081"	69.26	98.68	69.26	98.68
"tcruzi-10820"	7041.5	8053.5	7041.5	8053.5
"tcruzi-10821"	29657.74	28923.61	29657.74	28923.61
"tcruzi-108384"	118.17	234.41	118.17	234.41
"tcruzi-108385"	355.17	281.06	355.17	281.06
"tcruzi-108386"	7412.86	8756.68	7412.86	8756.68
"tcruzi-108387"	1716.75	1027.88	1716.75	1027.88
"tcruzi-108388"	177.38	123.42	177.38	123.42
"tcruzi-108389"	220.18	266.79	220.18	266.79
"tcruzi-108390"	740.72	187.19	740.72	187.19
"tcruzi-108391"	403.73	112.88	403.73	112.88
"tcruzi-108407"	30.31	89.32	30.31	89.32
"tcruzi-108790"	7556.35	1136.9	7556.35	1136.9
"tcruzi-108798"	2361.68	2269.03	2361.68	2269.03
"tcruzi-108805"	103.59	118.17	103.59	118.17
"tcruzi-108853"	384.58	332.66	384.58	332.66
"tcruzi-109067"	53.68	66.73	53.68	66.73
"tcruzi-109292"	778.42	950.32	778.42	950.32
"tcruzi-109312"	64.49	91.37	64.49	91.37
"tcruzi-109351"	271.26	157.17	271.26	157.17
"tcruzi-109483"	66.57	35.84	66.57	35.84
"tcruzi-110050"	138.35	125.18	138.35	125.18
"tcruzi-110393"	104.77	525.55	104.77	525.55
"tcruzi-1104"	9486.33	11344.92	9486.33	11344.92
"tcruzi-110636"	50.46	66.41	50.46	66.41
"tcruzi-110773"	68.36	74.84	68.36	74.84
"tcruzi-11128"	8261.54	6378.45	8261.54	6378.45
"tcruzi-111283"	359.09	581.12	359.09	581.12
"tcruzi-111289"	38.43	33.42	38.43	33.42
"tcruzi-11131"	925.54	762.82	925.54	762.82
"tcruzi-11132"	4366.76	3213.42	4366.76	3213.42
"tcruzi-111328"	128.92	126.53	128.92	126.53
"tcruzi-11136"	3411.22	3559.75	3411.22	3559.75
"tcruzi-11137"	3898.75	5111.66	3898.75	5111.66
"tcruzi-11140"	1438.46	2607.54	1438.46	2607.54
"tcruzi-111437"	51.57	52.28	51.57	52.28
"tcruzi-11144"	6626.16	8079.74	6626.16	8079.74
"tcruzi-11145"	7251.76	2215.48	7251.76	2215.48
"tcruzi-11146"	5341.1	3057.03	5341.1	3057.03
"tcruzi-11147"	6582.35	3229.01	6582.35	3229.01
"tcruzi-11148"	6138.63	5668.1	6138.63	5668.1
"tcruzi-11149"	7481.63	7906.81	7481.63	7906.81
"tcruzi-11150"	13504.79	12272.64	13504.79	12272.64
"tcruzi-11151"	7528.72	7269.48	7528.72	7269.48
"tcruzi-11157"	815.27	1177.72	815.27	1177.72
"tcruzi-111717"	180.52	183.64	180.52	183.64
"tcruzi-11178"	1743.18	2417.19	1743.18	2417.19
"tcruzi-112015"	55.26	45.83	55.26	45.83
"tcruzi-112284"	1655.68	934.99	1655.68	934.99
"tcruzi-11245"	3181.42	2172.65	3181.42	2172.65
"tcruzi-112796"	769.67	4387.27	769.67	4387.27
"tcruzi-112986"	44.18	41.35	44.18	41.35
"tcruzi-113024"	20.23	70.74	20.23	70.74
"tcruzi-11312"	6292.88	1230.25	6292.88	1230.25
"tcruzi-113371"	146.77	583.29	146.77	583.29
"tcruzi-113604"	169.98	228	169.98	228
"tcruzi-113638"	103.8	77.1	103.8	77.1
"tcruzi-113731"	75.72	63.77	75.72	63.77
"tcruzi-114213"	392.03	360.65	392.03	360.65
"tcruzi-114592"	4285.1	1763.89	4285.1	1763.89
"tcruzi-114752"	98.98	220.18	98.98	220.18
"tcruzi-115101"	6118.51	7577.98	6118.51	7577.98
"tcruzi-115119"	37.75	47.15	37.75	47.15
"tcruzi-115292"	546.96	672.87	546.96	672.87
"tcruzi-115743"	43.1	50.33	43.1	50.33
"tcruzi-115822"	68.81	57.6	68.81	57.6
"tcruzi-115988"	173.91	100.06	173.91	100.06
"tcruzi-116455"	126.22	109.18	126.22	109.18
"tcruzi-116793"	3661.04	3785.93	3661.04	3785.93
"tcruzi-117284"	14483.56	17476.21	14483.56	17476.21
"tcruzi-117285"	14818.8	15542.5	14818.8	15542.5
"tcruzi-117286"	17109.13	16555.69	17109.13	16555.69
"tcruzi-117287"	13720.68	13923.97	13720.68	13923.97
"tcruzi-117288"	17143.18	17651.78	17143.18	17651.78
"tcruzi-117486"	54.09	103.05	54.09	103.05
"tcruzi-117502"	1172.9	6185.94	1172.9	6185.94
"tcruzi-117539"	58.34	68.49	58.34	68.49
