"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	493.35	348.3	493.35	348.3
"tcruzi-100162"	434.35	195.77	434.35	195.77
"tcruzi-100284"	98.22	64.77	98.22	64.77
"tcruzi-100318"	478.1	196.2	478.1	196.2
"tcruzi-10046"	168.34	133.99	168.34	133.99
"tcruzi-100681"	15187.11	13504.79	15187.11	13504.79
"tcruzi-10070"	18002.72	19379.94	18002.72	19379.94
"tcruzi-100743"	795.22	795.22	795.22	795.22
"tcruzi-100813"	57.29	44.61	57.29	44.61
"tcruzi-101092"	45.51	26.37	45.51	26.37
"tcruzi-101299"	105.59	462.26	105.59	462.26
"tcruzi-101458"	32.25	41.56	32.25	41.56
"tcruzi-101588"	132.34	123.88	132.34	123.88
"tcruzi-101707"	79.27	61.23	79.27	61.23
"tcruzi-101832"	2927.47	3028.94	2927.47	3028.94
"tcruzi-101894"	896.17	583.29	896.17	583.29
"tcruzi-102254"	79.73	81.52	79.73	81.52
"tcruzi-1023"	48.86	25.78	48.86	25.78
"tcruzi-10242"	45.99	24.38	45.99	24.38
"tcruzi-102678"	3001.17	3117.89	3001.17	3117.89
"tcruzi-103137"	3429.38	668.88	3429.38	668.88
"tcruzi-103387"	1406.17	1094.02	1406.17	1094.02
"tcruzi-103639"	5016.5	4929.97	5016.5	4929.97
"tcruzi-103728"	98.98	65.84	98.98	65.84
"tcruzi-103831"	14946.15	15503.99	14946.15	15503.99
"tcruzi-103915"	3834.06	4804.97	3834.06	4804.97
"tcruzi-104192"	15381.23	13655.58	15381.23	13655.58
"tcruzi-104193"	18492.41	18678.32	18492.41	18678.32
"tcruzi-104196"	37155.89	32604.91	37155.89	32604.91
"tcruzi-104199"	30703.73	33449.39	30703.73	33449.39
"tcruzi-104201"	34627.89	32984.4	34627.89	32984.4
"tcruzi-104202"	33976.8	31437.63	33976.8	31437.63
"tcruzi-104203"	30449.33	30211.32	30449.33	30211.32
"tcruzi-104204"	32018.6	26159.27	32018.6	26159.27
"tcruzi-104210"	12142.96	9886.42	12142.96	9886.42
"tcruzi-104316"	70.15	72.31	70.15	72.31
"tcruzi-104444"	3978.65	3770.73	3978.65	3770.73
"tcruzi-104468"	19641.53	18046.28	19641.53	18046.28
