"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	137.8	114.84	137.8	114.84
"tcruzi-100162"	64.07	54.83	64.07	54.83
"tcruzi-100284"	162.5	95.82	162.5	95.82
"tcruzi-100318"	110.39	80.65	110.39	80.65
"tcruzi-10046"	7135.61	7339.83	7135.61	7339.83
"tcruzi-100681"	22334.04	22076.32	22334.04	22076.32
"tcruzi-10070"	16242.9	16242.9	16242.9	16242.9
"tcruzi-100743"	1955.29	2236.16	1955.29	2236.16
"tcruzi-100813"	66.13	51.7	66.13	51.7
"tcruzi-101092"	564.2	389.16	564.2	389.16
"tcruzi-101299"	57.45	64.77	57.45	64.77
"tcruzi-101458"	73.03	67.17	73.03	67.17
"tcruzi-101588"	67.64	84.86	67.64	84.86
"tcruzi-101707"	194.27	155.06	194.27	155.06
"tcruzi-101832"	319.1	232.49	319.1	232.49
"tcruzi-101894"	1094.02	861.67	1094.02	861.67
"tcruzi-102254"	66.97	49.28	66.97	49.28
"tcruzi-1023"	34.05	31.67	34.05	31.67
"tcruzi-10242"	28.68	39.82	28.68	39.82
"tcruzi-102678"	206.65	151.7	206.65	151.7
"tcruzi-103137"	187.19	173.35	187.19	173.35
"tcruzi-103387"	400.32	298.07	400.32	298.07
"tcruzi-103639"	189.14	216.79	189.14	216.79
"tcruzi-103728"	52.28	58.41	52.28	58.41
"tcruzi-103831"	10389.87	13754.22	10389.87	13754.22
"tcruzi-103915"	6160.8	6378.45	6160.8	6378.45
"tcruzi-104192"	29175.43	25202.12	29175.43	25202.12
"tcruzi-104193"	19240.66	10389.87	19240.66	10389.87
"tcruzi-104196"	28590.61	34315.1	28590.61	34315.1
"tcruzi-104199"	30211.32	29961.32	30211.32	29961.32
"tcruzi-104201"	35559.47	38345.36	35559.47	38345.36
"tcruzi-104202"	35816.58	32789.91	35816.58	32789.91
"tcruzi-104203"	26159.27	32513.59	26159.27	32513.59
"tcruzi-104204"	28923.61	31437.63	28923.61	31437.63
"tcruzi-104210"	25685.78	23048.64	25685.78	23048.64
"tcruzi-104316"	79.73	53.82	79.73	53.82
"tcruzi-104444"	200.91	193.26	200.91	193.26
"tcruzi-104468"	24692.29	26445.87	24692.29	26445.87
"tcruzi-104469"	25137.17	26983.03	25137.17	26983.03
"tcruzi-104470"	27061.51	27717.21	27061.51	27717.21
"tcruzi-104471"	6292.88	5219.02	6292.88	5219.02
"tcruzi-104472"	9405.24	8378.72	9405.24	8378.72
"tcruzi-104720"	314.32	392.03	314.32	392.03
"tcruzi-10480"	498.9	410.12	498.9	410.12
"tcruzi-104858"	26837.2	26024.65	26837.2	26024.65
"tcruzi-104859"	27717.21	25825.3	27717.21	25825.3
"tcruzi-104860"	29317.34	29247.1	29317.34	29247.1
"tcruzi-104861"	29469.83	26159.27	29469.83	26159.27
"tcruzi-104862"	26905.54	26372.5	26905.54	26372.5
"tcruzi-104863"	34315.1	23975.9	34315.1	23975.9
"tcruzi-105168"	159.79	154.71	159.79	154.71
"tcruzi-105245"	93.87	56.51	93.87	56.51
"tcruzi-10541"	308.45	190.66	308.45	190.66
"tcruzi-106008"	223.35	243.73	223.35	243.73
"tcruzi-106060"	15632.57	16172.02	15632.57	16172.02
"tcruzi-106061"	16280.19	17430.77	16280.19	17430.77
"tcruzi-106211"	14673.97	15589.77	14673.97	15589.77
"tcruzi-106212"	5869.2	7269.48	5869.2	7269.48
"tcruzi-106221"	15222.99	15858.74	15222.99	15858.74
"tcruzi-106222"	8236.05	8575.13	8236.05	8575.13
"tcruzi-106223"	14638.32	18402.77	14638.32	18402.77
"tcruzi-106224"	20611.66	20342.67	20611.66	20342.67
"tcruzi-106226"	16352.99	20611.66	16352.99	20611.66
"tcruzi-106227"	447.23	331.38	447.23	331.38
"tcruzi-106269"	17263.09	14105.19	17263.09	14105.19
"tcruzi-106624"	212.68	179.21	212.68	179.21
"tcruzi-106719"	69.42	69.11	69.42	69.11
"tcruzi-107004"	206.04	159.05	206.04	159.05
"tcruzi-107008"	52.7	34.56	52.7	34.56
"tcruzi-107305"	33.26	46.77	33.26	46.77
"tcruzi-10742"	220.18	130.29	220.18	130.29
"tcruzi-10745"	18355.88	16205.94	18355.88	16205.94
"tcruzi-10756"	22626.49	22626.49	22626.49	22626.49
"tcruzi-10757"	25325.51	28042.72	25325.51	28042.72
"tcruzi-10759"	28515.25	26301.36	28515.25	26301.36
"tcruzi-10760"	1392.12	929.64	1392.12	929.64
"tcruzi-10761"	22867.25	22695.17	22867.25	22695.17
"tcruzi-10763"	33073.43	30963.74	33073.43	30963.74
"tcruzi-10766"	23418.9	23418.9	23418.9	23418.9
"tcruzi-10767"	13541.52	12497.57	13541.52	12497.57
"tcruzi-10768"	23605.75	23479.78	23605.75	23479.78
"tcruzi-10769"	87.57	84.35	87.57	84.35
"tcruzi-10771"	24030.29	23789.87	24030.29	23789.87
"tcruzi-10772"	31059.06	29021.53	31059.06	29021.53
"tcruzi-10773"	21353.57	19690.63	21353.57	19690.63
"tcruzi-10774"	7859.09	9305.78	7859.09	9305.78
"tcruzi-108081"	1317.17	896.17	1317.17	896.17
"tcruzi-10820"	20721.57	22816.8	20721.57	22816.8
"tcruzi-10821"	26519.66	27210.17	26519.66	27210.17
"tcruzi-108384"	1639.26	1511.29	1639.26	1511.29
"tcruzi-108385"	534.5	840.28	534.5	840.28
"tcruzi-108386"	1466.81	1527.93	1466.81	1527.93
"tcruzi-108387"	1037.57	1184.05	1037.57	1184.05
"tcruzi-108388"	4850.2	4965.84	4850.2	4965.84
"tcruzi-108389"	4965.84	5201.45	4965.84	5201.45
"tcruzi-108390"	5727.88	6070.1	5727.88	6070.1
"tcruzi-108391"	4627.32	4850.2	4627.32	4850.2
"tcruzi-108407"	126.53	117.48	126.53	117.48
"tcruzi-108790"	19481.3	16829.78	19481.3	16829.78
"tcruzi-108798"	294.9	279.85	294.9	279.85
"tcruzi-108805"	91.84	65.7	91.84	65.7
"tcruzi-108853"	629.05	704.8	629.05	704.8
"tcruzi-109067"	25.37	47	25.37	47
"tcruzi-109292"	572.59	564.2	572.59	564.2
"tcruzi-109312"	9065.7	9014.96	9065.7	9014.96
"tcruzi-109351"	173.91	288.18	173.91	288.18
"tcruzi-109483"	71.65	107.09	71.65	107.09
"tcruzi-110050"	97.71	93.51	97.71	93.51
"tcruzi-110393"	147.11	118.17	147.11	118.17
"tcruzi-1104"	19784.08	19641.53	19784.08	19641.53
"tcruzi-110636"	85.69	50.2	85.69	50.2
"tcruzi-110773"	30.31	29.89	30.31	29.89
"tcruzi-11128"	1104.61	836.03	1104.61	836.03
"tcruzi-111283"	349.5	365.52	349.5	365.52
"tcruzi-111289"	47.7	23.67	47.7	23.67
"tcruzi-11131"	592.56	635.99	592.56	635.99
"tcruzi-11132"	1295.49	1147.48	1295.49	1147.48
"tcruzi-111328"	2843.79	3411.22	2843.79	3411.22
"tcruzi-11136"	1807.85	1632.53	1807.85	1632.53
"tcruzi-11137"	1847.65	1789.85	1847.65	1789.85
"tcruzi-11140"	2172.65	2748.37	2172.65	2748.37
"tcruzi-111437"	84.02	77.1	84.02	77.1
"tcruzi-11144"	2394.18	1716.75	2394.18	1716.75
"tcruzi-11145"	2417.19	1672.63	2417.19	1672.63
"tcruzi-11146"	3317.63	2633.38	3317.63	2633.38
"tcruzi-11147"	2184.76	1664.84	2184.76	1664.84
"tcruzi-11148"	3918.47	3802.43	3918.47	3802.43
"tcruzi-11149"	3135	2461.51	3135	2461.51
"tcruzi-11150"	3574.1	3069.7	3574.1	3069.7
"tcruzi-11151"	5167.16	4586.36	5167.16	4586.36
"tcruzi-11157"	2082.56	1430.34	2082.56	1430.34
"tcruzi-111717"	293.03	265	293.03	265
"tcruzi-11178"	529.61	586.58	529.61	586.58
"tcruzi-112015"	152.41	126.22	152.41	126.22
"tcruzi-112284"	76.94	103.8	76.94	103.8
"tcruzi-11245"	1584.02	1323.12	1584.02	1323.12
"tcruzi-112796"	5668.1	6092.76	5668.1	6092.76
"tcruzi-112986"	43.66	34.14	43.66	34.14
"tcruzi-113024"	103.4	66.57	103.4	66.57
"tcruzi-11312"	601.36	542.57	601.36	542.57
"tcruzi-113371"	190.2	178.74	190.2	178.74
"tcruzi-113604"	106.24	138.89	106.24	138.89
"tcruzi-113638"	473.74	356.49	473.74	356.49
"tcruzi-113731"	120.29	127.33	120.29	127.33
"tcruzi-114213"	77.72	110.21	77.72	110.21
"tcruzi-114592"	54.53	35.26	54.53	35.26
"tcruzi-114752"	559.48	1196.22	559.48	1196.22
"tcruzi-115101"	2236.16	3028.94	2236.16	3028.94
"tcruzi-115119"	26.05	31.84	26.05	31.84
"tcruzi-115292"	42.66	81.66	42.66	81.66
"tcruzi-115743"	25.78	28.56	25.78	28.56
"tcruzi-115822"	24.67	63.77	24.67	63.77
"tcruzi-115988"	184.16	145.77	184.16	145.77
"tcruzi-116455"	48.1	71.36	48.1	71.36
"tcruzi-116793"	9330.65	10786.54	9330.65	10786.54
"tcruzi-117284"	6778.97	6778.97	6778.97	6778.97
"tcruzi-117285"	6333.54	7064.95	6333.54	7064.95
"tcruzi-117286"	7783.18	8629.02	7783.18	8629.02
"tcruzi-117287"	2160.05	2282.24	2160.05	2282.24
"tcruzi-117288"	7556.35	8881.78	7556.35	8881.78
"tcruzi-117486"	31.22	37.26	31.22	37.26
"tcruzi-117502"	959.84	831.93	959.84	831.93
"tcruzi-117539"	59.49	49	59.49	49
"tcruzi-117771"	29.17	45.06	29.17	45.06
"tcruzi-117841"	40.52	34.36	40.52	34.36
"tcruzi-118052"	24.38	39.32	24.38	39.32
"tcruzi-118074"	15751.55	17817.24	15751.55	17817.24
"tcruzi-118075"	21778.73	22235.91	21778.73	22235.91
"tcruzi-118076"	20922.29	18769.5	20922.29	18769.5
"tcruzi-118077"	20978.31	20820.1	20978.31	20820.1
"tcruzi-118078"	13923.97	14067.78	13923.97	14067.78
"tcruzi-118079"	147.43	170.44	147.43	170.44
"tcruzi-118080"	755.24	1168.13	755.24	1168.13
"tcruzi-118114"	97.49	134.28	97.49	134.28
"tcruzi-118127"	63.17	52.28	63.17	52.28
"tcruzi-118153"	105.76	123.88	105.76	123.88
"tcruzi-118307"	397.34	451.21	397.34	451.21
"tcruzi-118531"	141.27	98.78	141.27	98.78
"tcruzi-118658"	62.29	80.85	62.29	80.85
"tcruzi-118983"	117.48	107.48	117.48	107.48
"tcruzi-120005"	174.78	207.34	174.78	207.34
"tcruzi-120610"	65.07	56	65.07	56
"tcruzi-120717"	123.12	130.91	123.12	130.91
"tcruzi-120743"	436.24	983.48	436.24	983.48
"tcruzi-120792"	17.37	32.02	17.37	32.02
"tcruzi-120994"	39.82	61.37	39.82	61.37
"tcruzi-121354"	493.35	327.36	493.35	327.36
"tcruzi-121736"	177.38	144.43	177.38	144.43
"tcruzi-121803"	203.74	209.6	203.74	209.6
"tcruzi-122078"	45.06	76.51	45.06	76.51
"tcruzi-122200"	2607.54	3964.13	2607.54	3964.13
"tcruzi-122576"	18046.28	21466.86	18046.28	21466.86
"tcruzi-122598"	8053.5	8261.54	8053.5	8261.54
"tcruzi-122640"	55.39	47.82	55.39	47.82
"tcruzi-122803"	41.35	35.84	41.35	35.84
"tcruzi-122979"	459.97	397.34	459.97	397.34
"tcruzi-123067"	6092.76	5432.68	6092.76	5432.68
"tcruzi-123375"	219.2	166.85	219.2	166.85
"tcruzi-123430"	128.36	120.29	128.36	120.29
"tcruzi-123452"	97.89	73.46	97.89	73.46
"tcruzi-123553"	49.43	69.87	49.43	69.87
"tcruzi-123602"	127.73	195.33	127.73	195.33
"tcruzi-1239"	23356.26	21530.83	23356.26	21530.83
"tcruzi-123954"	2340.75	2226.22	2340.75	2226.22
"tcruzi-124014"	140.7	152.04	140.7	152.04
"tcruzi-124032"	7064.95	8101.58	7064.95	8101.58
