"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	52.7	162.08	52.7	162.08
"tcruzi-100162"	151.7	395.46	151.7	395.46
"tcruzi-100284"	25621.43	20401.78	25621.43	20401.78
"tcruzi-100318"	220.18	191.12	220.18	191.12
"tcruzi-10046"	1022.11	635.99	1022.11	635.99
"tcruzi-100681"	8881.78	10090.71	8881.78	10090.71
"tcruzi-10070"	14209.68	12050.53	14209.68	12050.53
"tcruzi-100743"	302.64	979.1	302.64	979.1
"tcruzi-100813"	823.99	408.66	823.99	408.66
"tcruzi-101092"	54.45	151.19	54.45	151.19
"tcruzi-101299"	90.54	140.7	90.54	140.7
"tcruzi-101458"	119.26	32.44	119.26	32.44
"tcruzi-101588"	185.18	381.58	185.18	381.58
"tcruzi-101707"	79.27	214.75	79.27	214.75
"tcruzi-101832"	209	321.45	209	321.45
"tcruzi-101894"	74.37	119.84	74.37	119.84
"tcruzi-102254"	84.17	45.99	84.17	45.99
"tcruzi-1023"	49.43	52.62	49.43	52.62
"tcruzi-10242"	41.71	53.12	41.71	53.12
"tcruzi-102678"	73.03	70.61	73.03	70.61
"tcruzi-103137"	224.37	66.57	224.37	66.57
"tcruzi-103387"	36.74	351.02	36.74	351.02
"tcruzi-103639"	40.43	57.76	40.43	57.76
"tcruzi-103728"	93.87	159.05	93.87	159.05
"tcruzi-103831"	17143.18	13690.09	17143.18	13690.09
"tcruzi-103915"	740.72	1054.87	740.72	1054.87
"tcruzi-104192"	7600.99	3868.17	7600.99	3868.17
"tcruzi-104193"	15057.67	9801.84	15057.67	9801.84
"tcruzi-104196"	28590.61	29247.1	28590.61	29247.1
"tcruzi-104199"	30114.02	26091.35	30114.02	26091.35
"tcruzi-104201"	31625.96	28839.13	31625.96	28839.13
"tcruzi-104202"	26224.5	29106.55	26224.5	29106.55
"tcruzi-104203"	22334.04	21466.86	22334.04	21466.86
"tcruzi-104204"	24755.35	23179.31	24755.35	23179.31
"tcruzi-104210"	4889.66	2884.64	4889.66	2884.64
"tcruzi-104316"	158.71	278.83	158.71	278.83
"tcruzi-104444"	77.1	101.88	77.1	101.88
"tcruzi-104468"	17732.19	18355.88	17732.19	18355.88
"tcruzi-104469"	19690.63	21194.61	19690.63	21194.61
"tcruzi-104470"	20231.15	17611.03	20231.15	17611.03
"tcruzi-104471"	401.97	166.35	401.97	166.35
"tcruzi-104472"	1156.77	831.93	1156.77	831.93
"tcruzi-104720"	322.19	228	322.19	228
"tcruzi-10480"	2428.37	1420.41	2428.37	1420.41
"tcruzi-104858"	18082.24	13218.51	18082.24	13218.51
"tcruzi-104859"	24272.38	17732.19	24272.38	17732.19
"tcruzi-104860"	14785.11	14818.8	14785.11	14818.8
"tcruzi-104861"	21778.73	16017.17	21778.73	16017.17
"tcruzi-104862"	20820.1	19784.08	20820.1	19784.08
