"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	65.07	62.86	65.07	62.86
"tcruzi-100162"	169.11	121.05	169.11	121.05
"tcruzi-100284"	11952.06	12606.55	11952.06	12606.55
"tcruzi-100318"	132.72	156.48	132.72	156.48
"tcruzi-10046"	10468.77	12820	10468.77	12820
"tcruzi-100681"	5072.51	5261.25	5072.51	5261.25
"tcruzi-10070"	12018.5	13026.49	12018.5	13026.49
"tcruzi-100743"	578.25	307.38	578.25	307.38
"tcruzi-100813"	57.76	32.66	57.76	32.66
"tcruzi-101092"	79.27	77.26	79.27	77.26
"tcruzi-101299"	73.03	110.91	73.03	110.91
"tcruzi-101458"	84.67	38.25	84.67	38.25
"tcruzi-101588"	195.33	335.15	195.33	335.15
"tcruzi-101707"	210.3	225.36	210.3	225.36
"tcruzi-101832"	2404.17	3117.89	2404.17	3117.89
"tcruzi-101894"	149.1	48.1	149.1	48.1
"tcruzi-102254"	130.6	130.44	130.6	130.44
"tcruzi-1023"	46.85	44.48	46.85	44.48
"tcruzi-10242"	71.51	24.94	71.51	24.94
"tcruzi-102678"	740.72	979.1	740.72	979.1
"tcruzi-103137"	284.29	453.63	284.29	453.63
"tcruzi-103387"	65.37	127.85	65.37	127.85
"tcruzi-103639"	1902.13	2062.41	1902.13	2062.41
"tcruzi-103728"	335.15	390.5	335.15	390.5
"tcruzi-103831"	4028.67	2709.76	4028.67	2709.76
"tcruzi-103915"	10360.72	11718.32	10360.72	11718.32
"tcruzi-104192"	38945.98	37155.89	38945.98	37155.89
"tcruzi-104193"	5387.74	4705.47	5387.74	4705.47
"tcruzi-104196"	32604.91	31437.63	32604.91	31437.63
"tcruzi-104199"	32513.59	29396	32513.59	29396
"tcruzi-104201"	36390.59	34627.89	36390.59	34627.89
"tcruzi-104202"	32118.02	31160.17	32118.02	31160.17
"tcruzi-104203"	11071	10943.89	11071	10943.89
"tcruzi-104204"	10115.88	9826.81	10115.88	9826.81
"tcruzi-104210"	4347.26	4995.61	4347.26	4995.61
"tcruzi-104316"	13893.57	13690.09	13893.57	13690.09
"tcruzi-104444"	2126.39	1716.75	2126.39	1716.75
"tcruzi-104468"	10165.23	9305.78	10165.23	9305.78
"tcruzi-104469"	7927.67	9486.33	7927.67	9486.33
"tcruzi-104470"	10389.87	10301.84	10389.87	10301.84
"tcruzi-104471"	231.87	140.43	231.87	140.43
"tcruzi-104472"	1558.34	1536.09	1558.34	1536.09
"tcruzi-104720"	12820	12676.75	12820	12676.75
"tcruzi-10480"	4464.21	4904.2	4464.21	4904.2
"tcruzi-104858"	6228.95	5790.65	6228.95	5790.65
"tcruzi-104859"	7556.35	6425.04	7556.35	6425.04
"tcruzi-104860"	5304.11	5219.02	5304.11	5219.02
"tcruzi-104861"	7135.61	7019.15	7135.61	7019.15
"tcruzi-104862"	7670.53	7556.35	7670.53	7556.35
"tcruzi-104863"	2619.14	4387.27	2619.14	4387.27
"tcruzi-105168"	134.79	293.03	134.79	293.03
"tcruzi-105245"	69.87	273.36	69.87	273.36
"tcruzi-10541"	9561.62	6027.18	9561.62	6027.18
"tcruzi-106008"	16597.1	17611.03	16597.1	17611.03
"tcruzi-106060"	24325.06	23975.9	24325.06	23975.9
"tcruzi-106061"	28270.68	27061.51	28270.68	27061.51
"tcruzi-106211"	21143.31	20342.67	21143.31	20342.67
"tcruzi-106212"	3069.7	5129.69	3069.7	5129.69
"tcruzi-106221"	21353.57	20664.25	21353.57	20664.25
"tcruzi-106222"	4012.07	4509.37	4012.07	4509.37
"tcruzi-106223"	20922.29	21302.58	20922.29	21302.58
"tcruzi-106224"	28351.75	30449.33	28351.75	30449.33
"tcruzi-106226"	19057.61	20763.39	19057.61	20763.39
"tcruzi-106227"	1247.88	906.33	1247.88	906.33
"tcruzi-106269"	30369.97	25621.43	30369.97	25621.43
"tcruzi-106624"	447.23	345.07	447.23	345.07
"tcruzi-106719"	9691.05	9589.91	9691.05	9589.91
"tcruzi-107004"	155.06	87.57	155.06	87.57
"tcruzi-107008"	147.57	195.77	147.57	195.77
"tcruzi-107305"	84.17	25.78	84.17	25.78
"tcruzi-10742"	270.41	73.59	270.41	73.59
"tcruzi-10745"	4228.2	5324.84	4228.2	5324.84
"tcruzi-10756"	13822.7	14453.32	13822.7	14453.32
"tcruzi-10757"	9989.78	8731.07	9989.78	8731.07
"tcruzi-10759"	8424.51	6999.65	8424.51	6999.65
"tcruzi-10760"	2160.05	1420.41	2160.05	1420.41
"tcruzi-10761"	3850.66	3884.13	3850.66	3884.13
"tcruzi-10763"	9357.62	8475.17	9357.62	8475.17
"tcruzi-10766"	8006.07	5093	8006.07	5093
"tcruzi-10767"	2450.11	704.8	2450.11	704.8
"tcruzi-10768"	6378.45	4064.29	6378.45	4064.29
"tcruzi-10769"	90.35	234.74	90.35	234.74
"tcruzi-10771"	13690.09	14380.58	13690.09	14380.58
"tcruzi-10772"	8881.78	9065.7	8881.78	9065.7
"tcruzi-10773"	4048.03	2082.56	4048.03	2082.56
"tcruzi-10774"	3362.95	1260.82	3362.95	1260.82
"tcruzi-108081"	162.66	204.91	162.66	204.91
