"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	100.06	174.38	100.06	174.38
"tcruzi-100162"	60.93	67.92	60.93	67.92
"tcruzi-100284"	56.42	42.99	56.42	42.99
"tcruzi-100318"	64.36	54.53	64.36	54.53
"tcruzi-10046"	234.74	173.91	234.74	173.91
"tcruzi-100681"	5280.08	4347.26	5280.08	4347.26
"tcruzi-10070"	3994.36	4099.63	3994.36	4099.63
"tcruzi-100743"	260.33	238.44	260.33	238.44
"tcruzi-100813"	153.04	311.69	153.04	311.69
"tcruzi-101092"	41.71	61.69	41.71	61.69
"tcruzi-101299"	72.01	43.36	72.01	43.36
"tcruzi-101458"	56.88	51.99	56.88	51.99
"tcruzi-101588"	61.99	115.99	61.99	115.99
"tcruzi-101707"	104.77	130.29	104.77	130.29
"tcruzi-101832"	265	256.94	265	256.94
"tcruzi-101894"	98.59	105.35	98.59	105.35
"tcruzi-102254"	112.78	73.9	112.78	73.9
"tcruzi-1023"	86.8	86.66	86.8	86.66
"tcruzi-10242"	36.55	28.68	36.55	28.68
"tcruzi-102678"	1033.13	1406.17	1033.13	1406.17
"tcruzi-103137"	211.48	207.88	211.48	207.88
"tcruzi-103387"	171.61	178.74	171.61	178.74
"tcruzi-103639"	374.58	604.68	374.58	604.68
"tcruzi-103728"	92.63	109.18	92.63	109.18
"tcruzi-103831"	14638.32	10973.65	14638.32	10973.65
"tcruzi-103915"	9357.62	11473.09	9357.62	11473.09
"tcruzi-104192"	4248.59	4387.27	4248.59	4387.27
"tcruzi-104193"	13393.12	10190.25	13393.12	10190.25
"tcruzi-104196"	26224.5	23418.9	26224.5	23418.9
"tcruzi-104199"	24692.29	22933.34	24692.29	22933.34
"tcruzi-104201"	27809.24	24325.06	27809.24	24325.06
"tcruzi-104202"	25685.78	23975.9	25685.78	23975.9
"tcruzi-104203"	25006.01	22450.04	25006.01	22450.04
"tcruzi-104204"	23908.67	21032	23908.67	21032
"tcruzi-104210"	6903.98	8284.8	6903.98	8284.8
"tcruzi-104316"	125.18	85.69	125.18	85.69
"tcruzi-104444"	289.1	237	289.1	237
"tcruzi-104468"	19192.14	16172.02	19192.14	16172.02
"tcruzi-104469"	14525.15	14312.58	14525.15	14312.58
"tcruzi-104470"	21252.75	16961.86	21252.75	16961.86
"tcruzi-104471"	276.78	317.89	276.78	317.89
"tcruzi-104472"	2082.56	2350.71	2082.56	2350.71
"tcruzi-104720"	9886.42	11344.92	9886.42	11344.92
"tcruzi-10480"	2172.65	1392.12	2172.65	1392.12
"tcruzi-104858"	15671.28	9486.33	15671.28	9486.33
"tcruzi-104859"	15706.03	15823.92	15706.03	15823.92
"tcruzi-104860"	7906.81	11314.88	7906.81	11314.88
"tcruzi-104861"	16877.14	14246.39	16877.14	14246.39
"tcruzi-104862"	19146.44	16641.07	19146.44	16641.07
"tcruzi-104863"	12403.48	10525.9	12403.48	10525.9
"tcruzi-105168"	341.62	453.63	341.62	453.63
"tcruzi-105245"	65.23	45.99	65.23	45.99
"tcruzi-10541"	1497.33	544.44	1497.33	544.44
"tcruzi-106008"	401.97	380.42	401.97	380.42
"tcruzi-106060"	16829.78	17143.18	16829.78	17143.18
"tcruzi-106061"	20037.32	18453.84	20037.32	18453.84
"tcruzi-106211"	15503.99	16917.76	15503.99	16917.76
"tcruzi-106212"	9718.07	14209.68	9718.07	14209.68
"tcruzi-106221"	15187.11	18721.04	15187.11	18721.04
"tcruzi-106222"	3258.72	4830.52	3258.72	4830.52
"tcruzi-106223"	16172.02	19481.3	16172.02	19481.3
"tcruzi-106224"	19057.61	21662.98	19057.61	21662.98
"tcruzi-106226"	17074.58	20401.78	17074.58	20401.78
"tcruzi-106227"	288.18	359.09	288.18	359.09
"tcruzi-106269"	925.54	697.66	925.54	697.66
"tcruzi-106624"	277.82	271.26	277.82	271.26
"tcruzi-106719"	88.38	48.71	88.38	48.71
"tcruzi-107004"	222.08	147.72	222.08	147.72
"tcruzi-107008"	105.59	60.38	105.59	60.38
"tcruzi-107305"	26.62	29.37	26.62	29.37
"tcruzi-10742"	258.45	241.34	258.45	241.34
"tcruzi-10745"	16750.34	14347.84	16750.34	14347.84
"tcruzi-10756"	3135	3362.95	3135	3362.95
"tcruzi-10757"	28590.61	25951.77	28590.61	25951.77
"tcruzi-10759"	31348.36	31625.96	31348.36	31625.96
