"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	10040.54	11473.09	10040.54	11473.09
"tcruzi-100162"	39.82	60.93	39.82	60.93
"tcruzi-100284"	6292.88	4947.36	6292.88	4947.36
"tcruzi-100318"	89.66	47.96	89.66	47.96
"tcruzi-10046"	119.13	74.06	119.13	74.06
"tcruzi-100681"	10756.21	13322.92	10756.21	13322.92
"tcruzi-10070"	9743.22	12050.53	9743.22	12050.53
"tcruzi-100743"	973.87	372.95	973.87	372.95
"tcruzi-100813"	73.59	101.22	73.59	101.22
"tcruzi-101092"	36.21	40.52	36.21	40.52
"tcruzi-101299"	66.89	59.49	66.89	59.49
"tcruzi-101458"	73.33	67.47	73.33	67.47
"tcruzi-101588"	126.53	93.36	126.53	93.36
"tcruzi-101707"	6758.57	96.79	6758.57	96.79
"tcruzi-101832"	130.75	475.89	130.75	475.89
"tcruzi-101894"	110.79	80.33	110.79	80.33
"tcruzi-102254"	78.2	55.71	78.2	55.71
"tcruzi-1023"	26.62	20.83	26.62	20.83
"tcruzi-10242"	159.44	27.41	159.44	27.41
"tcruzi-102678"	2709.76	4028.67	2709.76	4028.67
"tcruzi-103137"	1466.81	6333.54	1466.81	6333.54
"tcruzi-103387"	119.38	177.86	119.38	177.86
"tcruzi-103639"	1094.02	3559.75	1094.02	3559.75
"tcruzi-103728"	59.66	110.58	59.66	110.58
"tcruzi-103831"	12111.03	8101.58	12111.03	8101.58
"tcruzi-103915"	17263.09	18721.04	17263.09	18721.04
"tcruzi-104192"	31711.16	33876.34	31711.16	33876.34
"tcruzi-104193"	17955.26	12571.48	17955.26	12571.48
"tcruzi-104196"	29396	33976.8	29396	33976.8
"tcruzi-104199"	31531.22	30539.23	31531.22	30539.23
"tcruzi-104201"	30703.73	32018.6	30703.73	32018.6
"tcruzi-104202"	33259.62	32118.02	33259.62	32118.02
"tcruzi-104203"	29106.55	29961.32	29106.55	29961.32
"tcruzi-104204"	27502.17	30963.74	27502.17	30963.74
"tcruzi-104210"	19379.94	17955.26	19379.94	17955.26
"tcruzi-104316"	85.85	146.08	85.85	146.08
"tcruzi-104444"	82.33	148.38	82.33	148.38
"tcruzi-104468"	25325.51	25006.01	25325.51	25006.01
"tcruzi-104469"	25006.01	26519.66	25006.01	26519.66
"tcruzi-104470"	24692.29	23241.16	24692.29	23241.16
"tcruzi-104471"	142.43	208.43	142.43	208.43
"tcruzi-104472"	9065.7	8189.43	9065.7	8189.43
"tcruzi-104720"	249.54	288.18	249.54	288.18
"tcruzi-10480"	1136.9	2328.87	1136.9	2328.87
"tcruzi-104858"	18588.47	18823.41	18588.47	18823.41
"tcruzi-104859"	21143.31	20562.02	21143.31	20562.02
"tcruzi-104860"	19010.38	21406.74	19010.38	21406.74
"tcruzi-104861"	21778.73	23048.64	21778.73	23048.64
"tcruzi-104862"	22867.25	23106	22867.25	23106
"tcruzi-104863"	14175.96	12886.01	14175.96	12886.01
"tcruzi-105168"	221.4	836.03	221.4	836.03
"tcruzi-105245"	111.48	64.2	111.48	64.2
"tcruzi-10541"	122.19	169.11	122.19	169.11
"tcruzi-106008"	2581.13	462.26	2581.13	462.26
"tcruzi-106060"	378.81	618.88	378.81	618.88
"tcruzi-106061"	328.73	430.88	328.73	430.88
"tcruzi-106211"	353.78	315.62	353.78	315.62
"tcruzi-106212"	106.24	265	106.24	265
"tcruzi-106221"	464.13	755.24	464.13	755.24
"tcruzi-106222"	732.81	1700	732.81	1700
"tcruzi-106223"	3661.04	1254.36	3661.04	1254.36
"tcruzi-106224"	989.53	1567.81	989.53	1567.81
"tcruzi-106226"	424.75	676.43	424.75	676.43
"tcruzi-106227"	417.37	348.3	417.37	348.3
"tcruzi-106269"	8961.57	8333.57	8961.57	8333.57
"tcruzi-106624"	251.14	651.51	251.14	651.51
"tcruzi-106719"	265	122.86	265	122.86
"tcruzi-107004"	109.18	153.99	109.18	153.99
"tcruzi-107008"	77.43	71.51	77.43	71.51
"tcruzi-107305"	38.08	25.21	38.08	25.21
"tcruzi-10742"	1584.02	3346.45	1584.02	3346.45
"tcruzi-10745"	19430.63	15751.55	19430.63	15751.55
"tcruzi-10756"	27809.24	27427.79	27809.24	27427.79
"tcruzi-10757"	30369.97	27972.13	30369.97	27972.13
"tcruzi-10759"	29317.34	22991.11	29317.34	22991.11
"tcruzi-10760"	561.96	1168.13	561.96	1168.13
"tcruzi-10761"	13893.57	12077.97	13893.57	12077.97
"tcruzi-10763"	27645	29803	27645	29803
"tcruzi-10766"	14712.7	11988.04	14712.7	11988.04
"tcruzi-10767"	1482.52	3149.13	1482.52	3149.13
"tcruzi-10768"	14864.14	13690.09	14864.14	13690.09
"tcruzi-10769"	96.61	96.61	96.61	96.61
"tcruzi-10771"	28766.86	28042.72	28766.86	28042.72
"tcruzi-10772"	29961.32	26837.2	29961.32	26837.2
"tcruzi-10773"	14279.76	13720.68	14279.76	13720.68
"tcruzi-10774"	569.6	616.4	569.6	616.4
"tcruzi-108081"	1743.18	1511.29	1743.18	1511.29
"tcruzi-10820"	6931.64	8053.5	6931.64	8053.5
"tcruzi-10821"	32684.82	25888.71	32684.82	25888.71
"tcruzi-108384"	3043.12	4571.56	3043.12	4571.56
"tcruzi-108385"	231.22	167.56	231.22	167.56
"tcruzi-108386"	136.24	118.62	136.24	118.62
"tcruzi-108387"	2633.38	2072.65	2633.38	2072.65
"tcruzi-108388"	622.47	527.5	622.47	527.5
"tcruzi-108389"	736.48	1065.41	736.48	1065.41
"tcruzi-108390"	1059.73	642.49	1059.73	642.49
"tcruzi-108391"	2900.18	3195.58	2900.18	3195.58
"tcruzi-108407"	189.14	276.78	189.14	276.78
"tcruzi-108790"	7251.76	10696.08	7251.76	10696.08
"tcruzi-108798"	4212.04	4173.66	4212.04	4173.66
"tcruzi-108805"	45.99	60.53	45.99	60.53
"tcruzi-108853"	5749.21	769.67	5749.21	769.67
"tcruzi-109067"	27.15	45.51	27.15	45.51
"tcruzi-109292"	1354.72	2685.91	1354.72	2685.91
"tcruzi-109312"	26224.5	30629.34	26224.5	30629.34
"tcruzi-109351"	787.03	389.16	787.03	389.16
"tcruzi-109483"	79.73	177.38	79.73	177.38
"tcruzi-110050"	2722.59	7412.86	2722.59	7412.86
"tcruzi-110393"	775.9	487.44	775.9	487.44
"tcruzi-1104"	7906.81	7362.03	7906.81	7362.03
"tcruzi-110636"	52.97	33.78	52.97	33.78
"tcruzi-110773"	50.33	138.61	50.33	138.61
"tcruzi-11128"	2007.34	221.4	2007.34	221.4
"tcruzi-111283"	14032.06	14565.21	14032.06	14565.21
"tcruzi-111289"	28.43	85.2	28.43	85.2
"tcruzi-11131"	351.02	844.96	351.02	844.96
"tcruzi-11132"	811.62	1707.88	811.62	1707.88
"tcruzi-111328"	268.64	516.29	268.64	516.29
"tcruzi-11136"	424.75	662.4	424.75	662.4
"tcruzi-11137"	243.73	973.87	243.73	973.87
"tcruzi-11140"	405.25	1490.96	405.25	1490.96
"tcruzi-111437"	53.95	99.15	53.95	99.15
"tcruzi-11144"	1420.41	2643.93	1420.41	2643.93
"tcruzi-11145"	2294.65	3164.34	2294.65	3164.34
"tcruzi-11146"	1012.08	1323.12	1012.08	1323.12
"tcruzi-11147"	1177.72	1825.8	1177.72	1825.8
"tcruzi-11148"	2843.79	4012.07	2843.79	4012.07
"tcruzi-11149"	3964.13	4048.03	3964.13	4048.03
"tcruzi-11150"	4668.18	5324.84	4668.18	5324.84
"tcruzi-11151"	6207.16	6646.72	6207.16	6646.72
"tcruzi-11157"	1511.29	2042.09	1511.29	2042.09
"tcruzi-111717"	6476.01	3753.4	6476.01	3753.4
"tcruzi-11178"	447.23	513.68	447.23	513.68
"tcruzi-112015"	159.79	98.59	159.79	98.59
"tcruzi-112284"	86.18	84.17	86.18	84.17
"tcruzi-11245"	225.36	327.36	225.36	327.36
"tcruzi-112796"	7927.67	10468.77	7927.67	10468.77
"tcruzi-112986"	54.83	66.13	54.83	66.13
"tcruzi-113024"	34.14	84.67	34.14	84.67
"tcruzi-11312"	116.41	43.5	116.41	43.5
"tcruzi-113371"	76.78	88.76	76.78	88.76
"tcruzi-113604"	632.64	1196.22	632.64	1196.22
"tcruzi-113638"	188.69	251.9	188.69	251.9
"tcruzi-113731"	332.66	292.13	332.66	292.13
"tcruzi-114213"	337.51	86.03	337.51	86.03
"tcruzi-114592"	303.82	81.85	303.82	81.85
"tcruzi-114752"	81.66	104.77	81.66	104.77
"tcruzi-115101"	15786.89	17858.3	15786.89	17858.3
"tcruzi-115119"	24.38	29.89	24.38	29.89
"tcruzi-115292"	95.53	76.78	95.53	76.78
"tcruzi-115743"	30.11	40.69	30.11	40.69
"tcruzi-115822"	39.16	97.71	39.16	97.71
"tcruzi-115988"	144.43	167.93	144.43	167.93
"tcruzi-116455"	1247.88	314.32	1247.88	314.32
"tcruzi-116793"	7556.35	8027.51	7556.35	8027.51
"tcruzi-117284"	559.48	1094.02	559.48	1094.02
"tcruzi-117285"	1156.77	2226.22	1156.77	2226.22
"tcruzi-117286"	2619.14	2709.76	2619.14	2709.76
"tcruzi-117287"	891.44	2722.59	891.44	2722.59
"tcruzi-117288"	697.66	2236.16	697.66	2236.16
"tcruzi-117486"	29.89	53.95	29.89	53.95
"tcruzi-117502"	3181.42	5407.59	3181.42	5407.59
"tcruzi-117539"	50.46	70.46	50.46	70.46
"tcruzi-117771"	26.62	34.14	26.62	34.14
"tcruzi-117841"	40.34	51.99	40.34	51.99
"tcruzi-118052"	61.99	141.27	61.99	141.27
"tcruzi-118074"	12469.07	15139.01	12469.07	15139.01
"tcruzi-118075"	16352.99	18046.28	16352.99	18046.28
"tcruzi-118076"	15978.33	17302.09	15978.33	17302.09
"tcruzi-118077"	17074.58	18966.48	17074.58	18966.48
"tcruzi-118078"	8006.07	9886.42	8006.07	9886.42
"tcruzi-118079"	148.8	198.41	148.8	198.41
"tcruzi-118080"	654.91	828.2	654.91	828.2
"tcruzi-118114"	436.24	118.86	436.24	118.86
"tcruzi-118127"	40.86	65.23	40.86	65.23
"tcruzi-118153"	387.93	131.91	387.93	131.91
"tcruzi-118307"	3258.72	5727.88	3258.72	5727.88
"tcruzi-118531"	211.48	132.84	211.48	132.84
"tcruzi-118658"	64.2	86.8	64.2	86.8
"tcruzi-118983"	104.96	95.53	104.96	95.53
"tcruzi-120005"	48.42	53.12	48.42	53.12
"tcruzi-120610"	124.2	109.81	124.2	109.81
"tcruzi-120717"	298.07	97.11	298.07	97.11
"tcruzi-120743"	4134.06	7108	4134.06	7108
"tcruzi-120792"	21.81	16.34	21.81	16.34
"tcruzi-120994"	57.91	47	57.91	47
"tcruzi-121354"	6270.21	8629.02	6270.21	8629.02
"tcruzi-121736"	66.27	104	66.27	104
"tcruzi-121803"	113.3	150.35	113.3	150.35
"tcruzi-122078"	100.06	31.84	100.06	31.84
"tcruzi-122200"	1707.88	258.94	1707.88	258.94
"tcruzi-122576"	8189.43	9826.81	8189.43	9826.81
"tcruzi-122598"	12372.1	11885.87	12372.1	11885.87
"tcruzi-122640"	32.88	47.42	32.88	47.42
"tcruzi-122803"	29.37	24.67	29.37	24.67
"tcruzi-122979"	158.71	117.23	158.71	117.23
"tcruzi-123067"	26650.03	24325.06	26650.03	24325.06
"tcruzi-123375"	103.8	190.66	103.8	190.66
"tcruzi-123430"	74.06	58.27	74.06	58.27
"tcruzi-123452"	152.75	165.52	152.75	165.52
"tcruzi-123553"	82.68	105.16	82.68	105.16
"tcruzi-123602"	1147.48	3850.66	1147.48	3850.66
"tcruzi-1239"	16829.78	16641.07	16829.78	16641.07
"tcruzi-123954"	161.7	57.91	161.7	57.91
"tcruzi-124014"	111.02	88.38	111.02	88.38
"tcruzi-124032"	7528.72	9561.62	7528.72	9561.62
"tcruzi-124048"	68.73	86.18	68.73	86.18
"tcruzi-12409"	317.89	532.16	317.89	532.16
"tcruzi-124187"	101.59	201.91	101.59	201.91
"tcruzi-124303"	72.08	65.07	72.08	65.07
"tcruzi-124585"	201.44	363.8	201.44	363.8
"tcruzi-124645"	19107.6	19690.63	19107.6	19690.63
"tcruzi-124904"	32.66	36.55	32.66	36.55
"tcruzi-12502"	3834.06	8528.51	3834.06	8528.51
"tcruzi-125072"	3135	3117.89	3135	3117.89
"tcruzi-125370"	245.36	916.21	245.36	916.21
"tcruzi-125472"	53.12	36.89	53.12	36.89
"tcruzi-125495"	44.48	39.82	44.48	39.82
"tcruzi-12555"	25.53	26.05	25.53	26.05
"tcruzi-126151"	87.57	90.01	87.57	90.01
"tcruzi-126634"	1087.78	2116.3	1087.78	2116.3
"tcruzi-126781"	47.28	107.48	47.28	107.48
"tcruzi-126992"	51.86	118.4	51.86	118.4
"tcruzi-127041"	38.25	66.65	38.25	66.65
"tcruzi-127251"	37.75	65.77	37.75	65.77
"tcruzi-12764"	104.21	113.92	104.21	113.92
"tcruzi-127728"	213.3	62.57	213.3	62.57
"tcruzi-127816"	56.88	64.92	56.88	64.92
"tcruzi-128170"	4804.97	112.15	4804.97	112.15
"tcruzi-128185"	2805.68	4745.33	2805.68	4745.33
"tcruzi-128367"	12206.43	10090.71	12206.43	10090.71
"tcruzi-128378"	9143.46	157.17	9143.46	157.17
"tcruzi-128865"	264.09	346.94	264.09	346.94
"tcruzi-129107"	105.35	243.73	105.35	243.73
"tcruzi-129631"	151.7	71.65	151.7	71.65
"tcruzi-129803"	83.19	48.71	83.19	48.71
"tcruzi-130309"	103.24	103.05	103.24	103.05
"tcruzi-130336"	1445.68	2524.4	1445.68	2524.4
"tcruzi-130388"	108.6	375.73	108.6	375.73
"tcruzi-130425"	51.42	129.79	51.42	129.79
"tcruzi-130444"	12050.53	12238.06	12050.53	12238.06
"tcruzi-13102"	127.33	333.86	127.33	333.86
"tcruzi-13103"	329.98	728.66	329.98	728.66
"tcruzi-13104"	3477.85	4586.36	3477.85	4586.36
"tcruzi-13105"	393.68	911.57	393.68	911.57
"tcruzi-13130"	49.76	82.83	49.76	82.83
"tcruzi-131325"	117.68	70.91	117.68	70.91
"tcruzi-131614"	39.32	67.76	39.32	67.76
"tcruzi-131722"	1184.05	329.98	1184.05	329.98
"tcruzi-131786"	81.52	49.14	81.52	49.14
"tcruzi-131809"	47.56	84.5	47.56	84.5
"tcruzi-13195"	6355.32	172.03	6355.32	172.03
"tcruzi-132236"	2245.95	4980.92	2245.95	4980.92
"tcruzi-1324"	613.19	1268.4	613.19	1268.4
"tcruzi-132476"	523.83	222.8	523.83	222.8
"tcruzi-132849"	64.07	58.74	64.07	58.74
"tcruzi-133080"	69.42	66.27	69.42	66.27
"tcruzi-133220"	3445.33	5167.16	3445.33	5167.16
"tcruzi-133571"	85.69	41.02	85.69	41.02
"tcruzi-133607"	60.24	66.65	60.24	66.65
"tcruzi-133714"	24.03	31.67	24.03	31.67
"tcruzi-133797"	6312.72	3707.11	6312.72	3707.11
"tcruzi-133853"	114.39	353.78	114.39	353.78
"tcruzi-133859"	34.75	22.94	34.75	22.94
"tcruzi-133862"	2661.55	3411.22	2661.55	3411.22
"tcruzi-134164"	75.43	76.94	75.43	76.94
"tcruzi-13422"	3722.19	6250	3722.19	6250
"tcruzi-134428"	6118.51	106.87	6118.51	106.87
"tcruzi-134474"	138.61	176.02	138.61	176.02
"tcruzi-134592"	164.68	64.07	164.68	64.07
"tcruzi-134594"	98.22	168.7	98.22	168.7
"tcruzi-134690"	94.21	78.95	94.21	78.95
"tcruzi-134980"	707.97	124.2	707.97	124.2
"tcruzi-134984"	78.35	56.75	78.35	56.75
"tcruzi-135206"	15901.82	1215.04	15901.82	1215.04
"tcruzi-135371"	99.15	52.42	99.15	52.42
"tcruzi-13545"	2160.05	244.5	2160.05	244.5
"tcruzi-135482"	2394.18	4446.15	2394.18	4446.15
"tcruzi-135522"	92.46	45.83	92.46	45.83
"tcruzi-135596"	122.62	69.26	122.62	69.26
"tcruzi-135925"	6496.92	5605.65	6496.92	5605.65
"tcruzi-136222"	26763.58	8756.68	26763.58	8756.68
"tcruzi-136531"	130.75	104.59	130.75	104.59
"tcruzi-137036"	5981.22	7384.46	5981.22	7384.46
"tcruzi-137227"	273.36	108.6	273.36	108.6
"tcruzi-137420"	52.28	64.36	52.28	64.36
"tcruzi-137540"	117.09	146.43	117.09	146.43
"tcruzi-137641"	47.15	75.43	47.15	75.43
