"Reporter Name"	"allData.replica1"	"allData.replica2"	"onlyRegionsData.replica1"	"onlyRegionsData.replica2"
"tcruzi-100055"	152.04	147.72	152.04	147.72
"tcruzi-100162"	53.53	64.63	53.53	64.63
"tcruzi-100284"	42.83	60.77	42.83	60.77
"tcruzi-100318"	92.37	72.88	92.37	72.88
"tcruzi-10046"	114.18	45.99	114.18	45.99
"tcruzi-100681"	10418.66	9276.99	10418.66	9276.99
"tcruzi-10070"	32118.02	31348.36	32118.02	31348.36
"tcruzi-100743"	262.08	419.32	262.08	419.32
"tcruzi-100813"	390.5	440.47	390.5	440.47
"tcruzi-101092"	38.25	45.64	38.25	45.64
"tcruzi-101299"	62.86	78.2	62.86	78.2
"tcruzi-101458"	87.07	362.07	87.07	362.07
"tcruzi-101588"	116.72	172.51	116.72	172.51
"tcruzi-101707"	151	305.16	151	305.16
"tcruzi-101832"	227.41	308.45	227.41	308.45
"tcruzi-101894"	152.41	90.88	152.41	90.88
"tcruzi-102254"	77.1	102.83	77.1	102.83
"tcruzi-1023"	34.56	29.63	34.56	29.63
"tcruzi-10242"	58.34	87.07	58.34	87.07
"tcruzi-102678"	1902.13	2843.79	1902.13	2843.79
"tcruzi-103137"	392.03	353.78	392.03	353.78
"tcruzi-103387"	66.57	149.1	66.57	149.1
"tcruzi-103639"	141.52	232.49	141.52	232.49
"tcruzi-103728"	108.38	141.97	108.38	141.97
"tcruzi-103831"	23975.9	19335.61	23975.9	19335.61
"tcruzi-103915"	5387.74	8053.5	5387.74	8053.5
"tcruzi-104192"	28590.61	29317.34	28590.61	29317.34
"tcruzi-104193"	19784.08	9038.44	19784.08	9038.44
"tcruzi-104196"	34526.36	36712.56	34526.36	36712.56
"tcruzi-104199"	31348.36	29961.32	31348.36	29961.32
"tcruzi-104201"	34627.89	34102.38	34627.89	34102.38
"tcruzi-104202"	34102.38	34211.58	34102.38	34211.58
"tcruzi-104203"	30211.32	32883.65	30211.32	32883.65
"tcruzi-104204"	32398.44	33073.43	32398.44	33073.43
"tcruzi-104210"	17651.78	17778.5	17651.78	17778.5
"tcruzi-104316"	113.69	54.09	113.69	54.09
"tcruzi-104444"	140.43	238.44	140.43	238.44
"tcruzi-104468"	14743.29	17572.51	14743.29	17572.51
"tcruzi-104469"	13862.61	14565.21	13862.61	14565.21
"tcruzi-104470"	17900.86	16092.17	17900.86	16092.17
"tcruzi-104471"	6735.17	7339.83	6735.17	7339.83
"tcruzi-104472"	8333.57	8402.92	8333.57	8402.92
"tcruzi-104720"	642.49	1120.88	642.49	1120.88
"tcruzi-10480"	2709.76	2195.46	2709.76	2195.46
"tcruzi-104858"	11166.17	8705.49	11166.17	8705.49
"tcruzi-104859"	12571.48	10064.27	12571.48	10064.27
"tcruzi-104860"	12111.03	12747.49	12111.03	12747.49
"tcruzi-104861"	13690.09	13436.68	13690.09	13436.68
"tcruzi-104862"	13893.57	13504.79	13893.57	13504.79
"tcruzi-104863"	10389.87	9718.07	10389.87	9718.07
"tcruzi-105168"	300.35	262.92	300.35	262.92
"tcruzi-105245"	59.22	36.74	59.22	36.74
"tcruzi-10541"	2508.48	3213.42	2508.48	3213.42
"tcruzi-106008"	589.89	773.38	589.89	773.38
"tcruzi-106060"	15139.01	13469.37	15139.01	13469.37
"tcruzi-106061"	17074.58	13754.22	17074.58	13754.22
"tcruzi-106211"	14638.32	11885.87	14638.32	11885.87
"tcruzi-106212"	8935.24	9330.65	8935.24	9330.65
"tcruzi-106221"	14067.78	14638.32	14067.78	14638.32
"tcruzi-106222"	1837.52	2394.18	1837.52	2394.18
"tcruzi-106223"	14565.21	15978.33	14565.21	15978.33
"tcruzi-106224"	19430.63	21530.83	19430.63	21530.83
"tcruzi-106226"	13822.7	15096.75	13822.7	15096.75
"tcruzi-106227"	291.04	230.64	291.04	230.64
"tcruzi-106269"	29469.83	29175.43	29469.83	29175.43
"tcruzi-106624"	121.17	130.29	121.17	130.29
"tcruzi-106719"	228	124.2	228	124.2
"tcruzi-107004"	153.99	299.16	153.99	299.16
"tcruzi-107008"	65.7	51.86	65.7	51.86
