"Reporter.Name"	"allData.replica1"	"allData.replica2"
"20624"	"tcruzi-10754"	39842.99	32284.83
"20627"	"tcruzi-10757"	40125.34	34750.12
"29784"	"tcruzi-19914"	38711.19	35398.54
"54630"	"tcruzi-44760"	41369.25	37705.2
"54667"	"tcruzi-44797"	34663.41	38630.57
"54669"	"tcruzi-44799"	47857.05	40244.98
"58799"	"tcruzi-48929"	32725.17	31104.2
"93031"	"tcruzi-83161"	37434.64	35458.95
"93035"	"tcruzi-83165"	36543.18	37936.31
"93036"	"tcruzi-83166"	41956.59	37729.79
"93037"	"tcruzi-83167"	38898.55	37352.49
"101633"	"tcruzi-91763"	40795.18	38310.17
"101642"	"tcruzi-91772"	44953.78	38390.05
"114065"	"tcruzi-104195"	39026.71	30998.33
"114069"	"tcruzi-104199"	36145.53	33941.65
"114071"	"tcruzi-104201"	37877.79	40298.17
"147879"	"tcruzi-138009"	27061.52	22382.3
"148392"	"tcruzi-138522"	33290.33	27529.79
"148395"	"tcruzi-138525"	35840.07	30985.81
"198629"	"tcruzi-188759"	39272.75	32531.52
"201635"	"tcruzi-191765"	46908.45	35745.23
"201639"	"tcruzi-191769"	39030.81	28705.41
"201640"	"tcruzi-191770"	37286.02	33843.33
"207533"	"tcruzi-197663"	36482.48	35595.09
"207536"	"tcruzi-197666"	37104.92	35154
"207537"	"tcruzi-197667"	39750.8	32779.78
"208007"	"tcruzi-198137"	38989.19	35603.05
"208010"	"tcruzi-198140"	35170.63	34395.07
"208011"	"tcruzi-198141"	37399.95	32275.46
"211983"	"tcruzi-202113"	34938.31	35157.33
"224171"	"tcruzi-214301"	33867.55	32585.83
"241302"	"tcruzi-231432"	29407.36	25913.6
"263876"	"tcruzi-254006"	38118.93	35712.59
"328349"	"tcruzi-mutagenesis-scan-314"	40340.38	36681.87
"329582"	"tcruzi-mutagenesis-scan-1547"	38975.33	37400.65
"330700"	"tcruzi-mutagenesis-scan-2665"	39882.17	38021.37
"330701"	"tcruzi-mutagenesis-scan-2666"	37773.09	36612.77
"330792"	"tcruzi-mutagenesis-scan-2757"	30815.46	27566.2
"330827"	"tcruzi-mutagenesis-scan-2792"	28737.6	22634.83
"330829"	"tcruzi-mutagenesis-scan-2794"	37993.92	33216.86
"330830"	"tcruzi-mutagenesis-scan-2795"	37345.55	37828.74
"330831"	"tcruzi-mutagenesis-scan-2796"	24458.89	17752.53
"330832"	"tcruzi-mutagenesis-scan-2797"	30679.55	30244.49
"330833"	"tcruzi-mutagenesis-scan-2798"	38862.16	32705.66
"330834"	"tcruzi-mutagenesis-scan-2799"	37076.63	28388.27
"330835"	"tcruzi-mutagenesis-scan-2800"	27473.39	26960.8
"330836"	"tcruzi-mutagenesis-scan-2801"	36025.85	34274.29
"330837"	"tcruzi-mutagenesis-scan-2802"	43519.01	40605.94
"330838"	"tcruzi-mutagenesis-scan-2803"	40185.64	35941.07
"330839"	"tcruzi-mutagenesis-scan-2804"	42235.85	28814.01
"331106"	"tcruzi-mutagenesis-scan-3071"	33954.65	45682.65
"331107"	"tcruzi-mutagenesis-scan-3072"	40378.05	37027.3
"331705"	"tcruzi-mutagenesis-scan-3670"	33639.46	25796.33
"332770"	"tcruzi-mutagenesis-scan-4735"	37511.47	34052.88
"332982"	"tcruzi-mutagenesis-scan-4947"	37604.25	33500.55
"332983"	"tcruzi-mutagenesis-scan-4948"	34116.2	33463.54
"332987"	"tcruzi-mutagenesis-scan-4952"	35147.37	28152.74
"332988"	"tcruzi-mutagenesis-scan-4953"	34553.13	30069.14
"333436"	"tcruzi-mutagenesis-scan-5401"	43137.71	42711.17
"333437"	"tcruzi-mutagenesis-scan-5402"	35529.73	31161.86
"333834"	"tcruzi-mutagenesis-scan-5799"	29775.94	23701.69
"334221"	"tcruzi-mutagenesis-scan-6186"	37859.13	33484.39
"336209"	"tcruzi-mutagenesis-scan-8174"	26707.18	23173.23
"336210"	"tcruzi-mutagenesis-scan-8175"	27794.63	22940.61
"336700"	"tcruzi-mutagenesis-scan-8665"	38021.42	36975.15
"336714"	"tcruzi-mutagenesis-scan-8679"	39642.1	38192.39
"336715"	"tcruzi-mutagenesis-scan-8680"	24276.92	22910.57
"336716"	"tcruzi-mutagenesis-scan-8681"	36082.01	33173.2
"336717"	"tcruzi-mutagenesis-scan-8682"	42531.47	38808.62
"336718"	"tcruzi-mutagenesis-scan-8683"	55983.04	38175.04
"336719"	"tcruzi-mutagenesis-scan-8684"	36665.55	29829.71
"336720"	"tcruzi-mutagenesis-scan-8685"	35020.89	35122.38
"336721"	"tcruzi-mutagenesis-scan-8686"	33732.41	32817.58
"336722"	"tcruzi-mutagenesis-scan-8687"	48998.82	35919.9
"336723"	"tcruzi-mutagenesis-scan-8688"	42483.6	39312.75
"336724"	"tcruzi-mutagenesis-scan-8689"	43988.12	39224.96
"336914"	"tcruzi-mutagenesis-scan-8879"	34277.41	29414.2
"336928"	"tcruzi-mutagenesis-scan-8893"	31603.52	28136.27
"336929"	"tcruzi-mutagenesis-scan-8894"	29693.62	27527.89
"336930"	"tcruzi-mutagenesis-scan-8895"	27714.07	24987.91
"336931"	"tcruzi-mutagenesis-scan-8896"	29500.57	28696.96
"336932"	"tcruzi-mutagenesis-scan-8897"	22700.45	19590.36
"336933"	"tcruzi-mutagenesis-scan-8898"	25889.76	26141.2
"336934"	"tcruzi-mutagenesis-scan-8899"	19253.04	22944.03
"336935"	"tcruzi-mutagenesis-scan-8900"	18947.53	20515.21
"336936"	"tcruzi-mutagenesis-scan-8901"	37209.55	30808.43
"336937"	"tcruzi-mutagenesis-scan-8902"	27267.34	23805.21
"336938"	"tcruzi-mutagenesis-scan-8903"	27835	25705.46
"336939"	"tcruzi-mutagenesis-scan-8904"	26646.53	23973.72
"336940"	"tcruzi-mutagenesis-scan-8905"	28634.19	26136.42
"341015"	"tcruzi-mutagenesis-scan-12980"	36784.07	40396.22
"341016"	"tcruzi-mutagenesis-scan-12981"	38768.44	38220.11
"341084"	"tcruzi-mutagenesis-scan-13049"	36573.49	33755.77
"341085"	"tcruzi-mutagenesis-scan-13050"	44644.3	37336.42
"341138"	"tcruzi-mutagenesis-scan-13103"	34338.72	34724.74
"341139"	"tcruzi-mutagenesis-scan-13104"	39717.59	37091.1
"341140"	"tcruzi-mutagenesis-scan-13105"	34167.89	29084.68
"341141"	"tcruzi-mutagenesis-scan-13106"	37858.76	32189.42
"341142"	"tcruzi-mutagenesis-scan-13107"	1200.86	1591.02
"341143"	"tcruzi-mutagenesis-scan-13108"	1375.14	828.75
"341144"	"tcruzi-mutagenesis-scan-13109"	32532.06	31502.22
"341145"	"tcruzi-mutagenesis-scan-13110"	37448.2	32103.99
"341146"	"tcruzi-mutagenesis-scan-13111"	40498.37	38349.49
"341147"	"tcruzi-mutagenesis-scan-13112"	35519.87	35385.85
"341148"	"tcruzi-mutagenesis-scan-13113"	33442.25	31390.34
"341149"	"tcruzi-mutagenesis-scan-13114"	29454.63	28056.37
"341150"	"tcruzi-mutagenesis-scan-13115"	33416.89	29212.1
"341151"	"tcruzi-mutagenesis-scan-13116"	32560.89	34977.54
"341152"	"tcruzi-mutagenesis-scan-13117"	34492.57	34398.85
"341153"	"tcruzi-mutagenesis-scan-13118"	39037.82	44906.14
"341154"	"tcruzi-mutagenesis-scan-13119"	42268.59	39673.26
"341155"	"tcruzi-mutagenesis-scan-13120"	53357	38050.44
"341156"	"tcruzi-mutagenesis-scan-13121"	33538.74	37781.42
"341157"	"tcruzi-mutagenesis-scan-13122"	35744.41	31988.78
"341158"	"tcruzi-mutagenesis-scan-13123"	34828.2	35078.18
"341159"	"tcruzi-mutagenesis-scan-13124"	34764.75	36539.77
"341160"	"tcruzi-mutagenesis-scan-13125"	37457.84	37930.86
"341666"	"tcruzi-mutagenesis-scan-13631"	36210.65	35827.34
"341667"	"tcruzi-mutagenesis-scan-13632"	35047.41	34932.96
"341842"	"tcruzi-mutagenesis-scan-13807"	35222.4	28014.1
"342106"	"tcruzi-mutagenesis-scan-14071"	28786.09	24396.72
"342113"	"tcruzi-mutagenesis-scan-14078"	39582.88	34373.92
