"Reporter.Name"	"allData.replica1"	"allData.replica2"
"20624"	"tcruzi-10754"	20014.59	17849.37
"20627"	"tcruzi-10757"	20274.32	16605.07
"29784"	"tcruzi-19914"	23892.47	22988.08
"54630"	"tcruzi-44760"	24206.87	20367.26
"54667"	"tcruzi-44797"	21569.55	17781.7
"54669"	"tcruzi-44799"	23855.36	21389.63
"58799"	"tcruzi-48929"	23022.73	20986.8
"93031"	"tcruzi-83161"	26111.41	24541.88
"93035"	"tcruzi-83165"	25541.2	22017.25
"93036"	"tcruzi-83166"	25606.64	22935.26
"93037"	"tcruzi-83167"	25702.81	23038.31
"101633"	"tcruzi-91763"	22141.04	21635.32
"101642"	"tcruzi-91772"	21522.83	17093.18
"114065"	"tcruzi-104195"	23096.18	21984.84
"114069"	"tcruzi-104199"	24391.3	21323.99
"114071"	"tcruzi-104201"	20359.99	22194.96
"147879"	"tcruzi-138009"	20862.74	8950.99
"148392"	"tcruzi-138522"	22266.09	10517.03
"148395"	"tcruzi-138525"	21207.07	11573.53
"198629"	"tcruzi-188759"	26182.68	22793.23
"201635"	"tcruzi-191765"	25358.61	23345.61
"201639"	"tcruzi-191769"	26046.39	20826.86
"201640"	"tcruzi-191770"	23986.77	23505.6
"207533"	"tcruzi-197663"	25391.85	23551.74
"207536"	"tcruzi-197666"	26424.66	21928.47
"207537"	"tcruzi-197667"	23765.52	22063.54
"208007"	"tcruzi-198137"	25320.34	23064.4
"208010"	"tcruzi-198140"	25174.89	23454.65
"208011"	"tcruzi-198141"	24905.34	21521.37
"211983"	"tcruzi-202113"	25436.53	21601.61
"224171"	"tcruzi-214301"	25144.23	23241.85
"241302"	"tcruzi-231432"	21119.39	13675.49
"263876"	"tcruzi-254006"	25205.44	21189.03
"328349"	"tcruzi-mutagenesis-scan-314"	20687.53	16438.51
"329582"	"tcruzi-mutagenesis-scan-1547"	22204.83	20784.82
"330700"	"tcruzi-mutagenesis-scan-2665"	25954.28	21967.89
"330701"	"tcruzi-mutagenesis-scan-2666"	24792.95	22533.42
"330792"	"tcruzi-mutagenesis-scan-2757"	18834.73	6778.89
"330827"	"tcruzi-mutagenesis-scan-2792"	20925.1	17155
"330829"	"tcruzi-mutagenesis-scan-2794"	20039.5	15694.68
"330830"	"tcruzi-mutagenesis-scan-2795"	18381.98	14942.89
"330831"	"tcruzi-mutagenesis-scan-2796"	17908.05	14027.07
"330832"	"tcruzi-mutagenesis-scan-2797"	21998.08	16955.67
"330833"	"tcruzi-mutagenesis-scan-2798"	18088.38	15205.17
"330834"	"tcruzi-mutagenesis-scan-2799"	20067.87	16548.49
"330835"	"tcruzi-mutagenesis-scan-2800"	473.9	90.59
"330836"	"tcruzi-mutagenesis-scan-2801"	272.67	273.61
"330837"	"tcruzi-mutagenesis-scan-2802"	2337.34	1074.74
"330838"	"tcruzi-mutagenesis-scan-2803"	12525.91	10047.47
"330839"	"tcruzi-mutagenesis-scan-2804"	6343.28	3686.16
"331106"	"tcruzi-mutagenesis-scan-3071"	24944.92	15601.82
