"Reporter.Name"	"allData.replica1"	"allData.replica2"
"20624"	"tcruzi-10754"	46517.15	31761.14
"20627"	"tcruzi-10757"	41550.89	30644.27
"29784"	"tcruzi-19914"	62700.68	39510.54
"54630"	"tcruzi-44760"	57210.64	38572.05
"54667"	"tcruzi-44797"	56224.69	33783
"54669"	"tcruzi-44799"	59380.45	40992.66
"58799"	"tcruzi-48929"	56559.52	35580.52
"93031"	"tcruzi-83161"	56139.34	38186.77
"93035"	"tcruzi-83165"	60564.75	41892.57
"93036"	"tcruzi-83166"	59227.47	37987.66
"93037"	"tcruzi-83167"	56020.55	36295.1
"101633"	"tcruzi-91763"	54589.75	35276.68
"101642"	"tcruzi-91772"	53636.02	33022.67
"114065"	"tcruzi-104195"	45963.16	30511.05
"114069"	"tcruzi-104199"	45659.39	33894.6
"114071"	"tcruzi-104201"	45040.29	31064.49
"147879"	"tcruzi-138009"	28235.19	22865.77
"148392"	"tcruzi-138522"	33258.08	26737.01
"148395"	"tcruzi-138525"	31185.86	21555.22
"198629"	"tcruzi-188759"	60361.14	37577.46
"201635"	"tcruzi-191765"	58790.34	37464.42
"201639"	"tcruzi-191769"	61111.48	37642.72
"201640"	"tcruzi-191770"	58794.16	38607.86
"207533"	"tcruzi-197663"	54589	39757.4
"207536"	"tcruzi-197666"	57719.41	40213.84
"207537"	"tcruzi-197667"	55571.42	37352.49
"208007"	"tcruzi-198137"	54041.27	35653.41
"208010"	"tcruzi-198140"	53511.8	39323
"208011"	"tcruzi-198141"	57481.18	38888.96
"211983"	"tcruzi-202113"	58060.09	41874.13
"224171"	"tcruzi-214301"	59895.43	38025.78
"241302"	"tcruzi-231432"	34127.71	24386.4
"263876"	"tcruzi-254006"	60048.63	42367.62
"328349"	"tcruzi-mutagenesis-scan-314"	52213.2	31092.52
"329582"	"tcruzi-mutagenesis-scan-1547"	52566.66	34057.43
"330700"	"tcruzi-mutagenesis-scan-2665"	64422.45	43710.06
"330701"	"tcruzi-mutagenesis-scan-2666"	60730.1	42603.04
"330792"	"tcruzi-mutagenesis-scan-2757"	29011.54	22817.35
"330827"	"tcruzi-mutagenesis-scan-2792"	44783.82	29397.63
"330829"	"tcruzi-mutagenesis-scan-2794"	45162	29119.09
"330830"	"tcruzi-mutagenesis-scan-2795"	44779.98	30731.62
"330831"	"tcruzi-mutagenesis-scan-2796"	22981.93	19497.44
"330832"	"tcruzi-mutagenesis-scan-2797"	34910.12	29638.19
"330833"	"tcruzi-mutagenesis-scan-2798"	42161.58	30015.34
"330834"	"tcruzi-mutagenesis-scan-2799"	39590.93	27224.34
"330835"	"tcruzi-mutagenesis-scan-2800"	1890.99	2269.33
"330836"	"tcruzi-mutagenesis-scan-2801"	895.97	999.16
"330837"	"tcruzi-mutagenesis-scan-2802"	25331.42	20994.57
"330838"	"tcruzi-mutagenesis-scan-2803"	40470.23	30087.11
"330839"	"tcruzi-mutagenesis-scan-2804"	31194.08	24070
"331106"	"tcruzi-mutagenesis-scan-3071"	57297.96	35136.41
"331107"	"tcruzi-mutagenesis-scan-3072"	50838.79	33353.85
"331705"	"tcruzi-mutagenesis-scan-3670"	31563.26	24922.25
"332770"	"tcruzi-mutagenesis-scan-4735"	54927.11	38942.4
"332982"	"tcruzi-mutagenesis-scan-4947"	53427.25	39473.27
"332983"	"tcruzi-mutagenesis-scan-4948"	55937.34	37686.64
"332987"	"tcruzi-mutagenesis-scan-4952"	54957.02	37335.4
"332988"	"tcruzi-mutagenesis-scan-4953"	55994.87	35592.1
"333436"	"tcruzi-mutagenesis-scan-5401"	32247.75	24123.84
"333437"	"tcruzi-mutagenesis-scan-5402"	26912.07	23888.82
"333834"	"tcruzi-mutagenesis-scan-5799"	29683.24	23945
"334221"	"tcruzi-mutagenesis-scan-6186"	60286.37	39442.76
"336209"	"tcruzi-mutagenesis-scan-8174"	54939.19	34994.15
"336210"	"tcruzi-mutagenesis-scan-8175"	47941.58	34009.38
"336700"	"tcruzi-mutagenesis-scan-8665"	61257.91	36794.25
"336714"	"tcruzi-mutagenesis-scan-8679"	58201.08	36025.65
"336715"	"tcruzi-mutagenesis-scan-8680"	43091.56	31178.83
"336716"	"tcruzi-mutagenesis-scan-8681"	47317.52	35160.94
"336717"	"tcruzi-mutagenesis-scan-8682"	56844.59	36303.71
"336718"	"tcruzi-mutagenesis-scan-8683"	49101.56	34600.66
"336719"	"tcruzi-mutagenesis-scan-8684"	20515.31	16982.53
"336720"	"tcruzi-mutagenesis-scan-8685"	2229.75	2488.9
"336721"	"tcruzi-mutagenesis-scan-8686"	48830.7	30591.7
"336722"	"tcruzi-mutagenesis-scan-8687"	47767.29	29712.19
"336723"	"tcruzi-mutagenesis-scan-8688"	53955.4	37196.12
"336724"	"tcruzi-mutagenesis-scan-8689"	55706.6	32362.3
"336914"	"tcruzi-mutagenesis-scan-8879"	51397.93	36619.08
"336928"	"tcruzi-mutagenesis-scan-8893"	49517.88	37103.73
"336929"	"tcruzi-mutagenesis-scan-8894"	55451.44	36757.97
"336930"	"tcruzi-mutagenesis-scan-8895"	35126.73	27645.21
"336931"	"tcruzi-mutagenesis-scan-8896"	44930.39	29443.01
"336932"	"tcruzi-mutagenesis-scan-8897"	54467.57	33817.87
"336933"	"tcruzi-mutagenesis-scan-8898"	50262.01	33341.28
"336934"	"tcruzi-mutagenesis-scan-8899"	8567.61	6758.76
"336935"	"tcruzi-mutagenesis-scan-8900"	1068.66	761.7
"336936"	"tcruzi-mutagenesis-scan-8901"	50429.44	31913.31
"336937"	"tcruzi-mutagenesis-scan-8902"	47970.82	31502.34
"336938"	"tcruzi-mutagenesis-scan-8903"	30907.42	24598.27
"336939"	"tcruzi-mutagenesis-scan-8904"	57434.89	35735.62
"336940"	"tcruzi-mutagenesis-scan-8905"	37044.69	29431
"341015"	"tcruzi-mutagenesis-scan-12980"	55258.39	39982.82
"341016"	"tcruzi-mutagenesis-scan-12981"	51733.58	35674.32
"341084"	"tcruzi-mutagenesis-scan-13049"	58624.64	40221.13
"341085"	"tcruzi-mutagenesis-scan-13050"	53271.37	35856.03
"341138"	"tcruzi-mutagenesis-scan-13103"	53878.63	39310.53
"341139"	"tcruzi-mutagenesis-scan-13104"	56466.72	36000.67
"341140"	"tcruzi-mutagenesis-scan-13105"	18147.76	16880.15
"341141"	"tcruzi-mutagenesis-scan-13106"	16215.34	13805.84
"341142"	"tcruzi-mutagenesis-scan-13107"	1621.1	1603.22
"341143"	"tcruzi-mutagenesis-scan-13108"	1422.51	1506.51
"341144"	"tcruzi-mutagenesis-scan-13109"	54296.73	37959.09
"341145"	"tcruzi-mutagenesis-scan-13110"	51691.68	41040.39
"341146"	"tcruzi-mutagenesis-scan-13111"	58413.1	40833.54
"341147"	"tcruzi-mutagenesis-scan-13112"	58936.71	38603.84
"341148"	"tcruzi-mutagenesis-scan-13113"	51771.65	39117.56
"341149"	"tcruzi-mutagenesis-scan-13114"	63167.86	39361.15
"341150"	"tcruzi-mutagenesis-scan-13115"	59183.82	41026.02
"341151"	"tcruzi-mutagenesis-scan-13116"	61977.37	35633.8
"341152"	"tcruzi-mutagenesis-scan-13117"	55561	36632.25
"341153"	"tcruzi-mutagenesis-scan-13118"	60350.65	42141.97
"341154"	"tcruzi-mutagenesis-scan-13119"	59031.2	37015.58
"341155"	"tcruzi-mutagenesis-scan-13120"	42217.7	28505.11
"341156"	"tcruzi-mutagenesis-scan-13121"	39562.66	27359.61
"341157"	"tcruzi-mutagenesis-scan-13122"	55614.83	40702.65
"341158"	"tcruzi-mutagenesis-scan-13123"	50315.77	35178.49
"341159"	"tcruzi-mutagenesis-scan-13124"	46106.02	33818
"341160"	"tcruzi-mutagenesis-scan-13125"	42558.16	31901.62
"341666"	"tcruzi-mutagenesis-scan-13631"	44794.39	27646.09
"341667"	"tcruzi-mutagenesis-scan-13632"	40970.67	29074.51
"341842"	"tcruzi-mutagenesis-scan-13807"	29816.71	25202.5
"342106"	"tcruzi-mutagenesis-scan-14071"	48101.95	32022.49
"342113"	"tcruzi-mutagenesis-scan-14078"	44967.55	32757.83
"342114"	"tcruzi-mutagenesis-scan-14079"	53115.96	32362.72
"342115"	"tcruzi-mutagenesis-scan-14080"	37672.46	29164.73
"342116"	"tcruzi-mutagenesis-scan-14081"	48906.09	31716.68
"342117"	"tcruzi-mutagenesis-scan-14082"	45628.2	31896.29
"342118"	"tcruzi-mutagenesis-scan-14083"	52058.6	32377.08
"342119"	"tcruzi-mutagenesis-scan-14084"	17633.49	12835.41
"342120"	"tcruzi-mutagenesis-scan-14085"	2242.38	2053.47
"342121"	"tcruzi-mutagenesis-scan-14086"	44001.4	30844.13
"342122"	"tcruzi-mutagenesis-scan-14087"	41320.73	28732.82
"342123"	"tcruzi-mutagenesis-scan-14088"	44090.08	31365.58
"342124"	"tcruzi-mutagenesis-scan-14089"	40388.35	30941.89
"342757"	"tcruzi-mutagenesis-scan-14722"	45113.68	32163.49
"343575"	"tcruzi-mutagenesis-scan-15540"	37856.57	26313.83
"343576"	"tcruzi-mutagenesis-scan-15541"	38877.31	31765.78
"343577"	"tcruzi-mutagenesis-scan-15542"	540.46	534.54
"343578"	"tcruzi-mutagenesis-scan-15543"	661.99	598.92
"343579"	"tcruzi-mutagenesis-scan-15544"	59.47	63.18
"343580"	"tcruzi-mutagenesis-scan-15545"	48.54	92.47
"343581"	"tcruzi-mutagenesis-scan-15546"	34781.28	27702.81
