"Reporter.Name"	"allData.replica1"	"allData.replica2"
"20624"	"tcruzi-10754"	54074.98	28982.42
"20627"	"tcruzi-10757"	48360.36	29473.38
"29784"	"tcruzi-19914"	59887	31774.02
"54630"	"tcruzi-44760"	59275.41	31216.83
"54667"	"tcruzi-44797"	56853.66	27620.13
"54669"	"tcruzi-44799"	57922.22	34210.98
"58799"	"tcruzi-48929"	56792.4	28950.42
"93031"	"tcruzi-83161"	52645.63	29937.68
"93035"	"tcruzi-83165"	59071.78	33989.19
"93036"	"tcruzi-83166"	62930.23	34790.78
"93037"	"tcruzi-83167"	56347.43	32552.98
"101633"	"tcruzi-91763"	46335.27	28713.46
"101642"	"tcruzi-91772"	58537.44	31663.94
"114065"	"tcruzi-104195"	55006.17	29988.51
"114069"	"tcruzi-104199"	53189.59	28859.7
"114071"	"tcruzi-104201"	58770.56	33506.63
"147879"	"tcruzi-138009"	36187.48	28345.47
"148392"	"tcruzi-138522"	49945.43	29146.46
"148395"	"tcruzi-138525"	52458.55	30958.24
"198629"	"tcruzi-188759"	49535.13	32972.39
"201635"	"tcruzi-191765"	55495.97	31461.76
"201639"	"tcruzi-191769"	61270.46	32120.32
"201640"	"tcruzi-191770"	64648.97	31279.38
"207533"	"tcruzi-197663"	55717.77	32001.97
"207536"	"tcruzi-197666"	57526.53	33122.48
"207537"	"tcruzi-197667"	58708.22	31739.07
"208007"	"tcruzi-198137"	54456.57	33716.89
"208010"	"tcruzi-198140"	58623	33878.17
"208011"	"tcruzi-198141"	55861.47	34482.09
"211983"	"tcruzi-202113"	54633.1	33288.11
"224171"	"tcruzi-214301"	57817.85	31981
"241302"	"tcruzi-231432"	45151.75	30098.43
"263876"	"tcruzi-254006"	56489.36	32619.66
"328349"	"tcruzi-mutagenesis-scan-314"	51878.73	27834.88
"329582"	"tcruzi-mutagenesis-scan-1547"	53770.28	28601.13
"330700"	"tcruzi-mutagenesis-scan-2665"	55958.87	33599.39
"330701"	"tcruzi-mutagenesis-scan-2666"	58167.64	35377.14
"330792"	"tcruzi-mutagenesis-scan-2757"	33628.07	26575.32
"330827"	"tcruzi-mutagenesis-scan-2792"	51490.27	23604.77
"330829"	"tcruzi-mutagenesis-scan-2794"	51920.94	30574.72
"330830"	"tcruzi-mutagenesis-scan-2795"	49874.34	29607.74
"330831"	"tcruzi-mutagenesis-scan-2796"	40770.08	28374.12
"330832"	"tcruzi-mutagenesis-scan-2797"	44901.08	29811.29
"330833"	"tcruzi-mutagenesis-scan-2798"	39509.6	26612.62
"330834"	"tcruzi-mutagenesis-scan-2799"	48599.56	27583.31
"330835"	"tcruzi-mutagenesis-scan-2800"	20085.55	17135.98
"330836"	"tcruzi-mutagenesis-scan-2801"	17487.81	13386.07
"330837"	"tcruzi-mutagenesis-scan-2802"	37250.43	26619.81
"330838"	"tcruzi-mutagenesis-scan-2803"	48784.62	30675.26
"330839"	"tcruzi-mutagenesis-scan-2804"	39959.16	25110.88
"331106"	"tcruzi-mutagenesis-scan-3071"	56469.09	31737.47
"331107"	"tcruzi-mutagenesis-scan-3072"	56608.95	32173.41
"331705"	"tcruzi-mutagenesis-scan-3670"	44327.7	30692.56
"332770"	"tcruzi-mutagenesis-scan-4735"	56385.17	33676.22
"332982"	"tcruzi-mutagenesis-scan-4947"	58046.12	25144.88
"332983"	"tcruzi-mutagenesis-scan-4948"	57239.18	33090.11
"332987"	"tcruzi-mutagenesis-scan-4952"	55494.32	30598.65
"332988"	"tcruzi-mutagenesis-scan-4953"	61986.15	34139.76
"333436"	"tcruzi-mutagenesis-scan-5401"	52167.57	30791.11
"333437"	"tcruzi-mutagenesis-scan-5402"	52732.39	30560.66
"333834"	"tcruzi-mutagenesis-scan-5799"	40425.79	26874.88
"334221"	"tcruzi-mutagenesis-scan-6186"	59237.37	34568.6
"336209"	"tcruzi-mutagenesis-scan-8174"	54099.45	33788.75
"336210"	"tcruzi-mutagenesis-scan-8175"	50107.3	29581.73
"336700"	"tcruzi-mutagenesis-scan-8665"	60146.29	32090.64
"336714"	"tcruzi-mutagenesis-scan-8679"	54603.07	33212.15
"336715"	"tcruzi-mutagenesis-scan-8680"	48161.04	30820.95
"336716"	"tcruzi-mutagenesis-scan-8681"	48457.4	30805.13
"336717"	"tcruzi-mutagenesis-scan-8682"	51613.19	29366.16
"336718"	"tcruzi-mutagenesis-scan-8683"	54878.03	30541.08
"336719"	"tcruzi-mutagenesis-scan-8684"	34676.89	22448.07
"336720"	"tcruzi-mutagenesis-scan-8685"	21820.56	15003.98
"336721"	"tcruzi-mutagenesis-scan-8686"	57675.01	27886.96
"336722"	"tcruzi-mutagenesis-scan-8687"	41484.21	26358.62
"336723"	"tcruzi-mutagenesis-scan-8688"	52229.34	32100.7
"336724"	"tcruzi-mutagenesis-scan-8689"	47876.07	28250.8
"336914"	"tcruzi-mutagenesis-scan-8879"	54033.64	30072.06
"336928"	"tcruzi-mutagenesis-scan-8893"	52806.41	28756.94
"336929"	"tcruzi-mutagenesis-scan-8894"	59381.29	30435
"336930"	"tcruzi-mutagenesis-scan-8895"	53792.99	28925.23
"336931"	"tcruzi-mutagenesis-scan-8896"	54728.6	29129.45
